n,mae,rmse,bias,r2,model,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn
5724,1.2242948651245482,1.751511114045625,-1.0467132428063894,0.2653021499627012,M0_raw_proxy,loso,27,0,,0.0,,0,0,400,,0.0,,0,0,10
5724,1.1119179146812603,1.406014271207605,-8.546025037354607e-05,0.5265627428152191,M1_global_bias,loso,27,0,,0.0,,0,0,400,,0.0,,0,0,10
5724,0.7964445952344277,1.0779099264655712,0.00024872960442669646,0.721741835002272,M1b_period_bias,loso,27,0,0.2638888888888889,0.0475,0.0805084745762712,19,53,381,,0.0,,0,0,10
5724,1.0163493916359718,1.3116670977015286,-0.00046627292674923865,0.587968685807088,M2_linear_proxy,loso,27,1,0.125,0.005,0.009615384615384616,2,14,398,,0.0,,0,0,10
5724,0.6525845934330835,0.8870661951311634,-1.3139235203769812e-05,0.8115504813503639,M3_weather_ridge,loso,27,14,0.48148148148148145,0.065,0.1145374449339207,26,28,374,,0.0,,0,0,10
5724,0.64073161047288,0.8684061064397343,0.0007729180758357441,0.819395440005992,M4_inertia_ridge,loso,27,18,0.43333333333333335,0.13,0.2,52,68,348,,0.0,,0,0,10
5724,0.6753761904015195,0.9130342012301743,-0.0007552326177972549,0.8003556306474789,M5_v10_morphology_ridge,loso,27,15,0.3114754098360656,0.095,0.14559386973180077,38,84,362,,0.0,,0,0,10
5724,0.6753761904015562,0.9130342012301677,-0.0007552326177278093,0.8003556306474818,M6_v10_overhead_ridge,loso,27,17,0.3114754098360656,0.095,0.14559386973180077,38,84,362,,0.0,,0,0,10
5724,0.6753761904015083,0.9130342012301733,-0.0007552326177650347,0.8003556306474794,M7_compact_weather_ridge,loso,27,8,0.3114754098360656,0.095,0.14559386973180077,38,84,362,,0.0,,0,0,10
5724,1.2242948651245482,1.751511114045625,-1.0467132428063894,0.2653021499627012,M0_raw_proxy,time_block,4,0,,0.0,,0,0,400,,0.0,,0,0,10
5724,1.1143154943617566,1.4050898294654983,0.010585297487033863,0.5271850996309568,M1_global_bias,time_block,4,0,,0.0,,0,0,400,,0.0,,0,0,10
5724,0.7935430486813304,1.0774022369842737,0.010757158269393332,0.7220038893197932,M1b_period_bias,time_block,4,0,0.2755102040816326,0.0675,0.10843373493975905,27,71,373,,0.0,,0,0,10
5724,1.0178402465287473,1.3132960369623705,0.007752188659594614,0.5869446595950971,M2_linear_proxy,time_block,4,1,0.125,0.0075,0.014150943396226414,3,21,397,,0.0,,0,0,10
5724,0.6555610675923856,0.894885793492789,0.01857416766149745,0.8082134259273227,M3_weather_ridge,time_block,4,14,0.46551724137931033,0.0675,0.11790393013100435,27,31,373,,0.0,,0,0,10
5724,0.6436342392310219,0.876115531194812,0.018024879974459916,0.8161745098420368,M4_inertia_ridge,time_block,4,18,0.40131578947368424,0.1525,0.22101449275362317,61,91,339,,0.0,,0,0,10
5724,0.677007118599571,0.916189454138848,0.013776064240973778,0.7989733890491255,M5_v10_morphology_ridge,time_block,4,15,0.2911392405063291,0.115,0.1648745519713262,46,112,354,,0.0,,0,0,10
5724,0.6770071185994978,0.916189454138785,0.01377606424101535,0.7989733890491533,M6_v10_overhead_ridge,time_block,4,17,0.2911392405063291,0.115,0.1648745519713262,46,112,354,,0.0,,0,0,10
5724,0.6770071185995065,0.9161894541387816,0.013776064241001296,0.7989733890491547,M7_compact_weather_ridge,time_block,4,8,0.2911392405063291,0.115,0.1648745519713262,46,112,354,,0.0,,0,0,10
