validation_method,interval_id,model_family,nominal_coverage,sensitivity_id,status,n,empirical_coverage,mean_interval_width_c,median_interval_width_c,near31_n,near31_coverage,near31_threshold_inside_interval_rate,near33_n,near33_coverage,near33_threshold_inside_interval_rate
blocked_time,conformal_m4_residual,conformal_absolute_residual,0.8,all,evaluated,1674,0.7670250896057348,2.5025882607884427,2.544992748576682,165,0.7212121212121212,0.7090909090909091,30,0.1,0.03333333333333333
blocked_time,conformal_m4_residual,conformal_absolute_residual,0.9,all,evaluated,1674,0.8763440860215054,3.3313892711311386,3.38737916565681,165,0.8181818181818182,0.8181818181818182,30,0.2,0.16666666666666666
blocked_time,conformal_m4_residual,conformal_absolute_residual,0.8,no_s142_eval,evaluated,1612,0.7729528535980149,2.5025882607884427,2.544992748576682,162,0.7345679012345679,0.7222222222222222,22,0.13636363636363635,0.045454545454545456
blocked_time,conformal_m4_residual,conformal_absolute_residual,0.9,no_s142_eval,evaluated,1612,0.8808933002481389,3.331389271131139,3.38737916565681,162,0.8209876543209876,0.8209876543209876,22,0.18181818181818182,0.18181818181818182
station_grouped_loso,conformal_m4_residual,conformal_absolute_residual,0.8,all,evaluated,1674,0.7986857825567503,1.9848526317841693,1.9905140519658957,165,0.806060606060606,0.806060606060606,30,0.06666666666666667,0.0
station_grouped_loso,conformal_m4_residual,conformal_absolute_residual,0.9,all,evaluated,1674,0.8984468339307049,2.869257515189043,2.876589261719772,165,0.8848484848484849,0.8727272727272727,30,0.13333333333333333,0.13333333333333333
station_grouped_loso,conformal_m4_residual,conformal_absolute_residual,0.8,no_s142_eval,evaluated,1612,0.8027295285359801,1.9858330772836097,1.9905140519658957,162,0.8209876543209876,0.8209876543209876,22,0.09090909090909091,0.0
station_grouped_loso,conformal_m4_residual,conformal_absolute_residual,0.9,no_s142_eval,evaluated,1612,0.9050868486352357,2.874276456901903,2.8813755828329413,162,0.8950617283950617,0.8827160493827161,22,0.18181818181818182,0.18181818181818182
