validation_method,event_target,companion_id,model_family,sensitivity_id,status,n,positive_exceedance_count,exceedance_MAE,exceedance_RMSE,positive_exceedance_MAE,bias_expected_minus_observed,p90_abs_exceedance_error,p95_abs_exceedance_error,mean_expected_exceedance_c,mean_observed_exceedance_c
blocked_time,ge31,deterministic_score_gap_m4_ge31,deterministic_score_gap,all,evaluated,1674,184,0.09726051941051844,0.34839732769836246,0.7995756340562076,-0.07247080255891095,0.26304168120657745,0.7175661269255231,0.022571013450647003,0.09504181600955795
blocked_time,ge31,two_part_best_p_ridge_ge31,p_ge31_times_positive_ridge,all,evaluated,1674,184,0.12784672519877746,0.37014616026449304,0.7902754877660558,-0.0357423825306531,0.44204255801139014,0.8626238009180275,0.05929943347890485,0.09504181600955795
blocked_time,ge31,direct_ridge_ge31,direct_nonnegative_ridge,all,evaluated,1674,184,0.15247401704917868,0.3458173669502311,0.7175481815515063,-0.00015589615930612595,0.4068059275446526,0.6031951335044878,0.09488591985025183,0.09504181600955795
station_grouped_loso,ge31,deterministic_score_gap_m4_ge31,deterministic_score_gap,all,evaluated,1674,184,0.10012997348033009,0.34392963910901103,0.7787024500411853,-0.057500372224831606,0.2881840440014353,0.744325359385046,0.03754144378472635,0.09504181600955795
station_grouped_loso,ge31,two_part_best_p_ridge_ge31,p_ge31_times_positive_ridge,all,evaluated,1674,184,0.11387276955383786,0.3000321349895115,0.592206483854763,0.009222947068422974,0.46431476753388873,0.6407086257956813,0.10426476307798094,0.09504181600955795
station_grouped_loso,ge31,direct_ridge_ge31,direct_nonnegative_ridge,all,evaluated,1674,184,0.12978303999226595,0.3066308836763676,0.6108702661814263,0.01291417753189563,0.3693156224698563,0.576687429192662,0.10795599354145359,0.09504181600955795
blocked_time,ge31,deterministic_score_gap_m4_ge31,deterministic_score_gap,no_s142_eval,evaluated,1612,170,0.08487924204653126,0.3033700885864186,0.7125479138361337,-0.05913607454678502,0.2050409888736619,0.6313640960136986,0.022873851011527627,0.08200992555831264
blocked_time,ge31,two_part_best_p_ridge_ge31,p_ge31_times_positive_ridge,no_s142_eval,evaluated,1612,170,0.11768497553638023,0.3347989233281955,0.7170305055348486,-0.02302045791461655,0.3999999999999986,0.8087165280406186,0.05898946764369611,0.08200992555831264
blocked_time,ge31,direct_ridge_ge31,direct_nonnegative_ridge,no_s142_eval,evaluated,1612,170,0.14179793945294214,0.30761637960753957,0.6362260720459684,0.012913566999047332,0.40049816800768884,0.520720483564086,0.09492349255735999,0.08200992555831264
station_grouped_loso,ge31,deterministic_score_gap_m4_ge31,deterministic_score_gap,no_s142_eval,evaluated,1612,170,0.08788475334768732,0.2983583348516031,0.6901993976351616,-0.04361555204390042,0.24568222175915871,0.6760786713125994,0.03839437351441223,0.08200992555831264
station_grouped_loso,ge31,two_part_best_p_ridge_ge31,p_ge31_times_positive_ridge,no_s142_eval,evaluated,1612,170,0.10442975743293308,0.26358454307718004,0.513193229353615,0.022706733386865546,0.44138202481012606,0.6149974733566222,0.10471665894517819,0.08200992555831264
station_grouped_loso,ge31,direct_ridge_ge31,direct_nonnegative_ridge,no_s142_eval,evaluated,1612,170,0.11998357637423494,0.26723938003374964,0.5277548822654734,0.02676094748207862,0.36495048105045247,0.528763904049003,0.10877087304039126,0.08200992555831264
