row_uid,validation_method,cv_scheme,fold,station_id,timestamp,date,hour_sgt,official_wbgt_c,wbgt_a_c,wbgt_a_model_id,m4_score,m7_score,wbgt_proxy_v09_c,ge31,ge33,exceedance_ge31_c,exceedance_ge33_c,source_path,row_id,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,shortwave_3h_mean,cloud_cover,precipitation,direct_radiation,diffuse_radiation,has_weather_match,weather_source_base,weather_source_relative_path,shortwave_bin,shortwave_3h_mean_bin,humidity_bin,wind_bin,temperature_bin,cloud_cover_bin,direct_radiation_bin,diffuse_radiation_bin,combined_radiation_hot_regime,hour_sin,hour_cos,radiation_hot_flag,shortwave_very_high_flag,shortwave_3h_very_high_flag
loso|S124|2026-05-07 02:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 02:00:00+08:00,2026-05-07,2,25.5,25.65186569999834,M4_inertia_ridge,25.65186569999834,25.3775962707002,25.4696345351283,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,0,26.3,91.0,2.6,0.0,0.0,100.0,0.4,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,mid,mid,low,low,other,0.49999999999999994,0.8660254037844387,False,False,False
loso|S124|2026-05-07 03:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 03:00:00+08:00,2026-05-07,3,25.3,25.68305140140629,M4_inertia_ridge,25.68305140140629,25.433933873406268,25.464456934294795,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1,26.1,93.0,1.2,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,mid,mid,low,low,other,0.7071067811865476,0.7071067811865476,False,False,False
loso|S124|2026-05-07 04:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 04:00:00+08:00,2026-05-07,4,25.2,25.74799847768628,M4_inertia_ridge,25.74799847768628,25.56938117805816,25.464456934294795,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,2,26.1,93.0,0.5,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,mid,mid,low,low,other,0.8660254037844386,0.5000000000000001,False,False,False
loso|S124|2026-05-07 05:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 05:00:00+08:00,2026-05-07,5,25.1,25.845786452125747,M4_inertia_ridge,25.845786452125747,25.78907667768804,25.36502499647249,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,3,26.0,93.0,0.8,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,mid,mid,low,low,other,0.9659258262890683,0.25881904510252074,False,False,False
loso|S124|2026-05-07 06:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 06:00:00+08:00,2026-05-07,6,24.9,26.075197540121856,M4_inertia_ridge,26.075197540121856,26.24691234431738,25.457619163243248,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,4,25.9,95.0,1.3,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,mid,mid,low,low,other,1.0,6.123233995736766e-17,False,False,False
loso|S124|2026-05-07 07:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 07:00:00+08:00,2026-05-07,7,25.4,26.329045452413865,M4_inertia_ridge,26.329045452413865,26.68233485238036,25.56653236518492,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,5,26.3,92.0,2.9,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,mid,mid,mid,low,low,other,0.9659258262890683,-0.25881904510252063,False,False,False
loso|S124|2026-05-07 08:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 08:00:00+08:00,2026-05-07,8,28.2,28.135585795151734,M4_inertia_ridge,28.135585795151734,27.749005543992368,26.287011592483875,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,6,27.0,92.0,3.1,52.0,10.833333333333332,99.0,0.0,16.0,36.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,mid,high,mid,mid,mid,high,high,highradiation_not_hot,0.8660254037844387,-0.4999999999999998,False,False,False
loso|S124|2026-05-07 09:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 09:00:00+08:00,2026-05-07,9,28.3,29.619938634550696,M4_inertia_ridge,29.619938634550696,28.948687492114445,26.841106135087603,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,7,28.0,87.0,3.6,189.0,56.70833333333333,100.0,0.1,53.0,136.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,mid,high,mid,high,high,radiation_hot,0.7071067811865476,-0.7071067811865475,True,False,False
loso|S124|2026-05-07 10:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 10:00:00+08:00,2026-05-07,10,29.0,30.3621616932714,M4_inertia_ridge,30.3621616932714,29.68509949999024,26.6653326672853,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,8,28.3,82.0,5.8,335.0,150.125,100.0,0.3,109.0,226.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,high,high,mid,high,very_high,radiation_hot,0.49999999999999994,-0.8660254037844387,True,False,False
loso|S124|2026-05-07 11:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 11:00:00+08:00,2026-05-07,11,28.8,30.935897292685866,M4_inertia_ridge,30.935897292685866,30.77827587977019,27.00644854511784,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,9,29.1,77.0,5.7,552.0,296.16666666666663,100.0,0.1,280.0,272.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,high,low,high,very_high,mid,very_high,very_high,radiation_hot,0.258819045102521,-0.9659258262890682,True,True,False
