probability_bin,n,event_count,mean_predicted_probability,p_min,p_max,station_count,observed_event_rate,calibration_gap,abs_calibration_gap,low_support,bin_kind,sensitivity_id,validation_method,event_target,companion_id,model_family,diagnostic_only
"(0.0102, 0.0171]",167,2,0.013396070930845846,0.010220728644782783,0.017096675513639508,27,0.011976047904191617,0.0014200230266542286,0.0014200230266542286,False,quantile,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.0171, 0.0408]",168,20,0.027171856582486834,0.017158064732787585,0.04081632490413018,27,0.11904761904761904,-0.09187576246513221,0.09187576246513221,False,quantile,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.0408, 0.182]",166,21,0.08613171544409755,0.04082716374595103,0.18109819147884926,27,0.12650602409638553,-0.040374308652287985,0.040374308652287985,False,quantile,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.182, 0.41]",167,56,0.3002786385734353,0.1828102207901957,0.408525854924364,27,0.33532934131736525,-0.03505070274392996,0.03505070274392996,False,quantile,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.41, 0.818]",168,74,0.5481763701913719,0.4113206949067188,0.8181523429673844,27,0.44047619047619047,0.10770017971518142,0.10770017971518142,False,quantile,all,blocked_time,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.00,0.10)",1165,5,0.014896955747179967,0.001838359272895932,0.09874070803719932,27,0.004291845493562232,0.010605110253617735,0.010605110253617735,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.10,0.20)",120,10,0.14023664621598259,0.10190862507553299,0.19865260330971782,27,0.08333333333333333,0.05690331288264926,0.05690331288264926,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.20,0.30)",91,24,0.24678077034972123,0.20005388598638882,0.29681741879404233,27,0.26373626373626374,-0.01695549338654251,0.01695549338654251,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.30,0.40)",58,23,0.34908773611136784,0.3004589889695996,0.3999649520391781,22,0.39655172413793105,-0.04746398802656321,0.04746398802656321,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.40,0.50)",77,48,0.4373063792727172,0.4012697187292014,0.4983170052337993,26,0.6233766233766234,-0.18607024410390616,0.18607024410390616,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.50,0.60)",61,29,0.5356488132396914,0.5039158807750672,0.5965056323051993,27,0.47540983606557374,0.060238977174117636,0.060238977174117636,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.60,0.70)",68,40,0.6486549904330992,0.6038517017303541,0.6989400749574651,27,0.5882352941176471,0.060419696315452076,0.060419696315452076,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.70,0.80)",34,25,0.737580760149074,0.7005668453738342,0.7854493687114723,25,0.7352941176470589,0.002286642502015157,0.002286642502015157,False,fixed,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00084, 0.00378]",168,0,0.0029563001406929103,0.001838359272895932,0.003782135830128212,27,0.0,0.0029563001406929103,0.0029563001406929103,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00378, 0.00524]",167,0,0.004588472816671511,0.00378996523717555,0.00521768036202992,27,0.0,0.004588472816671511,0.004588472816671511,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00524, 0.00674]",169,0,0.0059758859147569275,0.005258852567940436,0.006736297729654075,27,0.0,0.0059758859147569275,0.0059758859147569275,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00674, 0.00927]",166,0,0.007834146031222077,0.006777171187687126,0.009260807997259738,27,0.0,0.007834146031222077,0.007834146031222077,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00927, 0.0139]",168,0,0.011821623952989992,0.00931040899498701,0.013944513858175698,27,0.0,0.011821623952989992,0.011821623952989992,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.0139, 0.021]",168,0,0.01687628367857641,0.013947552368408242,0.02100749107382982,27,0.0,0.01687628367857641,0.01687628367857641,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.021, 0.106]",166,6,0.05834005905721964,0.02108003276835343,0.1059344249233109,27,0.03614457831325301,0.022195480743966628,0.022195480743966628,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.106, 0.256]",168,30,0.16868150977691543,0.10623004083372385,0.2560425395102604,27,0.17857142857142858,-0.009889918794513147,0.009889918794513147,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.256, 0.489]",166,73,0.3715127494261243,0.2666324326037052,0.48573002652800246,27,0.4397590361445783,-0.06824628671845401,0.06824628671845401,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.489, 0.785]",168,95,0.6210256495008858,0.49091675215249786,0.7854493687114723,27,0.5654761904761905,0.055549459024695325,0.055549459024695325,False,quantile,all,blocked_time,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.00,0.10)",1318,9,0.006850870196598894,1e-06,0.07230760564511671,27,0.006828528072837633,2.2342123761260636e-05,2.2342123761260636e-05,False,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.20,0.30)",42,26,0.28563708220475986,0.2108249702798616,0.2975206611570248,9,0.6190476190476191,-0.3334105368428592,0.3334105368428592,False,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.30,0.40)",84,13,0.30776108581335465,0.30327868852459017,0.3333333333333333,19,0.15476190476190477,0.15299918105144988,0.15299918105144988,False,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.40,0.50)",1,0,0.4400495017415505,0.4400495017415505,0.4400495017415505,1,0.0,0.4400495017415505,0.4400495017415505,True,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.50,0.60)",1,1,0.5525231896087784,0.5525231896087784,0.5525231896087784,1,1.0,-0.44747681039122156,0.44747681039122156,True,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.60,0.70)",129,82,0.6412154741199211,0.6229508196721312,0.664,27,0.6356589147286822,0.005556559391238891,0.005556559391238891,False,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.70,0.80)",87,63,0.7160857903415461,0.7023809523809523,0.75,27,0.7241379310344828,-0.008052140692936693,0.008052140692936693,False,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.80,0.90)",5,4,0.8303031124546599,0.8,0.8848488956066332,4,0.8,0.030303112454659886,0.030303112454659886,True,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.90,1.00)",7,6,0.9970790191247291,0.9795591338731036,0.999999,7,0.8571428571428571,0.13993616198187198,0.13993616198187198,True,fixed,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(-0.000999, 0.0449]",1175,6,0.0006219390104929557,1e-06,0.04487179487179487,27,0.005106382978723404,-0.004484443968230448,0.004484443968230448,False,quantile,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.0449, 0.287]",165,20,0.08713210752426252,0.045454545454545456,0.28688524590163933,27,0.12121212121212122,-0.03408001368785869,0.03408001368785869,False,quantile,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.287, 0.639]",182,88,0.44411961936396116,0.29464285714285715,0.639344262295082,27,0.4835164835164835,-0.03939686415252236,0.03939686415252236,False,quantile,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"(0.639, 1.0]",152,90,0.7110571716160962,0.64,0.999999,27,0.5921052631578947,0.11895190845820147,0.11895190845820147,False,quantile,all,station_grouped_loso,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
"[0.00,0.10)",1236,6,0.012773356810860663,0.0011802321608791954,0.09932298815739506,27,0.0048543689320388345,0.007918987878821828,0.007918987878821828,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.10,0.20)",88,17,0.1469752512926983,0.10098170841559076,0.19878757261661234,27,0.19318181818181818,-0.046206566889119866,0.046206566889119866,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.20,0.30)",58,8,0.25175015940347983,0.20257023420084955,0.2988068060554333,25,0.13793103448275862,0.11381912492072122,0.11381912492072122,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.30,0.40)",38,11,0.3386327474930801,0.3004382149406542,0.39988060051974705,24,0.2894736842105263,0.04915906328255376,0.04915906328255376,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
