sensitivity_id,validation_method,event_target,official_event_threshold_c,companion_id,model_family,output_kind,diagnostic_only,operating_point,threshold_source,status,n_folds_evaluated,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_recall_std,fold_precision_std
all,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,5,0.36,0.33,0.39,0.5763358778625954,0.7401960784313726,0.6480686695278971,0.4793650793650794,0.42366412213740456,0.25980392156862747,151.0,111.0,53.0,1359.0,1674.0,0.3584364366070296,0.27961107269750723
all,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,5,0.6280000000000001,0.42,0.68,0.49230769230769234,0.3137254901960784,0.38323353293413176,0.23703703703703705,0.5076923076923077,0.6862745098039216,64.0,66.0,140.0,1404.0,1674.0,0.2724601277723028,0.08136482939632547
all,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,5,0.19799999999999998,0.15,0.21,0.46359223300970875,0.9362745098039216,0.6201298701298701,0.44941176470588234,0.5364077669902912,0.06372549019607843,191.0,221.0,13.0,1249.0,1674.0,0.33092228213856345,0.22399638319084436
all,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,best_F1,train_selected,evaluated_on_heldout,5,27.02,26.85,27.7,0.38380281690140844,0.5343137254901961,0.44672131147540983,0.287598944591029,0.6161971830985915,0.46568627450980393,109.0,175.0,95.0,1295.0,1674.0,0.41278246658504963,0.306246226903516
all,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,fixed_31,fixed,evaluated_on_heldout,5,31.0,31.0,31.0,,0.0,,0.0,,1.0,0.0,0.0,204.0,1470.0,1674.0,0.0,
all,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,precision70,train_selected,evaluated_on_heldout,5,27.860000000000003,27.8,28.1,0.7195121951219512,0.28921568627450983,0.41258741258741255,0.2599118942731278,0.2804878048780488,0.7107843137254902,59.0,23.0,145.0,1447.0,1674.0,0.2525589916148819,0.15333333333333332
all,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,recall90,train_selected,evaluated_on_heldout,5,26.72,26.6,27.0,0.3927710843373494,0.7990196078431373,0.5266558966074313,0.3574561403508772,0.6072289156626506,0.20098039215686275,163.0,252.0,41.0,1218.0,1674.0,0.40619712885602227,0.24216626609383388
all,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,5,29.869999999999997,29.25,30.4,0.4981549815498155,0.6617647058823529,0.5684210526315789,0.39705882352941174,0.5018450184501845,0.3382352941176471,135.0,136.0,69.0,1334.0,1674.0,0.23083922976154356,0.2403323660936784
all,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,5,31.0,31.0,31.0,0.6491228070175439,0.3627450980392157,0.46540880503144655,0.30327868852459017,0.3508771929824561,0.6372549019607843,74.0,40.0,130.0,1430.0,1674.0,0.2091374423059575,0.019518272425249172
all,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,precision70,train_selected,evaluated_on_heldout,5,31.119999999999997,30.4,31.3,0.5075757575757576,0.3284313725490196,0.39880952380952384,0.24907063197026022,0.49242424242424243,0.6715686274509803,67.0,65.0,137.0,1405.0,1674.0,0.2396743412100508,0.059793148028442156
