validation_method,event_target,official_event_threshold_c,companion_id,model_family,diagnostic_only,sensitivity_id,status,n,event_count,Brier,log_loss,PR_AUC,ROC_AUC,calibration_intercept,calibration_slope,p05_predicted_probability,p50_predicted_probability,p95_predicted_probability,station_count,ECE_fixed,MCE_fixed,reliability_bin_count_fixed,ECE_quantile,MCE_quantile,reliability_bin_count_quantile,notes
blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,False,all,evaluated,1674,204,0.06337229681619869,0.19325504914667985,0.6074560172065966,0.9417917166866747,0.027868299788634737,1.2079051891013333,0.00292267605268698,0.013944513858175698,0.6240722552991055,27.0,0.02728045626836309,0.18607024410390616,8.0,0.020550611528846678,0.06824628671845401,10.0,
blocked_time,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,False,all,evaluated,1674,204,0.07412345265844464,0.2245776243019743,0.5023311470021625,0.927984527144191,-0.18699554663749077,0.4584810221043023,1e-06,1e-06,0.7325581395348837,27.0,0.05055446869030951,0.999999,8.0,0.039317969935095634,0.16664090129834308,4.0,
blocked_time,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,False,all,evaluated,1674,204,0.09144325935999978,0.36574403856318594,0.3612819115234276,0.7796351874082966,-0.6030898668966643,0.4609422080259354,0.0029734829083735235,0.010217223478768757,0.545611833003663,27.0,0.050850765539989344,0.816891010388837,9.0,0.044549392320912734,0.12162334360080164,10.0,
station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,False,all,evaluated,1674,204,0.052410136121039015,0.170253358750832,0.6099563111732678,0.9467987194877951,-0.08236159895639765,0.7450078385995106,1e-06,1e-06,0.7023809523809523,27.0,0.01811263326456016,0.44747681039122156,9.0,0.021591005545145252,0.11895190845820147,4.0,
station_grouped_loso,ge31,31.0,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False,all,evaluated,1674,204,0.052410136121039015,0.17025335875083203,0.6099563111732678,0.9467987194877951,-0.08236159895639758,0.7450078385995105,1e-06,1e-06,0.7023809523809523,27.0,0.018112633264560155,0.44747681039122156,9.0,0.021591005545145255,0.11895190845820147,4.0,
station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,False,all,evaluated,1674,204,0.05422899966489754,0.17016424973938163,0.6840562474253992,0.9561224489795919,-0.09625234011791073,1.1472331775032008,0.0027383646545955293,0.007260197026783196,0.6802454665473775,27.0,0.030423226605996743,0.20184950422123082,10.0,0.013148604392268722,0.05606377059790835,10.0,
station_grouped_loso,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,False,all,evaluated,1674,204,0.05653244441548549,0.17587480131639177,0.6519999830735923,0.9543617446978792,0.02214350154809992,1.4105579131103154,0.0031052331717393955,0.00829082917435114,0.6119747512210824,27.0,0.026009988400876934,0.11231493052727204,8.0,0.021994548074630915,0.06903660376861372,10.0,
station_grouped_loso,ge33,33.0,P_ge33_exploratory,support_gate,True,all,LOW_SUPPORT,1674,15,,,,,,,,,,,,,,,,,ge33 probability model skipped because primary LOSO positive-event support is below configured minimum.
blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,False,no_s142_eval,evaluated,1612,189,0.06187724512622219,0.18930363214289803,0.5996638839658777,0.9423975727559705,-0.04616943481415207,1.2212948160366595,0.0029223503432156102,0.013944513858175698,0.6240722552991055,26.0,0.028113477615446768,0.16515183997595584,8.0,0.021403805345079848,0.07278384215202482,10.0,
blocked_time,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,False,no_s142_eval,evaluated,1612,189,0.07280832720761532,0.22067359905764697,0.4892217458666321,0.9274410943420079,-0.2556549113661477,0.45792455850842156,1e-06,1e-06,0.7325581395348837,26.0,0.048225507014759084,0.999999,8.0,0.03700799697198284,0.17756122234899618,4.0,
blocked_time,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,False,no_s142_eval,evaluated,1612,189,0.0899909879597549,0.36145852972912274,0.34646585425095583,0.7735055605751319,-0.6918208909524829,0.44516419923755207,0.002953216192783105,0.010217223478768757,0.546378741157202,26.0,0.05232632690966944,0.816891010388837,9.0,0.040912075907742804,0.12006087282762537,10.0,
