companion_id,model_family,operating_point,station_id,focus_station_flag,n,event_count_ge31,TP,FP,FN,TN,precision,recall,F1,false_alarm_ratio,miss_rate,mean_output_value,mean_expected_exceedance_ge31_c
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S128,False,62,11,4,0,7,51,1.0,0.36363636363636365,0.5333333333333333,0.0,0.6363636363636364,0.11980449131611615,0.10361391851435259
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S129,False,62,10,4,0,6,52,1.0,0.4,0.5714285714285715,0.0,0.6,0.11251100886980496,0.10267409217676263
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S130,False,62,6,1,1,5,55,0.5,0.16666666666666666,0.25,0.5,0.8333333333333334,0.12051932547509009,0.11402809472831008
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S132,False,62,9,4,1,5,52,0.8,0.4444444444444444,0.5714285714285714,0.2,0.5555555555555556,0.12362288450081663,0.09568681415346668
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S135,False,62,11,2,1,9,50,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3333333333333333,0.8181818181818182,0.10885143998503183,0.09103077590946063
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S137,False,62,13,2,0,11,49,1.0,0.15384615384615385,0.2666666666666667,0.0,0.8461538461538461,0.11597618457951105,0.10644218964300546
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S139,True,62,1,1,8,0,53,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,0.0,0.12195950247524151,0.11224474738870474
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S140,False,62,4,3,2,1,56,0.6,0.75,0.6666666666666665,0.4,0.25,0.12626854734196485,0.09363213526842022
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S141,False,62,10,4,0,6,52,1.0,0.4,0.5714285714285715,0.0,0.6,0.12174529051042551,0.10584264001171449
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S142,True,62,15,2,0,13,47,1.0,0.13333333333333333,0.23529411764705882,0.0,0.8666666666666667,0.11412229578107011,0.09251547053085184
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S143,False,62,7,3,1,4,54,0.75,0.42857142857142855,0.5454545454545454,0.25,0.5714285714285714,0.1382095188470028,0.10468007231569113
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S144,False,62,8,3,1,5,53,0.75,0.375,0.5,0.25,0.625,0.1257362928136112,0.12394909533697276
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S145,False,62,8,4,0,4,54,1.0,0.5,0.6666666666666666,0.0,0.5,0.11255134330487569,0.09253661635910584
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S146,False,62,3,2,2,1,57,0.5,0.6666666666666666,0.5714285714285715,0.5,0.3333333333333333,0.11921279703550956,0.09569176276951703
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S147,False,62,10,4,0,6,52,1.0,0.4,0.5714285714285715,0.0,0.6,0.12459648610765459,0.12157144850993377
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S148,False,62,5,2,2,3,55,0.5,0.4,0.4444444444444445,0.5,0.6,0.12384788032488517,0.10812414852581541
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S149,False,62,5,3,1,2,56,0.75,0.6,0.6666666666666665,0.25,0.4,0.12360865189951185,0.10907540260645433
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S150,False,62,3,0,2,3,57,0.0,0.0,,1.0,1.0,0.12279388503571496,0.11054668292721574
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S151,False,62,9,3,0,6,53,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.11460871182232375,0.09496931996842535
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S153,False,62,7,2,2,5,53,0.5,0.2857142857142857,0.36363636363636365,0.5,0.7142857142857143,0.12372140729188669,0.09558584458465486
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S180,False,62,9,4,0,5,53,1.0,0.4444444444444444,0.6153846153846153,0.0,0.5555555555555556,0.12260423435970774,0.09739936340840563
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S184,False,62,6,3,1,3,55,0.75,0.5,0.6,0.25,0.5,0.12580312199839597,0.10952723202015846
isotonic_m4_score_ge31,sklearn_isotonic_regression,precision70,S187,False,62,8,2,0,6,54,1.0,0.25,0.4,0.0,0.75,0.1191168864213351,0.11173380893192192
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S124,False,62,0,0,13,0,49,0.0,,,1.0,,0.1268822180490889,0.10773295157177701
