asset_type,logical_name,original_expected_path,candidate_match_count,candidate_root_aliases,selected_root_alias,remap_status,notes
raster_tile,TP_0098_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0098/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0098_wall_height,data/solweig/v12_n24_tiles/TP_0098/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0098_wall_aspect,data/solweig/v12_n24_tiles/TP_0098/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0098_svf_base,data/solweig/v12_n24_tiles/TP_0098/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0098_svf_overhead,data/solweig/v12_n24_tiles/TP_0098/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0115_focus_cell,data/solweig/v12_n24_tiles/TP_0115/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_dsm_buildings,data/solweig/v12_n24_tiles/TP_0115/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_dem,data/solweig/v12_n24_tiles/TP_0115/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_vegetation_base,data/solweig/v12_n24_tiles/TP_0115/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0115/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_wall_height,data/solweig/v12_n24_tiles/TP_0115/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0115_wall_aspect,data/solweig/v12_n24_tiles/TP_0115/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0115_svf_base,data/solweig/v12_n24_tiles/TP_0115/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0115_svf_overhead,data/solweig/v12_n24_tiles/TP_0115/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0141_focus_cell,data/solweig/v12_n24_tiles/TP_0141/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_dsm_buildings,data/solweig/v12_n24_tiles/TP_0141/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_dem,data/solweig/v12_n24_tiles/TP_0141/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_vegetation_base,data/solweig/v12_n24_tiles/TP_0141/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0141/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_wall_height,data/solweig/v12_n24_tiles/TP_0141/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0141_wall_aspect,data/solweig/v12_n24_tiles/TP_0141/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0141_svf_base,data/solweig/v12_n24_tiles/TP_0141/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0141_svf_overhead,data/solweig/v12_n24_tiles/TP_0141/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0154_focus_cell,data/solweig/v12_n24_tiles/TP_0154/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_dsm_buildings,data/solweig/v12_n24_tiles/TP_0154/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_dem,data/solweig/v12_n24_tiles/TP_0154/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_vegetation_base,data/solweig/v12_n24_tiles/TP_0154/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0154/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_wall_height,data/solweig/v12_n24_tiles/TP_0154/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0154_wall_aspect,data/solweig/v12_n24_tiles/TP_0154/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0154_svf_base,data/solweig/v12_n24_tiles/TP_0154/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0154_svf_overhead,data/solweig/v12_n24_tiles/TP_0154/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0254_focus_cell,data/solweig/v12_n24_tiles/TP_0254/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_dsm_buildings,data/solweig/v12_n24_tiles/TP_0254/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_dem,data/solweig/v12_n24_tiles/TP_0254/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_vegetation_base,data/solweig/v12_n24_tiles/TP_0254/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0254/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_wall_height,data/solweig/v12_n24_tiles/TP_0254/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0254_wall_aspect,data/solweig/v12_n24_tiles/TP_0254/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0254_svf_base,data/solweig/v12_n24_tiles/TP_0254/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0254_svf_overhead,data/solweig/v12_n24_tiles/TP_0254/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0301_focus_cell,data/solweig/v12_n24_tiles/TP_0301/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_dsm_buildings,data/solweig/v12_n24_tiles/TP_0301/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_dem,data/solweig/v12_n24_tiles/TP_0301/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_vegetation_base,data/solweig/v12_n24_tiles/TP_0301/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0301/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_wall_height,data/solweig/v12_n24_tiles/TP_0301/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0301_wall_aspect,data/solweig/v12_n24_tiles/TP_0301/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0301_svf_base,data/solweig/v12_n24_tiles/TP_0301/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0301_svf_overhead,data/solweig/v12_n24_tiles/TP_0301/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0326_focus_cell,data/solweig/v12_n24_tiles/TP_0326/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_dsm_buildings,data/solweig/v12_n24_tiles/TP_0326/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_dem,data/solweig/v12_n24_tiles/TP_0326/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_vegetation_base,data/solweig/v12_n24_tiles/TP_0326/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0326/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_wall_height,data/solweig/v12_n24_tiles/TP_0326/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0326_wall_aspect,data/solweig/v12_n24_tiles/TP_0326/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0326_svf_base,data/solweig/v12_n24_tiles/TP_0326/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
