model,split_type,heldout_station_id,n_train,n_test,description,bias,global_bias,bias_daytime,bias_nighttime,bias_shoulder,intercept,slope,coef_std_wbgt_proxy_physics,coef_std_shortwave_radiation,coef_std_diffuse_fraction,coef_std_direct_fraction,coef_std_wind_speed_10m,coef_std_cloud_cover,coef_std_hour_sin_beta,coef_std_hour_cos_beta,coef_std_shortwave_3h_mean,coef_std_shortwave_lag_1h,coef_std_shortwave_lag_2h,coef_std_cumulative_day_shortwave_whm2,coef_std_dTair_dt_1h,coef_std_station_nearest_grid_svf,coef_std_station_nearest_grid_shade_fraction,coef_std_station_nearest_grid_tree_canopy_fraction,coef_std_station_nearest_grid_ndvi_mean,coef_std_station_nearest_grid_road_fraction,coef_std_station_nearest_grid_building_density
M0_raw_proxy,apparent,ALL,2564,2564,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S124,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S125,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S126,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S127,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S128,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S129,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S130,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S132,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S135,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S137,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S139,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S140,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S141,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S142,2470,94,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S143,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S144,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S145,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S146,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S147,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S148,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S149,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S150,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S151,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S153,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S180,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S184,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M0_raw_proxy,LOSO,S187,2469,95,Raw physics proxy; no calibration.,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,apparent,ALL,2564,2564,Train-set mean residual added to proxy.,1.1403595117184548,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S124,2469,95,Train-set mean residual added to proxy.,1.1621799420228036,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S125,2469,95,Train-set mean residual added to proxy.,1.1372583394664468,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S126,2469,95,Train-set mean residual added to proxy.,1.1355602884741611,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S127,2469,95,Train-set mean residual added to proxy.,1.1200484978811294,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S128,2469,95,Train-set mean residual added to proxy.,1.1286829108189118,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S129,2469,95,Train-set mean residual added to proxy.,1.1305882044772386,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S130,2469,95,Train-set mean residual added to proxy.,1.127623971594011,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S132,2469,95,Train-set mean residual added to proxy.,1.1328878695707831,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S135,2469,95,Train-set mean residual added to proxy.,1.1489210385966393,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S137,2469,95,Train-set mean residual added to proxy.,1.1198572984489263,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S139,2469,95,Train-set mean residual added to proxy.,1.1598882278979683,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S140,2469,95,Train-set mean residual added to proxy.,1.1572694824798315,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S141,2469,95,Train-set mean residual added to proxy.,1.137107374164396,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S142,2470,94,Train-set mean residual added to proxy.,1.1108264217353871,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S143,2469,95,Train-set mean residual added to proxy.,1.1359155060567059,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S144,2469,95,Train-set mean residual added to proxy.,1.129688028055289,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S145,2469,95,Train-set mean residual added to proxy.,1.1457618648420826,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S146,2469,95,Train-set mean residual added to proxy.,1.1601633273572676,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S147,2469,95,Train-set mean residual added to proxy.,1.1341432730937662,,,,,,,,,,,,,,,,,,,,,,,,,
M1_global_bias,LOSO,S148,2469,95,Train-set mean residual added to proxy.,1.161569971261194,,,,,,,,,,,,,,,,,,,,,,,,,
