model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M0_raw_proxy,apparent,10.25,27,-2.282789816159943,2.282789816159943,29.485185185185188,27.202395369025243
M0_raw_proxy,apparent,10.5,27,-2.459443645206958,2.459443645206958,29.75185185185185,27.292408206644897
M0_raw_proxy,apparent,10.75,27,-2.589403749358565,2.589403749358565,29.97037037037037,27.380966621011808
M0_raw_proxy,apparent,11.0,27,-2.631944989220658,2.631944989220658,30.1,27.46805501077934
M0_raw_proxy,apparent,11.25,27,-2.5726505034805225,2.5726505034805225,30.133333333333333,27.56068282985281
M0_raw_proxy,apparent,11.5,27,-2.7039574838179368,2.7039574838179368,30.355555555555558,27.65159807173762
M0_raw_proxy,apparent,11.75,27,-2.8295683406203533,2.8295683406203533,30.570370370370373,27.740802029750018
M0_raw_proxy,apparent,12.0,27,-2.756886089885737,2.756886089885737,30.58518518518519,27.828299095299453
M0_raw_proxy,apparent,12.25,27,-2.8358235276526047,2.8358235276526047,30.57407407407407,27.738250546421472
M0_raw_proxy,apparent,12.5,27,-3.0667976968394184,3.0667976968394184,30.71481481481481,27.648017117975396
M0_raw_proxy,apparent,12.75,27,-3.305372248885131,3.305372248885131,30.86296296296296,27.557590714077833
M0_raw_proxy,apparent,13.0,27,-3.4774785999557234,3.4774785999557234,30.94444444444444,27.466965844488726
M0_raw_proxy,apparent,13.25,27,-3.5048692572660465,3.5048692572660465,31.07407407407408,27.56920481680803
M0_raw_proxy,apparent,13.5,27,-3.457150430772535,3.457150430772535,31.13333333333333,27.676182902560797
M0_raw_proxy,apparent,13.75,27,-3.2047246546075536,3.2047246546075536,31.0,27.795275345392447
M0_raw_proxy,apparent,14.0,27,-2.6659982498740655,2.6659982498740655,30.62962962962963,27.963631379755565
M0_raw_proxy,apparent,14.25,27,-2.8631219689526244,2.8631219689526244,30.56666666666667,27.703544697714044
M0_raw_proxy,apparent,14.5,27,-3.140821426838653,3.140821426838653,30.633333333333333,27.49251190649468
M0_raw_proxy,apparent,14.75,26,-3.466188483663042,3.466188483663042,30.765384615384615,27.299196131721576
M0_raw_proxy,apparent,15.0,27,-3.855297488778934,3.855297488778934,30.955555555555552,27.100258066776618
M0_raw_proxy,apparent,15.25,27,-4.275573022908041,4.275573022908041,31.3037037037037,27.028130680795655
M0_raw_proxy,apparent,15.5,27,-4.437395116036864,4.437395116036864,31.392592592592592,26.95519747655573
M0_raw_proxy,apparent,15.75,27,-4.207521494235852,4.207521494235852,31.08888888888889,26.88136739465304
M0_raw_proxy,apparent,16.0,27,-4.01567672707093,4.01567672707093,30.82222222222222,26.806545495151294
M0_raw_proxy,apparent,16.25,27,-3.573417970963482,3.573417970963482,30.4037037037037,26.830285732740226
M0_raw_proxy,apparent,16.5,27,-3.1381906599576044,3.1381906599576044,29.992592592592594,26.854401932634985
M0_raw_proxy,apparent,16.75,27,-2.7101311252848768,2.7101311252848768,29.58888888888889,26.878757763604014
M0_raw_proxy,apparent,17.0,27,-1.9300882220290807,1.9300882220290807,28.833333333333332,26.903245111304255
