n,bias_pred_minus_obs,mae,rmse,p90_abs_error,model,split_type,station_id,station_name
95,-0.5732580125454311,0.8055396360808731,1.2061010806256964,2.2352604622360355,M0_raw_proxy,apparent,S124,Upper Changi Road North
95,-1.2209573463522176,1.4753645831965152,1.935332734506905,3.5502201482478193,M0_raw_proxy,apparent,S125,Woodlands Street 13
95,-1.2650887979306757,1.5028916885007564,2.269899759445119,4.289732560462052,M0_raw_proxy,apparent,S126,Old Chua Chu Kang Road
95,-1.668232071343258,1.668232071343258,2.345948715397981,4.254516343727143,M0_raw_proxy,apparent,S127,Stadium Road
95,-1.4438282235181565,1.5438674520686297,2.438780249142495,4.474180050193691,M0_raw_proxy,apparent,S128,Bishan Street
95,-1.3943106441243782,1.3967929640557288,2.057382465561601,3.577947451588685,M0_raw_proxy,apparent,S129,Bedok North Street 2
95,-1.4713494966368907,1.4740024794072548,1.9767166600092108,3.532240223528439,M0_raw_proxy,apparent,S130,West Coast Road
95,-1.3345435586932055,1.3345435586932055,1.8263527019894286,3.4186118334531956,M0_raw_proxy,apparent,S132,Jurong West Street 93
95,-0.91784993422122,1.497486532785663,2.1223453259674243,3.7775376645012497,M0_raw_proxy,apparent,S135,Mandai Wildlife Reserve
95,-1.673201243954935,1.6753554917727247,2.1435333107136922,3.5963558236477167,M0_raw_proxy,apparent,S137,Sakra Road
95,-0.6328184564845749,1.4449284348926297,1.770879997434121,2.925252848357941,M0_raw_proxy,apparent,S139,Tuas Terminal Gateway
95,-0.7008782716148867,1.0301380626918364,1.4645297517754465,2.5308163289489847,M0_raw_proxy,apparent,S140,Choa Chu Kang Stadium
95,-1.224880855097104,1.312879540030106,2.0516681445897884,3.9704292872315374,M0_raw_proxy,apparent,S141,Yio Chu Kang Stadium
94,-1.91638857829481,1.917839281757014,2.848726190409379,5.213051889320602,M0_raw_proxy,apparent,S142,Sentosa Palawan Green
95,-1.2558568799169643,1.2923232521522128,1.778893759226622,3.1518577466379876,M0_raw_proxy,apparent,S143,Punggol North
95,-1.417705755553784,1.417705755553784,2.0337222320081847,3.444386389181165,M0_raw_proxy,apparent,S144,Upper Pickering Street
95,-0.9999551973791145,1.0727559243006457,1.6249981312353785,3.1758654858883832,M0_raw_proxy,apparent,S145,MacRitchie Reservoir
95,-0.6256687663265766,1.198310294609663,1.5592566545479576,2.734968907601401,M0_raw_proxy,apparent,S146,Jalan Bahar
