timestamp_sgt,station_id,station_name,y_true,heat_stress_category,M0_raw_proxy,M1_global_bias,M2_linear_proxy,M4_inertia_ridge
2026-05-07 02:00:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.678267877554852,25.474380834437483
2026-05-07 02:00:00+08:00,S128,Bishan Street,25.1,Low,24.74886834933417,25.877551260153083,24.491646067308924,25.016540645957527
2026-05-07 02:00:00+08:00,S145,MacRitchie Reservoir,24.7,Low,24.52942689456677,25.675188759408854,24.00946949204582,24.831168636262056
2026-05-07 02:15:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.678267877554852,25.46734337333548
2026-05-07 02:15:00+08:00,S128,Bishan Street,25.0,Low,24.74744910463909,25.876132015458005,24.488909814091794,25.003701785883017
2026-05-07 02:15:00+08:00,S145,MacRitchie Reservoir,24.8,Low,24.504303105101634,25.650064969943717,23.96005584553355,24.8029451365077
2026-05-07 02:30:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.678267877554852,25.460121379175604
2026-05-07 02:30:00+08:00,S128,Bishan Street,25.0,Low,24.746007790850765,25.874690701669678,24.486131012449004,24.990575567157183
2026-05-07 02:30:00+08:00,S145,MacRitchie Reservoir,24.9,Low,24.47917931518285,25.624941180024933,23.91064219812905,24.774543521438297
2026-05-07 02:45:00+08:00,S127,Stadium Road,25.7,Low,25.36502499647249,26.485073494353617,25.678267877554852,25.452748259998604
2026-05-07 02:45:00+08:00,S128,Bishan Street,24.9,Low,24.744544575774405,25.87322748659332,24.48330998590303,24.97718795523726
2026-05-07 02:45:00+08:00,S145,MacRitchie Reservoir,24.9,Low,24.45405552481017,25.59981738965225,23.86122854983181,24.74599232231502
2026-05-07 03:00:00+08:00,S127,Stadium Road,25.8,Low,25.36502499647249,26.485073494353617,25.678267877554852,25.44525807098577
2026-05-07 03:00:00+08:00,S128,Bishan Street,24.9,Low,24.743059626034984,25.871742536853898,24.48044705570089,24.980645880320182
2026-05-07 03:00:00+08:00,S145,MacRitchie Reservoir,24.8,Low,24.428931733983305,25.574693598825387,23.81181490064129,24.73427111105526
2026-05-07 03:15:00+08:00,S127,Stadium Road,25.9,Low,25.387419487784506,26.507467985665635,25.72144640770994,25.462193148059377
2026-05-07 03:15:00+08:00,S128,Bishan Street,24.9,Low,24.691434455585267,25.82011736640418,24.380915566016345,24.938348003815463
2026-05-07 03:15:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.328436566128552,25.474198430970635,23.61416029493554,24.660269639241683
2026-05-07 03:30:00+08:00,S127,Stadium Road,25.9,Low,25.40964532871386,26.52969382659499,25.764299765235215,25.478947953965076
2026-05-07 03:30:00+08:00,S128,Bishan Street,24.9,Low,24.63975073093586,25.768433641754772,24.281271185920563,24.89584308692454
2026-05-07 03:30:00+08:00,S145,MacRitchie Reservoir,24.8,Low,24.22794139098496,25.373703255827042,23.41650567489405,24.586207513109592
2026-05-07 03:45:00+08:00,S127,Stadium Road,25.9,Low,25.43170681670257,26.551755314583698,25.806836235973243,25.495560982928417
2026-05-07 03:45:00+08:00,S128,Bishan Street,24.8,Low,24.588008772981222,25.716691683800136,24.181514534086627,24.853160691005403
2026-05-07 03:45:00+08:00,S145,MacRitchie Reservoir,24.9,Low,24.127446208534906,25.27320807337699,23.218851040482154,24.512115068271463
2026-05-07 04:00:00+08:00,S127,Stadium Road,25.9,Low,25.45360815564331,26.573656653524438,25.849063925395335,25.512070709068464
2026-05-07 04:00:00+08:00,S128,Bishan Street,24.8,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.810330938739202
2026-05-07 04:00:00+08:00,S145,MacRitchie Reservoir,24.7,Low,24.026951018760712,25.172712883602795,23.021196391665097,24.438022770144308
2026-05-07 04:15:00+08:00,S127,Stadium Road,25.9,Low,25.477529763311743,26.597578261192872,25.895186868920987,25.510068125188894
2026-05-07 04:15:00+08:00,S128,Bishan Street,24.8,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.786600916956587
2026-05-07 04:15:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.05207481689186,25.197836681733943,23.07061005522174,24.429210784470428
2026-05-07 04:30:00+08:00,S127,Stadium Road,25.9,Low,25.50144685317371,26.62149535105484,25.941301101722196,25.508154557534233
2026-05-07 04:30:00+08:00,S128,Bishan Street,24.8,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.762830204200228
2026-05-07 04:30:00+08:00,S145,MacRitchie Reservoir,24.5,Low,24.07719861456444,25.222960479406524,23.120023717876467,24.420459749390027
2026-05-07 04:45:00+08:00,S127,Stadium Road,25.8,Low,25.52535951963877,26.645408017519898,25.98740680582882,25.50636450673691
2026-05-07 04:45:00+08:00,S128,Bishan Street,24.6,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.73904958603471
2026-05-07 04:45:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.10232241177869,25.248084276620773,23.169437379629745,24.411799737571965
2026-05-07 05:00:00+08:00,S127,Stadium Road,25.9,Low,25.549267856395996,26.669316354277125,26.033504161881552,25.50473192904412
2026-05-07 05:00:00+08:00,S128,Bishan Street,24.6,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.71528989044111
2026-05-07 05:00:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.127446208534906,25.27320807337699,23.218851040482154,24.403260431908006
2026-05-07 05:15:00+08:00,S127,Stadium Road,25.9,Low,25.524255379172796,26.644303877053925,25.98527792682276,25.49070238047982
2026-05-07 05:15:00+08:00,S128,Bishan Street,24.6,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.722058300168488
2026-05-07 05:15:00+08:00,S145,MacRitchie Reservoir,24.5,Low,24.10232241177869,25.248084276620773,23.169437379629745,24.395443027745316
2026-05-07 05:30:00+08:00,S127,Stadium Road,25.8,Low,25.49924290147685,26.61929139935798,25.93705169085247,25.476899266810914
2026-05-07 05:30:00+08:00,S128,Bishan Street,24.5,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.728908888022435
2026-05-07 05:30:00+08:00,S145,MacRitchie Reservoir,24.5,Low,24.07719861456444,25.222960479406524,23.120023717876467,24.387804019974972
2026-05-07 05:45:00+08:00,S127,Stadium Road,25.7,Low,25.47423042330789,26.59427892118902,25.888825453970163,25.463353980996203
