dataset,model,operating_point,available,threshold_c,precision,recall,f1,tp,fp,fn
all_stations,M3_weather_ridge,fixed_31,True,31.0,0.6862745098039216,0.04922644163150492,0.09186351706036745,140,64,2704
all_stations,M3_weather_ridge,best_F1,True,29.95,0.4513692162417375,0.5042194092827004,0.4763328350772296,1434,1743,1410
all_stations,M3_weather_ridge,recall_90,True,28.45,0.2586432819272251,0.9022503516174403,0.40203681942812375,2566,7355,278
all_stations,M3_weather_ridge,precision_70,True,31.5,1.0,0.00035161744022503517,0.00070298769771529,1,0,2843
all_stations,M4_inertia_ridge,fixed_31,True,31.0,0.6467065868263473,0.0759493670886076,0.13593455003146634,216,118,2628
all_stations,M4_inertia_ridge,best_F1,True,29.85,0.42270896273917424,0.590365682137834,0.4926643192488263,1679,2293,1165
all_stations,M4_inertia_ridge,recall_90,True,28.45,0.2710735060814384,0.9011954992967651,0.4167818521831043,2563,6892,281
all_stations,M4_inertia_ridge,precision_70,True,31.35,0.74,0.013009845288326301,0.025570145127850726,37,13,2807
all_stations,M5_v10_morphology_ridge,fixed_31,True,31.0,0.6403162055335968,0.056962025316455694,0.10461737164998386,162,91,2682
all_stations,M5_v10_morphology_ridge,best_F1,True,29.5,0.368450810403317,0.6874120956399438,0.47975460122699387,1955,3351,889
all_stations,M5_v10_morphology_ridge,recall_90,True,28.4,0.2641178895300907,0.9011954992967651,0.40851131654446926,2563,7141,281
all_stations,M5_v10_morphology_ridge,precision_70,True,31.55,1.0,0.00035161744022503517,0.00070298769771529,1,0,2843
all_stations,M7_compact_weather_ridge,fixed_31,True,31.0,0.6403162055335968,0.056962025316455694,0.10461737164998386,162,91,2682
all_stations,M7_compact_weather_ridge,best_F1,True,29.5,0.368450810403317,0.6874120956399438,0.47975460122699387,1955,3351,889
all_stations,M7_compact_weather_ridge,recall_90,True,28.4,0.2641178895300907,0.9011954992967651,0.40851131654446926,2563,7141,281
all_stations,M7_compact_weather_ridge,precision_70,True,31.55,1.0,0.00035161744022503517,0.00070298769771529,1,0,2843
