dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
all_stations,M3_weather_ridge,31.0,27.0,0.17496902106567533,0.9929676511954993,0.2975136957437843,2824,13316,20,24229,2844,16140
all_stations,M3_weather_ridge,31.0,27.05,0.17756361803980852,0.9912095639943741,0.30117521367521366,2819,13057,25,24488,2844,15876
all_stations,M3_weather_ridge,31.0,27.1,0.18017556224770936,0.9887482419127989,0.30480732751612377,2812,12795,32,24750,2844,15607
all_stations,M3_weather_ridge,31.0,27.15,0.1823915729241173,0.9862869198312236,0.30785271360368766,2805,12574,39,24971,2844,15379
all_stations,M3_weather_ridge,31.0,27.2,0.1850211528291909,0.9841772151898734,0.31148453149343425,2799,12329,45,25216,2844,15128
all_stations,M3_weather_ridge,31.0,27.25,0.1876722457484708,0.9817158931082982,0.3151063709722927,2792,12085,52,25460,2844,14877
all_stations,M3_weather_ridge,31.0,27.3,0.19087676104500068,0.9813642756680732,0.319592350853086,2791,11831,53,25714,2844,14622
all_stations,M3_weather_ridge,31.0,27.35,0.19393222461902443,0.979957805907173,0.32378739471391227,2787,11584,57,25961,2844,14371
all_stations,M3_weather_ridge,31.0,27.4,0.19610472090889847,0.9771448663853727,0.3266529532765207,2779,11392,65,26153,2844,14171
all_stations,M3_weather_ridge,31.0,27.45,0.19862523270800517,0.9753867791842475,0.3300416418798334,2774,11192,70,26353,2844,13966
all_stations,M3_weather_ridge,31.0,27.5,0.20108892921960073,0.9739803094233473,0.33335339069739456,2770,11005,74,26540,2844,13775
all_stations,M3_weather_ridge,31.0,27.55,0.20382916053019146,0.9732770745428974,0.33706770579639556,2768,10812,76,26733,2844,13580
all_stations,M3_weather_ridge,31.0,27.6,0.20683211242338168,0.9729254571026723,0.34114165947478736,2767,10611,77,26934,2844,13378
all_stations,M3_weather_ridge,31.0,27.65,0.2085064591674851,0.9704641350210971,0.34326223493563834,2760,10477,84,27068,2844,13237
all_stations,M3_weather_ridge,31.0,27.7,0.21137149442950443,0.9672995780590717,0.34693234125733025,2751,10264,93,27281,2844,13015
all_stations,M3_weather_ridge,31.0,27.75,0.21370182950564423,0.9651898734177216,0.349926700235834,2745,10100,99,27445,2844,12845
all_stations,M3_weather_ridge,31.0,27.8,0.21600756262801324,0.9641350210970464,0.35294117647058826,2742,9952,102,27593,2844,12694
all_stations,M3_weather_ridge,31.0,27.85,0.21831829433841732,0.9613220815752461,0.3558274223986465,2734,9789,110,27756,2844,12523
all_stations,M3_weather_ridge,31.0,27.9,0.2206108725593454,0.9574542897327707,0.3585961677750708,2723,9620,121,27925,2844,12343
all_stations,M3_weather_ridge,31.0,27.95,0.22360504409461798,0.9539381153305204,0.36228884289243507,2713,9420,131,28125,2844,12133
all_stations,M3_weather_ridge,31.0,28.0,0.226849131055327,0.950070323488045,0.36624872924432395,2702,9209,142,28336,2844,11911
all_stations,M3_weather_ridge,31.0,28.05,0.23022877217033674,0.9447960618846695,0.3702376851532897,2687,8984,157,28561,2844,11671
all_stations,M3_weather_ridge,31.0,28.1,0.23248934133820587,0.939521800281294,0.3727418567343238,2672,8821,172,28724,2844,11493
all_stations,M3_weather_ridge,31.0,28.15,0.2354813046937152,0.9367088607594937,0.37635092180546725,2664,8649,180,28896,2844,11313
all_stations,M3_weather_ridge,31.0,28.2,0.23801385265809122,0.930379746835443,0.3790559415514648,2646,8471,198,29074,2844,11117
all_stations,M3_weather_ridge,31.0,28.25,0.24273724983860556,0.9254571026722925,0.38459852414700085,2632,8211,212,29334,2844,10843
all_stations,M3_weather_ridge,31.0,28.3,0.2483361855866134,0.9184247538677919,0.3909594372099985,2612,7906,232,29639,2844,10518
all_stations,M3_weather_ridge,31.0,28.35,0.2517455391776571,0.9127988748241913,0.3946488294314381,2596,7716,248,29829,2844,10312
all_stations,M3_weather_ridge,31.0,28.4,0.25464060031595576,0.9068213783403657,0.3976256552574776,2579,7549,265,29996,2844,10128
all_stations,M3_weather_ridge,31.0,28.45,0.2586432819272251,0.9022503516174403,0.40203681942812375,2566,7355,278,30190,2844,9921
all_stations,M3_weather_ridge,31.0,28.5,0.2640728476821192,0.8973277074542897,0.40805884234090184,2552,7112,292,30433,2844,9664
all_stations,M3_weather_ridge,31.0,28.55,0.26922259983007646,0.8913502109704642,0.4135399673735726,2535,6881,309,30664,2844,9416
all_stations,M3_weather_ridge,31.0,28.6,0.2747782280144562,0.8822081575246132,0.41903966597077247,2509,6622,335,30923,2844,9131
all_stations,M3_weather_ridge,31.0,28.65,0.27955900551243107,0.8737693389592124,0.4235915793062303,2485,6404,359,31141,2844,8889
all_stations,M3_weather_ridge,31.0,28.7,0.2849860982391103,0.8649789029535865,0.42872080864412687,2460,6172,384,31373,2844,8632
all_stations,M3_weather_ridge,31.0,28.75,0.2889339375149058,0.8519690576652602,0.43152270703472845,2423,5963,421,31582,2844,8386
all_stations,M3_weather_ridge,31.0,28.8,0.2933497536945813,0.8375527426160337,0.43451295147756286,2382,5738,462,31807,2844,8120
all_stations,M3_weather_ridge,31.0,28.85,0.29864023382894905,0.8263009845288326,0.4387193129842248,2350,5519,494,32026,2844,7869
all_stations,M3_weather_ridge,31.0,28.9,0.30261096605744126,0.8150492264416315,0.4413556740289413,2318,5342,526,32203,2844,7660
all_stations,M3_weather_ridge,31.0,28.95,0.3065380493033226,0.8045007032348804,0.4439270469538223,2288,5176,556,32369,2844,7464
all_stations,M3_weather_ridge,31.0,29.0,0.3113441898978747,0.7932489451476793,0.44717542120911796,2256,4990,588,32555,2844,7246
all_stations,M3_weather_ridge,31.0,29.05,0.31645927601809953,0.7869198312236287,0.45139169019766034,2238,4834,606,32711,2844,7072
all_stations,M3_weather_ridge,31.0,29.1,0.3204627621113521,0.7791842475386779,0.45414489189466134,2216,4699,628,32846,2844,6915
all_stations,M3_weather_ridge,31.0,29.15,0.3260481712756467,0.7710970464135021,0.45830721003134794,2193,4533,651,33012,2844,6726
all_stations,M3_weather_ridge,31.0,29.2,0.32997404183844864,0.7598452883263009,0.4601298839561376,2161,4388,683,33157,2844,6549
all_stations,M3_weather_ridge,31.0,29.25,0.3341704598964056,0.7485935302390999,0.46207270754205104,2129,4242,715,33303,2844,6371
all_stations,M3_weather_ridge,31.0,29.3,0.34025096525096526,0.7436708860759493,0.46688741721854304,2115,4101,729,33444,2844,6216
all_stations,M3_weather_ridge,31.0,29.35,0.345734126984127,0.7352320675105485,0.47031039136302294,2091,3957,753,33588,2844,6048
all_stations,M3_weather_ridge,31.0,29.4,0.34845151463868673,0.7239803094233473,0.470467268365132,2059,3850,785,33695,2844,5909
