group_type,group_key,target_column,n,mean,std,min,p05,p25,median,p75,p95,max
overall,overall,delta_tmrt_p90_c,1500,-1.591393409729004,5.2803916186819935,-26.3271713256836,-15.264802074432374,-1.0676031112670898,0.0,0.6034679412841815,1.1123834609985417,1.3836669921875
overall,overall,tmrt_p90_c,1500,54.22509752655029,8.206583113517324,32.76128005981445,35.96833038330078,46.5472297668457,58.59461212158203,61.38866138458252,62.34496021270753,62.62380599975586
overall,overall,m_rad_pct01,1500,0.5,0.2907029847947372,0.0,0.046979865771812,0.2483221476510067,0.5,0.7516778523489933,0.953020134228188,1.0
overall,overall,tmrt_p75_c,1500,51.95111922200521,9.07912901575613,32.721824645996094,35.04594802856446,44.7505054473877,55.78841400146485,60.2547492980957,61.99282054901123,62.618412017822266
overall,overall,tmrt_p95_c,1500,54.877813453674314,7.861879689425948,32.77884292602539,41.952293395996094,47.40675449371338,59.455345153808594,61.74652862548828,62.453650283813474,62.62423324584961
overall,overall,tmrt_mean_c,1500,45.81269933573405,7.1484251810145425,32.675575256347656,35.55552463531494,39.87221145629883,45.34782600402832,51.210368156433105,58.413589286804196,62.16756439208984
overall,overall,tmrt_max_c,1500,55.90985626729329,7.228929314412935,32.78053283691406,45.64159526824951,50.820843696594245,60.47287178039551,62.20890426635742,62.602446746826175,62.65948867797852
overall,overall,pct_pixels_tmrt_ge_40,1500,56.20194666666668,26.25985815734956,0.0,5.4,38.81,57.14,75.8,98.002,100.0
overall,overall,pct_pixels_tmrt_ge_45,1500,46.34906666666667,27.354827484742714,0.0,0.9500000000000005,24.47,47.44,65.7,92.446,100.0
overall,overall,pct_pixels_tmrt_ge_50,1500,37.168079999999996,31.21563672741273,0.0,0.0,1.5099999999999998,38.12,61.07000000000001,91.762,100.0
overall,overall,pct_pixels_tmrt_ge_55,1500,31.72882666666667,32.58913317796004,0.0,0.0,0.0,27.14,59.339999999999996,89.842,100.0
hour_sgt,10,delta_tmrt_p90_c,300,-0.9426156107584636,3.246095304477711,-12.797845840454102,-12.011281871795656,-1.0409917831420898,0.0,0.7484264373779297,1.1759269714355534,1.3224334716796875
hour_sgt,10,tmrt_p90_c,300,44.49417771657308,3.24707819804059,32.76128005981445,33.44181671142578,44.38858413696289,45.46107292175293,46.177978515625,46.58612060546875,46.63312530517578
hour_sgt,10,m_rad_pct01,300,0.5,0.29109165119824365,0.0,0.046979865771812,0.2483221476510067,0.5,0.7516778523489933,0.953020134228188,1.0
hour_sgt,10,tmrt_p75_c,300,42.411385485331216,4.189360396059522,32.721824645996094,32.96095657348633,42.25271224975586,43.721954345703125,45.16217803955078,46.29156875610352,46.6178092956543
hour_sgt,10,tmrt_p95_c,300,45.072684834798174,2.8558740219798424,32.77884292602539,41.952293395996094,45.212615966796875,45.92801284790039,46.450201988220215,46.63116455078125,46.63348007202149
hour_sgt,10,tmrt_mean_c,300,38.41621711730957,2.826421031796552,32.675575256347656,33.4571647644043,36.6703052520752,38.38990020751953,40.23246765136719,43.87291984558106,45.92864990234375
hour_sgt,10,tmrt_max_c,300,45.79736464182536,2.232138962222057,32.78053283691406,44.101505279541016,45.978638648986816,46.414560317993164,46.59374237060547,46.63238143920898,46.63348007202149
hour_sgt,10,pct_pixels_tmrt_ge_40,300,46.48093333333333,22.518842510713036,0.0,5.96,32.78,45.3,60.88,87.568,100.0
hour_sgt,10,pct_pixels_tmrt_ge_45,300,18.581066666666665,16.927939152242633,0.0,0.0,6.32,14.620000000000001,26.21,50.764,99.6
hour_sgt,10,pct_pixels_tmrt_ge_50,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_sgt,10,pct_pixels_tmrt_ge_55,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_sgt,12,delta_tmrt_p90_c,300,-1.7726898066202796,6.0460727562502425,-26.3271713256836,-23.66285896301269,-0.6686878204345703,0.0,0.3662872314453142,0.610765075683594,0.6982154846191406
hour_sgt,12,tmrt_p90_c,300,59.96704865773519,6.046496211597684,35.49324035644531,38.09249324798584,61.10050582885742,61.749019622802734,62.12805080413819,62.323002433776864,62.35728073120117
hour_sgt,12,m_rad_pct01,300,0.5,0.29109165119824365,0.0,0.046979865771812,0.2483221476510067,0.5,0.7516778523489933,0.953020134228188,1.0
hour_sgt,12,tmrt_p75_c,300,58.04487125396729,7.628986197896496,35.434139251708984,36.7893590927124,59.46582221984864,60.99709701538086,61.59824752807617,62.165151596069336,62.34844207763672
hour_sgt,12,tmrt_p95_c,300,60.52892593383789,5.40137775223866,35.493492126464844,57.34482955932617,61.435545921325684,61.943979263305664,62.24015331268311,62.34666709899902,62.35798645019531
hour_sgt,12,tmrt_mean_c,300,50.365707359313966,6.346250129156553,35.48575973510742,37.63668842315675,47.099425315856934,50.960662841796875,54.73665618896485,60.26212558746338,62.01827621459961
