path,exists,row_count_if_easy,columns_if_csv,contains_cell_id,contains_typology,contains_tmrt_metrics,contains_m_rad_pct,contains_overhead_metrics,contains_svf,contains_shade_fraction,contains_building_density,contains_gvi_or_tree_canopy,contains_water_or_grass,contains_pedestrian_relevance_proxy,notes
outputs/v12_systemb_target_robustness/systemb_target_robustness_report.md,True,98,,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
outputs/v12_systemb_target_robustness/systemb_target_decision_matrix.csv,True,11,metric|candidate_role|robustness_summary|advantages|risks|interpretation|downstream_use|caveat|recommended_status,False,True,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/normalized_tmrt_targets_long.csv,True,80,source_dataset|source_file|run_id|cell_id|typology_label|hour|hour_label|scenario|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|delta_tmrt_p90_c|m_rad_pct|m_rad_robust01|valid_pixel_count|valid_pixel_fraction|qa_status|qa_notes,True,True,True,True,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/normalized_modifier_targets_long.csv,True,80,source_dataset|source_file|run_id|cell_id|typology_label|hour|hour_label|scenario|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|delta_tmrt_p90_c|m_rad_pct|m_rad_robust01|valid_pixel_count|valid_pixel_fraction|qa_status|qa_notes,True,True,True,True,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/target_rank_correlation.csv,True,210,scenario|hour|metric_a|metric_b|spearman_r|n_cells|caveat,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/target_topk_overlap.csv,True,210,scenario|hour|metric_a|metric_b|top_k|top_k_cells_metric_a|top_k_cells_metric_b|overlap_count|jaccard_overlap|n_cells|caveat,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/base_vs_overhead_sensitivity_summary.csv,True,42,metric|hour|n_pairs|mean_delta|median_delta|min_delta|max_delta|count_cells_cooled|count_cells_warmed|largest_cooling_cells|largest_warming_cells,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/hour_stability_rank_correlation.csv,True,140,scenario|metric|hour_a|hour_b|spearman_r|n_cells|caveat,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/hour_stability_consistent_cells.csv,True,14,scenario|metric|hours_compared|consistent_top_cells|consistent_bottom_cells|n_consistent_top|n_consistent_bottom,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_systemb_target_robustness/typology_interpretability_audit.csv,True,16,scenario|cell_id|typology_label|shade_label|overhead_label|hardscape_label|wooded_label|road_edge_label|water_adjacent_label|average_tmrt_p90_rank|average_m_rad_pct|is_consistent_hot_anchor|is_consistent_cool_anchor|notes,True,True,True,False,True,False,False,False,False,True,False,
outputs/v12_solweig_typology_pilot/core8_base_summary/tmrt_cell_summary_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes,True,True,True,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes|reference_method|reference_domain_id|tmrt_ref_p90_c|delta_tmrt_p90_c|m_rad_pct|m_rad_robust01,True,True,True,True,False,False,False,False,False,False,False,
