diagnostic_role,selected_cell_count,required_minimum,required_role_missing,b2_selected_cell_count,delta_b2_2_minus_b2,warning
core_continuity,8,8,False,8,0,
confident_hot_anchor_continuity,2,2,False,2,0,
overhead_confounded_legacy_diagnostic,1,1,False,2,-1,
shaded_or_canopy_reference,5,2,False,5,0,
open_paved_hardscape,5,2,False,5,0,
street_canyon_wall_adjacent,15,2,False,12,3,
covered_walkway_or_pedestrian_overhead,14,2,False,14,0,
transport_overhead_or_viaduct,4,2,False,5,-1,
water_edge_or_blue_green,7,2,False,8,-1,
grass_or_open_park,6,2,False,5,1,
school_gate_bus_stop_waiting_node,2,2,False,2,0,
p90_p95_disagreement_probe,6,3,False,6,0,
max_extreme_probe,6,1,False,6,0,
threshold_area_probe,10,3,False,10,0,
overhead_sensitivity_probe,15,1,False,15,0,
pedestrian_relevance_probe,2,2,False,2,0,
