time,cell_count,max_wbgt_proxy_c,p90_wbgt_proxy_c,cells_moderate_or_high,cells_high,max_utci_c,p90_utci_c,cells_moderate_utci,cells_strong_utci,cells_very_strong_utci,cells_extreme_utci,wbgt_alert,utci_alert,combined_alert,neighbourhood_alert
2026-05-14 00:00:00+0800,45,27.540112485302384,27.458358557664763,0,0,33.1,32.86,45,45,0,0,low,strong,elevated,elevated
2026-05-14 01:00:00+0800,45,27.027983826734946,26.94576288104428,0,0,32.3,32.0,45,9,0,0,low,strong,elevated,elevated
2026-05-14 02:00:00+0800,45,27.19934567862493,27.11904591896282,0,0,32.4,32.1,45,15,0,0,low,strong,elevated,elevated
2026-05-14 03:00:00+0800,45,27.0956344160267,27.017763409969323,0,0,32.3,32.1,45,12,0,0,low,strong,elevated,elevated
2026-05-14 04:00:00+0800,45,26.760787476195066,26.678468357338133,0,0,31.9,31.7,45,0,0,0,low,moderate,watch,watch
2026-05-14 05:00:00+0800,45,27.190705506507644,27.110465274937248,0,0,32.3,32.0,45,9,0,0,low,strong,elevated,elevated
2026-05-14 06:00:00+0800,45,26.99503684701774,26.916435190183282,0,0,32.2,32.0,45,8,0,0,low,strong,elevated,elevated
2026-05-14 07:00:00+0800,45,26.601172734236833,26.51929702754773,0,0,31.5,31.2,45,0,0,0,low,moderate,watch,watch
2026-05-14 08:00:00+0800,45,27.144074499948264,27.077833837985704,0,0,32.9,32.7,45,45,0,0,low,strong,elevated,elevated
2026-05-14 09:00:00+0800,45,28.306536901021886,28.228071402455132,0,0,35.1,34.9,45,45,0,0,low,strong,elevated,elevated
2026-05-14 10:00:00+0800,45,28.971392327840142,28.874348029059586,0,0,36.7,36.46,45,45,0,0,low,strong,elevated,elevated
2026-05-14 11:00:00+0800,45,29.708219029979357,29.600128263491147,0,0,37.8,37.6,45,45,0,0,low,strong,elevated,elevated
2026-05-14 12:00:00+0800,45,30.758284702370013,30.647093091353117,0,0,39.7,39.5,45,45,45,0,low,very_strong,high,high
2026-05-14 13:00:00+0800,45,30.074345947329395,29.958616724016494,0,0,39.0,38.8,45,45,42,0,low,very_strong,high,high
2026-05-14 14:00:00+0800,45,29.22363388604684,29.106776095743584,0,0,38.0,37.7,45,45,1,0,low,very_strong,high,high
2026-05-14 15:00:00+0800,45,30.226900082580528,30.118834039306424,0,0,38.9,38.660000000000004,45,45,36,0,low,very_strong,high,high
2026-05-14 16:00:00+0800,45,29.615331740171005,29.509309973895355,0,0,38.0,37.7,45,45,1,0,low,very_strong,high,high
2026-05-14 17:00:00+0800,45,29.28225298311055,29.189099236680125,0,0,37.0,36.8,45,45,0,0,low,strong,elevated,elevated
2026-05-14 18:00:00+0800,45,28.63613096619788,28.555534762130375,0,0,35.7,35.5,45,45,0,0,low,strong,elevated,elevated
