time,max_wbgt_proxy_c,p90_wbgt_proxy_c,cells_moderate_or_high,cells_high,max_utci_c,cells_strong_utci,neighbourhood_alert
2026-05-06 00:00:00+08:00,26.21152463835448,26.08738944153351,0,0,31.0,0,low
2026-05-06 01:00:00+08:00,26.29887744206532,26.17435844034248,0,0,31.2,0,low
2026-05-06 02:00:00+08:00,26.404128754672016,26.279774399231005,0,0,31.3,0,low
2026-05-06 03:00:00+08:00,26.309746371541085,26.18566450156223,0,0,31.2,0,low
2026-05-06 04:00:00+08:00,26.295406513647908,26.170901138852656,0,0,31.2,0,low
2026-05-06 05:00:00+08:00,26.47598126160938,26.351475368636986,0,0,31.3,0,low
2026-05-06 06:00:00+08:00,26.47057910925028,26.346137030313173,0,0,31.3,0,low
2026-05-06 07:00:00+08:00,26.47409618085816,26.34954899514174,0,0,31.3,0,low
2026-05-06 08:00:00+08:00,27.417455513633385,27.299858863725245,0,0,33.0,43,low
2026-05-06 09:00:00+08:00,27.860747873947393,27.7279566058171,0,0,34.0,45,low
2026-05-06 10:00:00+08:00,28.021386742285653,27.87372408652726,0,0,34.3,45,low
2026-05-06 11:00:00+08:00,28.2260703751917,28.058333208382948,0,0,35.1,45,low
2026-05-06 12:00:00+08:00,28.730773995881492,28.534286157162374,0,0,36.2,45,low
2026-05-06 13:00:00+08:00,28.775536238698457,28.57670512322256,0,0,36.1,45,low
2026-05-06 14:00:00+08:00,27.21086512050032,27.023298649906756,0,0,32.7,22,low
2026-05-06 15:00:00+08:00,27.766276976225825,27.595466755728147,0,0,34.6,45,low
2026-05-06 16:00:00+08:00,27.326484543656402,27.183465719245312,0,0,33.7,45,low
2026-05-06 17:00:00+08:00,27.4062669909829,27.265135326803783,0,0,33.8,45,low
2026-05-06 18:00:00+08:00,27.149996476437778,27.02087264266033,0,0,33.0,43,low
2026-05-06 19:00:00+08:00,26.93336553914803,26.817875077517822,0,0,32.4,10,low
2026-05-06 20:00:00+08:00,27.00587999750292,26.882704730539764,0,0,32.3,8,low
2026-05-06 21:00:00+08:00,26.890985869634964,26.767126997838236,0,0,32.1,3,low
2026-05-06 22:00:00+08:00,26.795441021683047,26.67130459002754,0,0,31.9,0,low
2026-05-06 23:00:00+08:00,26.69729557569075,26.573032318855986,0,0,31.8,0,low
2026-05-07 00:00:00+08:00,26.602210763747358,26.47807238688386,0,0,31.6,0,low
2026-05-07 01:00:00+08:00,26.525253469513615,26.4009638606689,0,0,31.5,0,low
2026-05-07 02:00:00+08:00,26.32638976413118,26.20210013529004,0,0,31.2,0,low
2026-05-07 03:00:00+08:00,25.903739951898224,25.779424510211175,0,0,30.6,0,low
2026-05-07 04:00:00+08:00,25.915690748363453,25.791062367058114,0,0,30.5,0,low
2026-05-07 05:00:00+08:00,25.77379728774178,25.648834248800963,0,0,30.2,0,low
2026-05-07 06:00:00+08:00,25.962763463244777,25.837744496039516,0,0,30.4,0,low
2026-05-07 07:00:00+08:00,25.95424361058123,25.829070458484228,0,0,30.3,0,low
2026-05-07 08:00:00+08:00,26.37903177034773,26.259824176135105,0,0,30.9,0,low
2026-05-07 09:00:00+08:00,27.049162502117582,26.917048249294965,0,0,32.3,11,low
2026-05-07 10:00:00+08:00,27.72756952244763,27.575149324159426,0,0,33.8,45,low
2026-05-07 11:00:00+08:00,28.178725518723695,27.987674435912503,0,0,34.9,45,low
2026-05-07 12:00:00+08:00,27.769726341084915,27.571404651741407,0,0,34.2,45,low
2026-05-07 13:00:00+08:00,27.788628764892678,27.604085321139156,0,0,34.2,45,low
