cell_id,lat,lon,land_use_hint,max_utci_c,mean_utci_c,p90_utci_c,max_wbgt_proxy_c,mean_wbgt_proxy_c,p90_wbgt_proxy_c,moderate_wbgt_hours,high_wbgt_hours,strong_utci_hours,very_strong_utci_hours,extreme_utci_hours,gvi_percent,svf,shade_fraction,building_density,road_fraction,elderly_proxy,outdoor_exposure_proxy,forecast_hours,hazard_utci_intensity_score,hazard_utci_duration_score,hazard_utci_relative_score,hazard_wbgt_relative_score,hazard_wbgt_intensity_score,hazard_wbgt_moderate_duration_score,hazard_wbgt_high_duration_score,hazard_wbgt_duration_score,hazard_score,vulnerability_score,exposure_score,risk_priority_score,peak_utci_category,peak_wbgt_category_sg,rank
TP_015,1.3324,103.8537,HDB/residential,40.6,34.9125,38.8,31.2098007470486,28.33617133532181,30.087108339812517,3,0,88,20,0,9.92,0.565,0.378,0.512,0.467,0.237,0.72,96,0.7300000000000001,0.9166666666666666,0.8466666666666667,0.9333333333333333,0.526225093381075,0.16666666666666666,0.0,0.10833333333333334,0.7554558426714408,0.9111111111111111,0.9333333333333333,0.8179381780118489,very strong heat stress,moderate,1
TP_035,1.339,103.8511,HDB/residential,40.7,34.9375,38.9,31.209193553618427,28.327926115768367,30.086343007987963,3,0,88,20,0,5.54,0.559,0.362,0.556,0.301,0.263,0.484,96,0.7350000000000001,0.9166666666666666,0.9144444444444444,0.9111111111111111,0.5261491942023033,0.16666666666666666,0.0,0.10833333333333334,0.7664760305313415,1.0,0.4444444444444444,0.7718818055960984,very strong heat stress,moderate,2
TP_041,1.3412,103.8511,mixed,40.7,34.64791666666667,38.849999999999994,31.163207566844626,28.21781482686993,30.039963071616494,3,0,72,18,0,11.95,0.772,0.335,0.496,0.348,0.238,0.625,96,0.7350000000000001,0.75,0.8466666666666667,0.8222222222222222,0.5204009458555783,0.16666666666666666,0.0,0.10833333333333334,0.7056234279188911,0.9333333333333333,0.7333333333333333,0.7621531919763792,very strong heat stress,moderate,3
TP_009,1.3302,103.8563,HDB/residential,40.5,34.77291666666667,38.7,31.143022779002983,28.271569591839434,30.02175486179312,3,0,80,17,0,10.19,0.635,0.408,0.545,0.348,0.198,0.815,96,0.725,0.8333333333333334,0.7377777777777778,0.7555555555555555,0.5178778473753729,0.16666666666666666,0.0,0.10833333333333334,0.6649822291819818,0.7,1.0,0.7232889820928288,very strong heat stress,moderate,4
TP_019,1.3324,103.8641,HDB/residential,40.6,35.041666666666664,38.8,31.19730356142635,28.35992652849202,30.079049752054694,3,0,90,20,0,4.74,0.372,0.37,0.508,0.393,0.193,0.572,96,0.7300000000000001,0.9375,0.8688888888888889,0.8888888888888888,0.5246629451782936,0.16666666666666666,0.0,0.10833333333333334,0.7496051834067183,0.5777777777777777,0.6222222222222222,0.6909774359343877,very strong heat stress,moderate,5
TP_010,1.3302,103.8589,HDB/residential,41.0,35.067708333333336,39.1,31.318963703471,28.406602805993845,30.19347229702891,4,0,88,24,0,2.0,0.601,0.321,0.5,0.395,0.185,0.391,96,0.75,0.9166666666666666,1.0,1.0,0.5398704629338749,0.2222222222222222,0.0,0.14444444444444443,0.8214870462933875,0.5333333333333333,0.3333333333333333,0.681988635368567,very strong heat stress,moderate,6
TP_006,1.3302,103.8485,HDB/residential,40.8,34.916666666666664,38.95,31.187757777782085,28.285153277079996,30.064576681305013,3,0,87,21,0,10.14,0.495,0.295,0.528,0.344,0.157,0.657,96,0.7399999999999999,0.90625,0.9422222222222223,0.8666666666666667,0.5234697222227607,0.16666666666666666,0.0,0.10833333333333334,0.7595275277778315,0.3111111111111111,0.8222222222222222,0.6657959561111444,very strong heat stress,moderate,7
TP_017,1.3324,103.8589,HDB/residential,40.9,34.95520833333333,39.05,31.21364078986278,28.288527904217293,30.08964544591226,3,0,87,21,0,3.11,0.518,0.263,0.514,0.23,0.134,0.636,96,0.7449999999999999,0.90625,0.971111111111111,0.9555555555555556,0.5267050987328474,0.16666666666666666,0.0,0.10833333333333334,0.7944899543177291,0.2,0.7777777777777778,0.6552504383436587,very strong heat stress,moderate,8
TP_026,1.3346,103.8641,HDB/residential,40.5,34.60729166666667,38.7,31.079522649918644,28.165718996034084,29.95838704059657,1,0,74,17,0,16.28,0.666,0.349,0.514,0.375,0.206,0.592,96,0.725,0.7708333333333334,0.6844444444444444,0.6888888888888889,0.5099403312398305,0.05555555555555555,0.0,0.03611111111111111,0.6179384775684275,0.7333333333333333,0.6444444444444445,0.6484551894257583,very strong heat stress,moderate,9
TP_032,1.3368,103.8615,HDB/residential,40.5,34.95520833333333,38.7,31.214771188322,28.385534741624056,30.09804626527199,3,0,90,19,0,3.79,0.595,0.467,0.59,0.332,0.184,0.472,96,0.725,0.9375,0.7755555555555556,0.9777777777777777,0.5268463985402501,0.16666666666666666,0.0,0.10833333333333334,0.7524068620762473,0.5111111111111111,0.4222222222222222,0.6473811433761623,very strong heat stress,moderate,10
