cell_id,hour_sgt,scenario_id,n_valid_pixels_formal,valid_pixel_fraction_formal,tmrt_mean_c_formal,tmrt_p50_c_formal,tmrt_p75_c_formal,tmrt_p90_c_formal,tmrt_p95_c_formal,tmrt_max_c_formal,tmrt_min_c_formal,n_valid_pixels_epsilon,valid_pixel_fraction_epsilon,tmrt_mean_c_epsilon,tmrt_p50_c_epsilon,tmrt_p75_c_epsilon,tmrt_p90_c_epsilon,tmrt_p95_c_epsilon,tmrt_max_c_epsilon,tmrt_min_c_epsilon,delta_n_valid_pixels_formal_minus_epsilon,delta_valid_pixel_fraction_formal_minus_epsilon,delta_tmrt_mean_c_formal_minus_epsilon,delta_tmrt_p50_c_formal_minus_epsilon,delta_tmrt_p75_c_formal_minus_epsilon,delta_tmrt_p90_c_formal_minus_epsilon,delta_tmrt_p95_c_formal_minus_epsilon,delta_tmrt_max_c_formal_minus_epsilon,delta_tmrt_min_c_formal_minus_epsilon,epsilon_match_found
TP_0986,13,base,2500,1.0,63.59637451171875,63.68211364746094,63.766414642333984,64.43018341064453,64.88349151611328,65.93583679199219,41.73247909545898,2500,1.0,60.67300033569336,60.67012023925781,62.29727554321289,62.46359634399414,62.47942733764648,62.52816390991211,41.7896728515625,0,0.0,2.9233741760253906,3.011993408203125,1.4691390991210938,1.9665870666503906,2.404064178466804,3.407672882080078,-0.05719375610352273,True
TP_0986,13,overhead_as_canopy,2500,1.0,63.59637451171875,63.68211364746094,63.766414642333984,64.43018341064453,64.88349151611328,65.93583679199219,41.73247909545898,2500,1.0,60.67300033569336,60.67012023925781,62.29727554321289,62.46359634399414,62.47942733764648,62.52816390991211,41.7896728515625,0,0.0,2.9233741760253906,3.011993408203125,1.4691390991210938,1.9665870666503906,2.404064178466804,3.407672882080078,-0.05719375610352273,True
TP_0986,15,base,2500,1.0,64.13326263427734,66.24613189697266,66.31796264648438,66.37628936767578,66.53893280029297,67.8032455444336,41.5446662902832,2500,1.0,57.42228698730469,58.23607635498047,60.53705978393555,60.6406135559082,60.66032409667969,60.73504257202149,40.741207122802734,0,0.0,6.710975646972656,8.010055541992188,5.780902862548828,5.735675811767578,5.878608703613281,7.068202972412102,0.8034591674804688,True
TP_0986,15,overhead_as_canopy,2500,1.0,64.13326263427734,66.24613189697266,66.31796264648438,66.37628936767578,66.53893280029297,67.8032455444336,41.5446662902832,2500,1.0,57.42228698730469,58.23607635498047,60.53705978393555,60.6406135559082,60.66032409667969,60.73504257202149,40.741207122802734,0,0.0,6.710975646972656,8.010055541992188,5.780902862548828,5.735675811767578,5.878608703613281,7.068202972412102,0.8034591674804688,True
TP_0565,13,base,2500,1.0,62.82582473754883,63.724605560302734,64.09510040283203,64.98441314697266,65.50813293457031,66.49530029296875,40.97007751464844,2500,1.0,60.05531692504883,61.25765609741211,62.27723693847656,62.352760314941406,62.38680648803711,62.46635437011719,39.53610610961914,0,0.0,2.7705078125,2.466949462890625,1.8178634643554688,2.63165283203125,3.121326446533203,4.0289459228515625,1.4339714050292969,True
TP_0565,13,overhead_as_canopy,2500,1.0,62.82517623901367,63.72396469116211,64.0964126586914,64.98503112792969,65.50813293457031,66.4997329711914,40.97007751464844,2500,1.0,60.045806884765625,61.241058349609375,62.27711868286133,62.352760314941406,62.38680648803711,62.44860458374024,39.53610610961914,0,0.0,2.779369354248047,2.4829063415527344,1.8192939758300781,2.6322708129882812,3.121326446533203,4.051128387451165,1.4339714050292969,True
TP_0565,15,base,2500,1.0,64.44210052490234,66.23006439208984,66.2790756225586,66.56719970703125,67.05386352539062,68.40860748291016,40.05729675292969,2500,1.0,57.52208709716797,58.849876403808594,60.40672302246094,60.50284576416016,60.53951644897461,60.61445236206055,37.86808395385742,0,0.0,6.920013427734375,7.38018798828125,5.872352600097656,6.064353942871087,6.514347076416016,7.794155120849609,2.1892127990722656,True
TP_0565,15,overhead_as_canopy,2500,1.0,64.43997192382812,66.22866821289062,66.27896118164062,66.56635284423828,67.05470275878906,68.40860748291016,40.05729675292969,2500,1.0,57.510501861572266,58.81693649291992,60.40672302246094,60.50284576416016,60.53951644897461,60.6019172668457,37.86808395385742,0,0.0,6.929470062255859,7.411731719970703,5.8722381591796875,6.063507080078118,6.515186309814453,7.806690216064453,2.1892127990722656,True
TP_0542,13,base,2500,1.0,39.88661956787109,36.08430480957031,37.835262298583984,61.58121871948242,63.56765365600586,65.07616424560547,34.87673568725586,2500,1.0,39.11557388305664,35.882511138916016,37.28846740722656,55.485008239746094,58.99871444702149,62.57847595214844,34.95540237426758,0,0.0,0.771045684814446,0.20179367065429688,0.5467948913574219,6.096210479736328,4.568939208984368,2.4976882934570312,-0.07866668701171875,True
TP_0542,13,overhead_as_canopy,2500,1.0,39.315208435058594,35.86201477050781,37.285919189453125,61.59209442138672,63.48689270019531,65.08352661132812,34.87673568725586,2500,1.0,38.656524658203125,35.689300537109375,36.77227020263672,55.0097770690918,58.86970138549805,62.57847595214844,34.95540237426758,0,0.0,0.6586837768554688,0.1727142333984375,0.5136489868164062,6.582317352294922,4.617191314697266,2.5050506591796875,-0.07866668701171875,True
