tile_id,cell_id,role,scenario,tmrt_raster,tmrt_time_label,tmrt_hour_sgt,n_pixels,tmrt_mean_c,tmrt_p10_c,tmrt_p50_c,tmrt_p90_c
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,overhead,data\solweig\v10_epsilon_tiles\E02_confident_hot_anchor_2_TP_0986\solweig_overhead\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,57.42228698730469,54.509525299072266,58.23607635498047,60.6406135559082
E02_confident_hot_anchor_2_TP_0986,TP_0986,confident_hot_anchor_2,overhead,data\solweig\v10_epsilon_tiles\E02_confident_hot_anchor_2_TP_0986\solweig_overhead\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,48.35227584838867,39.0997200012207,49.10833740234375,51.617000579833984
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,base,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_base\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,45.49314880371094,45.23122787475586,45.52220916748047,45.71807861328125
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,base,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_base\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,61.6948356628418,61.54975128173828,61.71493148803711,61.833656311035156
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,base,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_base\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,61.73907470703125,61.56875228881836,61.76819610595703,61.91925048828125
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,base,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_base\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,59.77748107910156,59.560462951660156,59.827545166015625,60.03462600708008
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,base,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_base\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,50.706321716308594,50.47193908691406,50.748680114746094,50.97346878051758
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,overhead,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_overhead\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,36.659515380859375,33.053958892822266,33.848392486572266,44.062355041503906
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,overhead,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_overhead\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,45.462745666503906,36.520103454589844,39.552833557128906,60.24380874633789
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,overhead,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_overhead\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,44.980918884277344,36.575809478759766,39.415550231933594,59.912254333496094
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,overhead,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_overhead\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,42.776336669921875,35.92706298828125,37.507293701171875,57.46023941040039
E03_overhead_confounded_rank1_case_TP_0088,TP_0088,overhead_confounded_rank1_case,overhead,data\solweig\v10_epsilon_tiles\E03_overhead_confounded_rank1_case_TP_0088\solweig_overhead\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,38.74202346801758,34.4515380859375,35.231231689453125,48.5140380859375
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,base,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_base\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,44.70852279663086,43.12357711791992,45.86376190185547,46.519691467285156
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,base,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_base\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,60.94941329956055,59.46644973754883,61.96025085449219,62.348121643066406
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,base,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_base\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,61.149024963378906,59.025047302246094,61.99279022216797,62.56073760986328
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,base,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_base\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,59.428688049316406,57.779388427734375,60.03950881958008,60.697059631347656
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,base,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_base\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,50.32748794555664,48.58279800415039,51.00423049926758,51.688690185546875
