target,model,split_family,split_name,fold_id,split_role,n_train,n_test,n_train_cells,n_test_cells,MAE,RMSE,R2,Spearman_observed_vs_predicted,Pearson_observed_vs_predicted,bias,p90_abs_error,top_k_overlap,sign_accuracy,worst_cell_id,worst_cell_error,neutral_boundary_classification_accuracy,anchor_TP_0857_abs_error,anchor_TP_0141_abs_error,anchor_TP_0433_abs_error,anchor_TP_0542_abs_error,anchor_TP_0037_abs_error,robust_priority_anchor_mae,dummy_MAE,MAE_improvement_over_dummy,MAE_improvement_fraction_over_dummy
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.29846910434299045,0.573531253648678,-0.00037533434592917914,,,0.011109250386556024,0.2791878382364908,0.0,0.48,TP_0575,2.6975189844767256,0.0,0.18987649281819663,,,,,0.18987649281819663,0.29846910434299045,0.0,0.0
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.23009941520534813,0.35045453224374773,0.6264814640424694,0.15506333287735524,0.8073747659292038,-0.053253436508611904,0.3950374526654042,1.0,0.3933333333333333,TP_0575,1.3237452688677105,0.0,0.27546351413927994,,,,,0.27546351413927994,0.29846910434299045,0.06836968913764233,0.2290678939387784
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.22989050668791425,0.35044871919602366,0.6264938551680956,0.1565591946519216,0.8076092316012315,-0.05315908671978442,0.39457703638236497,1.0,0.3933333333333333,TP_0575,1.3255779483046837,0.0,0.27397247218879867,,,,,0.27397247218879867,0.29846910434299045,0.0685785976550762,0.22976782741394913
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.22909063290362308,0.3498331080562821,0.627804931940181,0.15654385247987476,0.8087387611831802,-0.05283641269952204,0.3931881908350021,1.0,0.3933333333333333,TP_0575,1.3249988264395838,0.0,0.270786466924083,,,,,0.270786466924083,0.29846910434299045,0.06937847143936737,0.23244774896245213
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.15576673709001257,0.3614611056039879,0.6026511666493068,0.6661791925260641,0.7981809913853696,-0.011357645998834712,0.35152047942713355,1.0,0.48,TP_0575,1.13564610423739,1.0,0.33470628734918256,,,,,0.33470628734918256,0.29846910434299045,0.14270236725297789,0.4781143682094118
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,1,main,600,150,120,30,0.13749668618491376,0.2848180029262732,0.7532917510391961,0.5832146854987129,0.868092621325903,-0.002822824472936395,0.23870958785086793,1.0,0.44,TP_0575,1.0370798964081733,0.8,0.2153929489504466,,,,,0.2153929489504466,0.29846910434299045,0.1609724181580767,0.5393269045800222
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,2,main,600,150,120,30,0.23999189910888674,0.3053428189593901,-0.18736855045771672,,,-0.12129510879516602,0.2320525550842285,0.0,0.46,TP_0257,0.9205612754821777,0.25,,,0.2320525550842285,,,0.2320525550842285,0.23999189910888674,0.0,0.0
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,2,main,600,150,120,30,0.21206323048326106,0.28244061306778195,-0.015931464820776897,0.4781506144546896,0.4116098354803756,-0.05682370962447557,0.37829501647751557,0.3333333333333333,0.37333333333333335,TP_0890,0.7256836245107255,0.4,,,0.11471807631656646,,,0.11471807631656646,0.23999189910888674,0.02792866862562568,0.11637338064046138
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,2,main,600,150,120,30,0.21167037690041612,0.2819355842535771,-0.01230156226554735,0.48105590398752696,0.4124685659965797,-0.05695395069508619,0.3767896572921415,0.3333333333333333,0.37333333333333335,TP_0890,0.7227000415955575,0.35,,,0.115107260571138,,,0.115107260571138,0.23999189910888674,0.028321522208470618,0.11801032582195975
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,2,main,600,150,120,30,0.21047860372881733,0.2809590614090214,-0.0053012140197898905,0.4835815690214069,0.4135894524852063,-0.05690398990641626,0.37409306865998854,0.3333333333333333,0.37333333333333335,TP_0890,0.7170773589466817,0.35,,,0.11420883718798588,,,0.11420883718798588,0.23999189910888674,0.029513295380069415,0.12297621498748562
