row_id,cell_id,hour_sgt,scenario_context,source,label_source,target_definition,tmrt_p90_c,tmrt_p90_c_base,tmrt_p90_c_overhead_as_canopy,delta_tmrt_mean_c,delta_tmrt_p75_c,delta_tmrt_p90_c,delta_tmrt_p95_c,delta_tmrt_max_c,delta_pct_pixels_ge_40,delta_pct_pixels_ge_45,delta_pct_pixels_ge_50,delta_pct_pixels_ge_55,m_rad_pct01,typology_label,primary_role,secondary_roles,in_n24_completed,source_feature_completeness,sampling_feature_completeness,centroid_x,centroid_y,centroid_x_normalized,centroid_y_normalized,svf_or_open_sky,shade_fraction,building_density,building_height_or_canyon_proxy,road_or_hardscape_fraction,tree_or_gvi_fraction,grass_fraction,water_edge_or_water_fraction,overhead_fraction,impervious_or_built_fraction,feature_source,forcing_setup
TP_0005|overhead_as_canopy_minus_base|h10,TP_0005,10,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,45.378231048583984,45.378231048583984,45.378231048583984,-0.1125373840332031,-0.1398162841796875,0.0,0.0,0.0,-1.240000000000002,0.0,0.0,0.0,0.5100671140939598,residential,,,False,1.0,1.0,29150.0,34250.0,0.1153846153846153,0.0,0.1764425019737542,0.697307115217563,0.337199999999313,12.5,0.0233886337246692,0.0,0.0,0.0,0.013718399839647,0.4356900532079811,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0005|overhead_as_canopy_minus_base|h12,TP_0005,12,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,61.562965393066406,61.562965393066406,61.5621223449707,-0.144622802734375,-0.053375244140625,-0.0008430480957031,0.0,0.0,-0.0799999999999983,-0.4000000000000057,-0.7600000000000051,-0.759999999999998,0.4429530201342282,residential,,,False,1.0,1.0,29150.0,34250.0,0.1153846153846153,0.0,0.1764425019737542,0.697307115217563,0.337199999999313,12.5,0.0233886337246692,0.0,0.0,0.0,0.013718399839647,0.4356900532079811,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0005|overhead_as_canopy_minus_base|h13,TP_0005,13,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,61.44207382202149,61.44207382202149,61.44207382202149,-0.14910888671875,-0.1476249694824218,0.0,0.0,0.0,-0.279999999999994,-0.3999999999999986,-0.7999999999999972,-0.8800000000000026,0.4832214765100671,residential,,,False,1.0,1.0,29150.0,34250.0,0.1153846153846153,0.0,0.1764425019737542,0.697307115217563,0.337199999999313,12.5,0.0233886337246692,0.0,0.0,0.0,0.013718399839647,0.4356900532079811,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0005|overhead_as_canopy_minus_base|h15,TP_0005,15,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,59.52803802490234,59.52803802490234,59.52803802490234,-0.1550979614257812,-0.3468589782714844,0.0,0.0,0.0,0.0,-0.5200000000000031,-0.8399999999999963,-1.240000000000002,0.4832214765100671,residential,,,False,1.0,1.0,29150.0,34250.0,0.1153846153846153,0.0,0.1764425019737542,0.697307115217563,0.337199999999313,12.5,0.0233886337246692,0.0,0.0,0.0,0.013718399839647,0.4356900532079811,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0005|overhead_as_canopy_minus_base|h16,TP_0005,16,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,50.49081039428711,50.49081039428711,50.49081039428711,-0.1726913452148437,-0.4265098571777344,0.0,0.0,0.0,-1.240000000000002,-1.519999999999996,0.0,0.0,0.4966442953020134,residential,,,False,1.0,1.0,29150.0,34250.0,0.1153846153846153,0.0,0.1764425019737542,0.697307115217563,0.337199999999313,12.5,0.0233886337246692,0.0,0.0,0.0,0.013718399839647,0.4356900532079811,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0006|overhead_as_canopy_minus_base|h10,TP_0006,10,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,45.39290237426758,45.39290237426758,45.39290237426758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167785234899329,civic_institutional,,,False,1.0,1.0,29250.0,34250.0,0.1538461538461538,0.0,0.2886610292482274,0.4750523185372838,0.5216000000052088,12.0,0.0052474822666447,0.0,0.0,0.0,0.0,0.4611313880283147,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0006|overhead_as_canopy_minus_base|h12,TP_0006,12,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,61.64630126953125,61.64630126953125,61.64630126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966442953020134,civic_institutional,,,False,1.0,1.0,29250.0,34250.0,0.1538461538461538,0.0,0.2886610292482274,0.4750523185372838,0.5216000000052088,12.0,0.0052474822666447,0.0,0.0,0.0,0.0,0.4611313880283147,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0006|overhead_as_canopy_minus_base|h13,TP_0006,13,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,61.64959335327149,61.64959335327149,61.64959335327149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100671140939598,civic_institutional,,,False,1.0,1.0,29250.0,34250.0,0.1538461538461538,0.0,0.2886610292482274,0.4750523185372838,0.5216000000052088,12.0,0.0052474822666447,0.0,0.0,0.0,0.0,0.4611313880283147,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0006|overhead_as_canopy_minus_base|h15,TP_0006,15,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,59.71195602416992,59.71195602416992,59.71195602416992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503355704697986,civic_institutional,,,False,1.0,1.0,29250.0,34250.0,0.1538461538461538,0.0,0.2886610292482274,0.4750523185372838,0.5216000000052088,12.0,0.0052474822666447,0.0,0.0,0.0,0.0,0.4611313880283147,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
TP_0006|overhead_as_canopy_minus_base|h16,TP_0006,16,overhead_as_canopy_minus_base,solweig_b7_new,n150_base_vs_overhead_delta_merged,delta_tmrt_p90_c = tmrt_p90_c_overhead_as_canopy - tmrt_p90_c_base,50.63304901123047,50.63304901123047,50.63304901123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5302013422818792,civic_institutional,,,False,1.0,1.0,29250.0,34250.0,0.1538461538461538,0.0,0.2886610292482274,0.4750523185372838,0.5216000000052088,12.0,0.0052474822666447,0.0,0.0,0.0,0.0,0.4611313880283147,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,n150_single_forcing_pairwise
