scan_root,path,exists,suffix,size_bytes,read_status,columns,column_count,has_cell_id,has_hour,has_scenario,has_primary_target,has_tmrt_p90,has_m_rad,has_feature_keywords,filename_mentions_n150,filename_mentions_surrogate
docs/v12,docs/v12/OpenHeat_SystemB_N24_target_robustness_reaudit_CN.md,True,.md,2512,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_SystemB_product_taxonomy_CN.md,True,.md,3273,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_SystemB_surrogate_baseline_benchmark_CN.md,True,.md,2761,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
docs/v12,docs/v12/OpenHeat_SystemB_surrogate_dataset_protocol_CN.md,True,.md,5390,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
docs/v12,docs/v12/OpenHeat_SystemB_surrogate_model_card_CN.md,True,.md,7367,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
docs/v12,docs/v12/OpenHeat_SystemB_target_freeze_modifier_reference_CN.md,True,.md,3729,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_SystemB_target_robustness_protocol_CN.md,True,.md,3525,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_formal_hotday_SOLWEIG_QA_plan_CN.md,True,.md,3982,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_formal_hotday_SOLWEIG_QA_runbook_CN.md,True,.md,5879,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_pre_scale_development_plan_CN.md,True,.md,5396,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_SOLWEIG_typology_pilot_closeout_CN.md,True,.md,3471,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_SOLWEIG_typology_pilot_interim_findings_CN.md,True,.md,12609,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/OpenHeat_v12_SOLWEIG_typology_pilot_runbook_CN.md,True,.md,12190,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/SOLWEIG_typology_pilot_runbook_CN_updated.md,True,.md,5996,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/v10_SOLWEIG_source_of_truth_recovery_note_CN.md,True,.md,1073,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/V12_QGIS_preprocessing_automation_final_CN.md,True,.md,2514,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
docs/v12,docs/v12/V12_SOLWEIG_Wave0_Run_Guide_CN.md,True,.md,3112,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,False
