source_name,source_path,source_kind,exists,file_size_bytes,row_count,read_status,columns_sample,geometry_type_sample,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_crs_status,station_coverage_count,expected_station_count,candidate_feature_groups,coverage_status,allowed_for_27_station_buffer_model,extraction_status,exclusion_reason,notes
toa_payoh_grid_v07_for_ee,data/grid/toa_payoh_grid_v07_for_ee.shp,spatial_vector,True,134196.0,0,path_only_no_geospatial_reader,,,,,,,unknown,0,27,,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.geojson,spatial_vector,True,1799673.0,986,readable,cell_id;old_valid_pixel_count;old_building_pixel_count;old_building_area_m2;old_building_density;old_open_pixel_fraction;old_dsm_mean_all_m;old_dsm_max_all_m;old_building_height_mean_m;old_building_height_max_m;old_building_height_p50_m;old_building_height_p90_m;v10_valid_pixel_count;v10_building_pixel_count;v10_building_area_m2;v10_building_density;v10_open_pixel_fraction;v10_dsm_mean_all_m;v10_dsm_max_all_m;v10_building_height_mean_m;v10_building_height_max_m;v10_building_height_p50_m;v10_building_height_p90_m;cell_area_m2;delta_building_area_m2;delta_building_density;delta_open_pixel_fraction;delta_building_height_mean_m;delta_building_height_max_m;delta_building_height_p50_m;delta_building_height_p90_m;lat;lon;land_use_hint;road_fraction;gvi_percent;tree_canopy_fraction;ndvi_mean;shade_fraction;svf,Polygon,103.83960845804607,1.32556696000083,103.86566692987094,1.356315557350032,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_features_overhead_sensitivity,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.geojson,spatial_vector,True,9442764.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source,Polygon,103.83960845804607,1.32556696000083,103.86566692987094,1.356315557350032,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_features_umep_with_veg,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.geojson,spatial_vector,True,7929100.0,986,readable,cell_id;lat;lon;building_density;road_fraction;park_distance_m;elderly_proxy;outdoor_exposure_proxy;land_use_hint;centroid_x_svy21;centroid_y_svy21;cell_area_m2;land_use_raw;land_use_fraction;gpr_area_weighted;nearest_park_name;large_park_distance_m;nearest_large_park_name;water_distance_m;nearest_water_name;max_building_height_m;elderly_proxy_source;outdoor_exposure_source;forecast_spatial_note;mean_building_height_m;tree_canopy_fraction;grass_fraction;water_fraction;built_up_fraction;ndvi_mean;dynamic_world_tree_fraction;dynamic_world_grass_fraction;dynamic_world_water_fraction;dynamic_world_built_up_fraction;ndvi_norm_for_greenery_proxy;greenery_fraction_beta;gvi_percent;gvi_source;height_source;tree_canopy_source,Polygon,103.83960845804607,1.32556696000083,103.86566692987094,1.356315557350032,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
toa_payoh_grid_v10_umep_morphology_with_veg,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.geojson,spatial_vector,True,1974022.0,986,readable,cell_id;n_total_pixels_v10;n_building_pixels_v10;n_open_pixels_v10;building_pixel_fraction_v10;open_pixel_fraction_v10;building_area_m2_v10;dsm_building_height_mean_m_v10;dsm_building_height_p50_m_v10;dsm_building_height_p90_m_v10;dsm_building_height_max_m_v10;svf_umep_mean_open_v10;svf_umep_p10_open_v10;svf_umep_p90_open_v10;svf_umep_mean_all_v10;shade_fraction_umep_0800_open_v10;shade_fraction_umep_0900_open_v10;shade_fraction_umep_1000_open_v10;shade_fraction_umep_1100_open_v10;shade_fraction_umep_1200_open_v10;shade_fraction_umep_1300_open_v10;shade_fraction_umep_1400_open_v10;shade_fraction_umep_1500_open_v10;shade_fraction_umep_1600_open_v10;shade_fraction_umep_1700_open_v10;shade_fraction_umep_1800_open_v10;shade_fraction_umep_1900_open_v10;shade_fraction_umep_10_16_open_v10;shade_fraction_umep_13_15_open_v10;shade_fraction_umep_peak_open_v10;umep_morphology_version;umep_includes_vegetation;veg_transmissivity_pct;veg_trunk_zone_pct;umep_shadow_date;shade_interpretation,Polygon,103.83960845804607,1.32556696000083,103.86566692987094,1.356315557350032,EPSG:4326_inferred,1,27,built_impervious;distance_context;landuse_lcz;morphology;vegetation,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
ura_mp19_subzone_no_sea,data/raw/boundaries/ura_mp19_subzone_no_sea.geojson,spatial_vector,True,3113131.0,332,readable,OBJECTID;SUBZONE_NO;SUBZONE_N;SUBZONE_C;CA_IND;PLN_AREA_N;PLN_AREA_C;REGION_N;REGION_C;INC_CRC;FMEL_UPD_D;SHAPE.AREA;SHAPE.LEN,Polygon;MultiPolygon,103.60570070513404,1.1586987006322145,104.08848306516335,1.4707748320860872,EPSG:4326_inferred,27,27,,bbox_covers_all_27_stations,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
osm_roads_toa_payoh,data/raw/osm_roads_toa_payoh.geojson,spatial_vector,True,3429837.0,6147,readable,osm_id;name;highway;waterway;aerialway;barrier;man_made;railway;z_order;other_tags,MultiLineString,103.83,1.318,103.876,1.362,EPSG:4326_inferred,2,27,built_impervious;distance_context;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
osm_water_toa_payoh,data/raw/osm_water_toa_payoh.geojson,spatial_vector,True,49413.0,31,readable,osm_id;osm_way_id;name;type;aeroway;amenity;admin_leve;barrier;boundary;building;craft;geological;historic;land_area;landuse;leisure;man_made;military;natural;office;place;shop;sport;tourism;other_tags,MultiPolygon,103.83,1.318,103.876,1.362,EPSG:4326_inferred,2,27,built_impervious;distance_context;landuse_lcz;morphology;water,ToaPayoh_only_or_AOI_limited,False,excluded,Toa Payoh-only/AOI-limited source cannot be used as 27-station station-local buffer features.,
ecda_preschools,data/raw/poi/ecda_preschools.geojson,spatial_vector,True,1341092.0,2290,readable,Name;Description,Point,103.687842206162,1.2477586231673,103.989707260542,1.46213400287777,EPSG:4326_inferred,26,27,,bbox_partial_station_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
lta_bus_stops,data/raw/poi/lta_bus_stops.geojson,spatial_vector,True,1789619.0,5166,readable,OBJECTID_1;BUS_STOP_NUM;BUS_ROOF_NUM;UNIQUE_ID;INC_CRC;FMEL_UPD_D,Point,103.61740233338095,1.2557691859019213,104.01559407002748,1.4954393777684813,EPSG:4326_inferred,25,27,,bbox_partial_station_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
