station_id,station_name,station_town_center,station_lat,station_lon,station_x_svy21_m,station_y_svy21_m,station_coordinate_source,station_source_epsg,metric_buffer_epsg,has_usable_built_impervious_source,has_usable_distance_context_source,has_usable_landuse_lcz_source,has_usable_morphology_source,has_usable_surface_source,has_usable_vegetation_source,has_usable_water_source,source_coverage_summary,crs_check,buffer_area_check,toapayoh_only_feature_exclusion_check,water_fraction_50m,water_fraction_100m,water_fraction_250m,water_fraction_500m,distance_to_water_m_50m,distance_to_water_m_100m,distance_to_water_m_250m,distance_to_water_m_500m,nearest_water_type_50m,nearest_water_type_100m,nearest_water_type_250m,nearest_water_type_500m,tree_canopy_fraction_50m,tree_canopy_fraction_100m,tree_canopy_fraction_250m,tree_canopy_fraction_500m,grass_fraction_50m,grass_fraction_100m,grass_fraction_250m,grass_fraction_500m,green_space_fraction_50m,green_space_fraction_100m,green_space_fraction_250m,green_space_fraction_500m,ndvi_mean_50m,ndvi_mean_100m,ndvi_mean_250m,ndvi_mean_500m,gvi_mean_50m,gvi_mean_100m,gvi_mean_250m,gvi_mean_500m,built_up_fraction_50m,built_up_fraction_100m,built_up_fraction_250m,built_up_fraction_500m,impervious_fraction_50m,impervious_fraction_100m,impervious_fraction_250m,impervious_fraction_500m,road_fraction_50m,road_fraction_100m,road_fraction_250m,road_fraction_500m,major_road_fraction_50m,major_road_fraction_100m,major_road_fraction_250m,major_road_fraction_500m,building_footprint_fraction_50m,building_footprint_fraction_100m,building_footprint_fraction_250m,building_footprint_fraction_500m,lst_mean_50m,lst_mean_100m,lst_mean_250m,lst_mean_500m,lst_p90_50m,lst_p90_100m,lst_p90_250m,lst_p90_500m,albedo_mean_50m,albedo_mean_100m,albedo_mean_250m,albedo_mean_500m,building_density_50m,building_density_100m,building_density_250m,building_density_500m,mean_building_height_m_50m,mean_building_height_m_100m,mean_building_height_m_250m,mean_building_height_m_500m,building_height_p90_m_50m,building_height_p90_m_100m,building_height_p90_m_250m,building_height_p90_m_500m,roughness_proxy_50m,roughness_proxy_100m,roughness_proxy_250m,roughness_proxy_500m,openness_or_svf_proxy_50m,openness_or_svf_proxy_100m,openness_or_svf_proxy_250m,openness_or_svf_proxy_500m,distance_to_park_m_50m,distance_to_park_m_100m,distance_to_park_m_250m,distance_to_park_m_500m,distance_to_coast_or_water_m_50m,distance_to_coast_or_water_m_100m,distance_to_coast_or_water_m_250m,distance_to_coast_or_water_m_500m,distance_to_major_road_m_50m,distance_to_major_road_m_100m,distance_to_major_road_m_250m,distance_to_major_road_m_500m,lcz_like_class_50m,lcz_like_class_100m,lcz_like_class_250m,lcz_like_class_500m,landuse_majority_50m,landuse_majority_100m,landuse_majority_250m,landuse_majority_500m
S124,Upper Changi Road North,Changi Meteorological Station,1.36777,103.982262,44575.669137786936,38867.16086588395,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S125,Woodlands Street 13,Woodlands Stadium,1.433789,103.780731,22147.834403762718,46166.76086459907,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S126,Old Chua Chu Kang Road,Old Choa Chu Kang Road,1.372566,103.724358,15874.05056231132,39397.240230172916,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S127,Stadium Road,Kallang Practice Track,1.305738,103.878174,32992.032295091776,32007.51022862037,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S128,Bishan Street,Bishan Stadium,1.354825,103.852219,30103.438138540743,37435.26277586731,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S129,Bedok North Street 2,Bedok Stadium,1.325746,103.939691,39838.21911688402,34220.1017344905,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S130,West Coast Road,Clementi Stadium,1.310524,103.763426,20221.65037170937,32536.78553348104,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S132,Jurong West Street 93,Jurong West Stadium,1.337859,103.695383,12649.261502928872,35559.67253493186,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S135,Mandai Wildlife Reserve,Mandai Wildlife Reserve,1.4084245,103.7808629,22162.449185475944,43362.08080354535,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S137,Sakra Road,Sakra Road (Jurong Island),1.2571,103.698,12940.028952551404,26629.71733371041,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
