feature_name,feature_group,buffer_m,n_stations,n_stations_non_null,n_missing,missing_fraction,high_missing_gt_20_pct,high_missing_gt_50_pct,high_missing_gt_80_pct,allowed_for_future_model,source_name,source_path
water_fraction,water,50,27,0,27,1.0,True,True,True,False,unavailable,
water_fraction,water,100,27,0,27,1.0,True,True,True,False,unavailable,
water_fraction,water,250,27,0,27,1.0,True,True,True,False,unavailable,
water_fraction,water,500,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_water_m,water,50,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_water_m,water,100,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_water_m,water,250,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_water_m,water,500,27,0,27,1.0,True,True,True,False,unavailable,
nearest_water_type,water,50,27,0,27,1.0,True,True,True,False,unavailable,
nearest_water_type,water,100,27,0,27,1.0,True,True,True,False,unavailable,
nearest_water_type,water,250,27,0,27,1.0,True,True,True,False,unavailable,
nearest_water_type,water,500,27,0,27,1.0,True,True,True,False,unavailable,
tree_canopy_fraction,vegetation,50,27,0,27,1.0,True,True,True,False,unavailable,
tree_canopy_fraction,vegetation,100,27,0,27,1.0,True,True,True,False,unavailable,
tree_canopy_fraction,vegetation,250,27,0,27,1.0,True,True,True,False,unavailable,
tree_canopy_fraction,vegetation,500,27,0,27,1.0,True,True,True,False,unavailable,
grass_fraction,vegetation,50,27,0,27,1.0,True,True,True,False,unavailable,
grass_fraction,vegetation,100,27,0,27,1.0,True,True,True,False,unavailable,
grass_fraction,vegetation,250,27,0,27,1.0,True,True,True,False,unavailable,
grass_fraction,vegetation,500,27,0,27,1.0,True,True,True,False,unavailable,
green_space_fraction,vegetation,50,27,0,27,1.0,True,True,True,False,unavailable,
green_space_fraction,vegetation,100,27,0,27,1.0,True,True,True,False,unavailable,
green_space_fraction,vegetation,250,27,0,27,1.0,True,True,True,False,unavailable,
green_space_fraction,vegetation,500,27,0,27,1.0,True,True,True,False,unavailable,
ndvi_mean,vegetation,50,27,0,27,1.0,True,True,True,False,unavailable,
ndvi_mean,vegetation,100,27,0,27,1.0,True,True,True,False,unavailable,
ndvi_mean,vegetation,250,27,0,27,1.0,True,True,True,False,unavailable,
ndvi_mean,vegetation,500,27,0,27,1.0,True,True,True,False,unavailable,
gvi_mean,vegetation,50,27,0,27,1.0,True,True,True,False,unavailable,
gvi_mean,vegetation,100,27,0,27,1.0,True,True,True,False,unavailable,
gvi_mean,vegetation,250,27,0,27,1.0,True,True,True,False,unavailable,
gvi_mean,vegetation,500,27,0,27,1.0,True,True,True,False,unavailable,
built_up_fraction,built_impervious,50,27,0,27,1.0,True,True,True,False,unavailable,
built_up_fraction,built_impervious,100,27,0,27,1.0,True,True,True,False,unavailable,
built_up_fraction,built_impervious,250,27,0,27,1.0,True,True,True,False,unavailable,
built_up_fraction,built_impervious,500,27,0,27,1.0,True,True,True,False,unavailable,
impervious_fraction,built_impervious,50,27,0,27,1.0,True,True,True,False,unavailable,
impervious_fraction,built_impervious,100,27,0,27,1.0,True,True,True,False,unavailable,
impervious_fraction,built_impervious,250,27,0,27,1.0,True,True,True,False,unavailable,
impervious_fraction,built_impervious,500,27,0,27,1.0,True,True,True,False,unavailable,
road_fraction,built_impervious,50,27,0,27,1.0,True,True,True,False,unavailable,
road_fraction,built_impervious,100,27,0,27,1.0,True,True,True,False,unavailable,
road_fraction,built_impervious,250,27,0,27,1.0,True,True,True,False,unavailable,
road_fraction,built_impervious,500,27,0,27,1.0,True,True,True,False,unavailable,
major_road_fraction,built_impervious,50,27,0,27,1.0,True,True,True,False,unavailable,
major_road_fraction,built_impervious,100,27,0,27,1.0,True,True,True,False,unavailable,
major_road_fraction,built_impervious,250,27,0,27,1.0,True,True,True,False,unavailable,
major_road_fraction,built_impervious,500,27,0,27,1.0,True,True,True,False,unavailable,
building_footprint_fraction,built_impervious,50,27,0,27,1.0,True,True,True,False,unavailable,
building_footprint_fraction,built_impervious,100,27,0,27,1.0,True,True,True,False,unavailable,
building_footprint_fraction,built_impervious,250,27,0,27,1.0,True,True,True,False,unavailable,
building_footprint_fraction,built_impervious,500,27,0,27,1.0,True,True,True,False,unavailable,
lst_mean,surface,50,27,0,27,1.0,True,True,True,False,unavailable,
lst_mean,surface,100,27,0,27,1.0,True,True,True,False,unavailable,
lst_mean,surface,250,27,0,27,1.0,True,True,True,False,unavailable,
lst_mean,surface,500,27,0,27,1.0,True,True,True,False,unavailable,
lst_p90,surface,50,27,0,27,1.0,True,True,True,False,unavailable,
lst_p90,surface,100,27,0,27,1.0,True,True,True,False,unavailable,
lst_p90,surface,250,27,0,27,1.0,True,True,True,False,unavailable,
lst_p90,surface,500,27,0,27,1.0,True,True,True,False,unavailable,
albedo_mean,surface,50,27,0,27,1.0,True,True,True,False,unavailable,
albedo_mean,surface,100,27,0,27,1.0,True,True,True,False,unavailable,
albedo_mean,surface,250,27,0,27,1.0,True,True,True,False,unavailable,
albedo_mean,surface,500,27,0,27,1.0,True,True,True,False,unavailable,
building_density,morphology,50,27,0,27,1.0,True,True,True,False,unavailable,
building_density,morphology,100,27,0,27,1.0,True,True,True,False,unavailable,
building_density,morphology,250,27,0,27,1.0,True,True,True,False,unavailable,
building_density,morphology,500,27,0,27,1.0,True,True,True,False,unavailable,
mean_building_height_m,morphology,50,27,0,27,1.0,True,True,True,False,unavailable,
mean_building_height_m,morphology,100,27,0,27,1.0,True,True,True,False,unavailable,
mean_building_height_m,morphology,250,27,0,27,1.0,True,True,True,False,unavailable,
mean_building_height_m,morphology,500,27,0,27,1.0,True,True,True,False,unavailable,
building_height_p90_m,morphology,50,27,0,27,1.0,True,True,True,False,unavailable,
building_height_p90_m,morphology,100,27,0,27,1.0,True,True,True,False,unavailable,
building_height_p90_m,morphology,250,27,0,27,1.0,True,True,True,False,unavailable,
building_height_p90_m,morphology,500,27,0,27,1.0,True,True,True,False,unavailable,
roughness_proxy,morphology,50,27,0,27,1.0,True,True,True,False,unavailable,
roughness_proxy,morphology,100,27,0,27,1.0,True,True,True,False,unavailable,
roughness_proxy,morphology,250,27,0,27,1.0,True,True,True,False,unavailable,
roughness_proxy,morphology,500,27,0,27,1.0,True,True,True,False,unavailable,
openness_or_svf_proxy,morphology,50,27,0,27,1.0,True,True,True,False,unavailable,
openness_or_svf_proxy,morphology,100,27,0,27,1.0,True,True,True,False,unavailable,
openness_or_svf_proxy,morphology,250,27,0,27,1.0,True,True,True,False,unavailable,
openness_or_svf_proxy,morphology,500,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_park_m,distance_context,50,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_park_m,distance_context,100,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_park_m,distance_context,250,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_park_m,distance_context,500,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_coast_or_water_m,distance_context,50,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_coast_or_water_m,distance_context,100,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_coast_or_water_m,distance_context,250,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_coast_or_water_m,distance_context,500,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_major_road_m,distance_context,50,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_major_road_m,distance_context,100,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_major_road_m,distance_context,250,27,0,27,1.0,True,True,True,False,unavailable,
distance_to_major_road_m,distance_context,500,27,0,27,1.0,True,True,True,False,unavailable,
lcz_like_class,landuse_lcz,50,27,0,27,1.0,True,True,True,False,unavailable,
