cell_id,old_valid_pixel_count,old_building_pixel_count,old_building_area_m2,old_building_density,old_open_pixel_fraction,old_dsm_mean_all_m,old_dsm_max_all_m,old_building_height_mean_m,old_building_height_max_m,old_building_height_p50_m,old_building_height_p90_m,v10_valid_pixel_count,v10_building_pixel_count,v10_building_area_m2,v10_building_density,v10_open_pixel_fraction,v10_dsm_mean_all_m,v10_dsm_max_all_m,v10_building_height_mean_m,v10_building_height_max_m,v10_building_height_p50_m,v10_building_height_p90_m,cell_area_m2,delta_building_area_m2,delta_building_density,delta_open_pixel_fraction,delta_building_height_mean_m,delta_building_height_max_m,delta_building_height_p50_m,delta_building_height_p90_m,lat,lon,land_use_hint,road_fraction,gvi_percent,tree_canopy_fraction,ndvi_mean,shade_fraction,svf,building_density,mean_building_height_m,max_building_height_m,hazard_rank_true_v08,hazard_score,max_utci_c,max_wbgt_proxy_c,risk_rank_v08_conditioned,risk_priority_score_v08_conditioned,risk_rank_v08_social_conditioned,risk_priority_score_v08_social_conditioned,risk_rank_v08_candidate_policy,risk_priority_score_v08_candidate_policy,vulnerability_score_v071,outdoor_exposure_score_v071,old_vs_osm_completeness,reviewed_vs_osm_completeness,coverage_gain_vs_osm,old_dsm_area_m2,reviewed_dsm_area_m2,osm_area_m2,reviewed_minus_old_dsm_area_m2,old_hazard_top20,old_hazard_top50,old_hazard_topN,low_old_completeness,zero_old_completeness,high_coverage_gain,large_building_area_gain,large_building_density_gain,v10_building_density_nontrivial,possible_old_dsm_gap_false_positive,audit_flags
TP_0116,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,439,1756.0,0.1756000000015459,0.8244,2.682,18.0,15.273348519362187,18.0,15.0,15.599999999999966,9999.99999991196,1756.0,0.1756000000015459,-0.1755999999999999,15.273348519362187,18.0,15.0,15.599999999999966,1.328732241488889,103.86521728994435,transport,0.592522737312445,2.12892836581508,0.0,0.1673095192403351,0.0,0.9846855401992798,0.0,15.94110122537922,6.6,2,0.7331545729845858,42.31462867817163,29.308314798192487,13,0.6162321067618073,27,0.5275532823455361,13,0.6569525173009821,0.4504552897238778,0.2295310471424727,0.0,0.9957084167654602,0.9957084167654602,0.0,1756.0,1763.5685010119053,1756.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0564,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,812,3248.0,0.3247999999995982,0.6752,5.0272,21.0,15.47783251231527,21.0,12.0,21.0,10000.00000001237,3248.0,0.3247999999995982,-0.3248,15.47783251231527,21.0,12.0,21.0,1.343202218079859,103.85084050922116,commercial,0.2474620111541663,1.9136072073293235,0.0,0.1625246046073183,0.0,0.9539527297019958,0.0,19.10489347152413,19.8,7,0.7211238662880441,41.94775963785132,29.12395805042064,5,0.6397295009701338,7,0.5782075260759387,4,0.7172292868313002,0.6149567231783224,0.4488494597742948,0.0,0.99761506016097,0.99761506016097,0.0,3248.0,3255.764803185629,3248.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0849,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,674,2696.0,0.2696000000021969,0.7303999999999999,4.044,15.0,15.0,15.0,15.0,15.0,9999.99999991851,2696.0,0.2696000000021969,-0.2696,15.0,15.0,15.0,15.0,1.352245890610612,103.84634775468886,residential,0.3847999187900626,6.6277018616970205,0.0,0.2672822635932671,0.0,0.9928810596466064,0.0,9.424703702118228,13.2,8,0.7208228685872438,42.07783033202658,29.068488961867686,39,0.5887176413586787,93,0.4706654150276769,47,0.5387744192984388,0.0381434888225381,0.6100844878824091,0.0,0.9947210999790784,0.9947210999790784,0.0,2696.0,2710.3074420123426,2696.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0985,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1062,4248.0,0.4247999999970946,0.5751999999999999,3.3408,15.0,7.864406779661017,15.0,6.0,15.0,10000.000000068394,4248.0,0.4247999999970946,-0.4248,7.864406779661017,15.0,6.0,15.0,1.355863183806636,103.86431907629846,residential,0.2705103010907568,1.9101922981276087,0.0,0.1624487177361691,0.0,0.993943452835083,0.0,9.247491065174897,13.2,9,0.7204764652845331,42.10885412845366,29.056645178415263,16,0.6127201378602115,21,0.5360709832884635,14,0.6560224134309662,0.5785938526926602,0.1364833037179531,0.0,1.0000117213819064,1.0000117213819064,0.0,4248.0,4247.950208153291,4248.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0986,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1069,4276.0,0.4276000000050945,0.5724,2.5656,6.0,6.0,6.0,6.0,6.0,9999.999999880856,4276.0,0.4276000000050945,-0.4276,6.0,6.0,6.0,6.0,1.3558631720661165,103.86521764134852,residential,0.2884105562475178,1.02127559987727,0.0,0.142695013330606,0.0,0.9904047846794128,0.0,8.89820550418288,13.2,10,0.7183850444334857,42.07269237742725,29.03476081246861,17,0.6120931021149413,20,0.5362271061058073,15,0.65314246847675,0.5783129576372024,0.1529348628518791,0.0,0.999823100313238,0.999823100313238,0.0,4276.0,4276.756556895272,4276.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0984,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1012,4048.0,0.4048000000009793,0.5952,3.7032,15.0,9.148221343873518,15.0,6.0,15.0,9999.999999975807,4048.0,0.4048000000009793,-0.4048,9.148221343873518,15.0,6.0,15.0,1.3558631952115547,103.86342051124072,residential,0.2334303181151444,2.6153463625155986,0.0,0.1781188080559022,0.0,0.9977872967720032,0.0,9.897013358712124,13.2,12,0.7162028418269001,42.08098366270157,29.01359387604966,20,0.6080696443931315,25,0.531159243846367,16,0.6426840862747217,0.574723798049356,0.1281018431214089,0.0,0.9981397882394436,0.9981397882394436,0.0,4048.0,4055.54417096228,4048.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0565,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,830,3320.0,0.3320000000035268,0.6679999999999999,3.4288,12.0,10.327710843373492,12.0,10.0,12.0,9999.999999893773,3320.0,0.3320000000035268,-0.3320000000000001,10.327710843373492,12.0,10.0,12.0,1.3432022114359992,103.85173906971652,transport,0.4077691311094221,4.277568096432297,0.0,0.2150570688096066,0.0162405725568532,0.926755666732788,0.0,17.16266675164459,6.6,13,0.7156407219594539,41.66475042485784,29.173570449779408,9,0.6276106692999194,15,0.5627021256441764,7,0.6877322660942695,0.6107261332889978,0.3538235515585562,0.0,1.0002787866202194,1.0002787866202194,0.0,3320.0,3319.0746863859267,3320.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0638,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,795,3180.0,0.3179999999993406,0.6819999999999999,4.8316,18.0,15.1937106918239,18.0,15.0,18.0,10000.000000020736,3180.0,0.3179999999993406,-0.318,15.1937106918239,18.0,15.0,18.0,1.3450108005608086,103.86521749993376,residential,0.3193198365573104,4.3749924253018975,0.0,0.2172220538955977,0.006152571644634,0.9691259860992432,0.0,11.097286492732374,13.2,14,0.715620184359219,41.885182878422285,29.058092580845745,107,0.5426645805582954,193,0.4043944040203903,101,0.4377000506705616,0.0350118536912752,0.0306190903746918,0.0,1.0006332368465898,1.0006332368465898,0.0,3180.0,3177.987581165601,3180.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0027,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1026,4104.0,0.4104000000057183,0.5896,3.8048,48.0,9.270955165692008,48.0,6.0,10.0,9999.999999860664,4104.0,0.4104000000057183,-0.4104,9.270955165692008,48.0,6.0,10.0,1.3260191707359783,103.86342014685236,residential,0.3329306553551248,2.7734624963156165,0.0,0.1816324999181248,0.0,0.982888162136078,0.0,23.726462808753464,13.2,15,0.7153817467720393,42.001873110838325,29.021741771135726,27,0.597750984823784,38,0.5122446896137799,24,0.6114250535514776,0.5025329370169743,0.1018930275142228,0.0,1.0000828508038695,1.0000828508038695,0.0,4104.0,4103.660008469491,4104.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0923,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,658,2632.0,0.2632000000009288,0.7368,3.948,15.0,15.0,15.0,15.0,15.0,9999.999999964712,2632.0,0.2632000000009288,-0.2632,15.0,15.0,15.0,15.0,1.3540544988222354,103.8607247957078,residential,0.4313863613898486,4.414123130816143,0.0,0.2180916251292476,0.0073165716603398,0.969862699508667,0.0,10.12215501595884,13.2,17,0.7132669931111668,41.85721198234496,29.038749636092177,74,0.55898046433856,151,0.4308660413993971,80,0.4713796083919213,0.047179451824798,0.2661343904535667,0.0,0.9972161939277326,0.9972161939277326,0.0,2632.0,2639.3474314063724,2632.0,True,True,True,True,True,True,True,True,True,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
