cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate,status
TP_0171,0.7042330656991791,26.0,0.7315705557117919,6.0,20.0,False,entered_v10
TP_0344,0.6604017180542141,95.0,0.7312525891547828,7.0,88.0,False,entered_v10
TP_0373,0.6729407610450938,73.0,0.7281587064427889,8.0,65.0,False,entered_v10
TP_0766,0.697917230041795,38.0,0.7255016667367133,10.0,28.0,False,entered_v10
TP_0973,0.68306565392321,58.0,0.7253557600956044,11.0,47.0,False,entered_v10
TP_0572,0.7024892878445922,28.0,0.7235961628168085,12.0,16.0,False,entered_v10
TP_0120,0.698931484135732,34.0,0.7232450398772873,13.0,21.0,False,entered_v10
TP_0315,0.7092979724405435,22.0,0.7228146165944079,14.0,8.0,True,entered_v10
TP_0888,0.6796474224364323,64.0,0.7206788813076622,17.0,47.0,False,entered_v10
TP_0916,0.6775101586012527,65.0,0.7153381252665418,20.0,45.0,False,entered_v10
TP_0116,0.7331545729845858,2.0,0.7135363447598606,23.0,-21.0,True,left_v08
TP_0060,0.729530918584117,5.0,0.7047495648640012,32.0,-27.0,False,left_v08
TP_0985,0.7204764652845331,9.0,0.7011120066133673,35.0,-26.0,True,left_v08
TP_0984,0.7162028418269001,12.0,0.6939741094522868,40.0,-28.0,True,left_v08
TP_0027,0.7153817467720393,15.0,0.6869573012744764,50.0,-35.0,True,left_v08
TP_0849,0.7208228685872438,8.0,0.680415625584943,66.0,-58.0,True,left_v08
TP_0638,0.715620184359219,14.0,0.6778337451905151,70.0,-56.0,True,left_v08
TP_0923,0.7132669931111668,17.0,0.6701012741397581,89.0,-72.0,True,left_v08
TP_0820,0.7126581961056525,19.0,0.6557376727327601,97.0,-78.0,True,left_v08
TP_0876,0.7129364355248445,18.0,0.6284489329629591,143.0,-125.0,True,left_v08
TP_0088,0.7471534438014392,1.0,0.7540806862473973,1.0,0.0,False,stayed
TP_0610,0.731807059007626,3.0,0.7430527677609041,2.0,1.0,False,stayed
TP_0460,0.7168590116224683,11.0,0.7397577589624206,3.0,8.0,False,stayed
TP_0059,0.730192107045208,4.0,0.7381973430429909,4.0,0.0,False,stayed
TP_0575,0.7113938494899958,20.0,0.7362715334723939,5.0,15.0,False,stayed
TP_0565,0.7156407219594539,13.0,0.7271600160094414,9.0,4.0,True,stayed
TP_0564,0.7211238662880441,7.0,0.722061452970123,15.0,-8.0,True,stayed
TP_0089,0.7237155569558886,6.0,0.7207604106011732,16.0,-10.0,False,stayed
TP_0003,0.7145702205039032,16.0,0.7197039341344056,18.0,-2.0,False,stayed
TP_0986,0.7183850444334857,10.0,0.7181390916669094,19.0,-9.0,True,stayed
