cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0316,0.4415908010917247,406.0,0.5004266853722411,333.0,73.0,False
TP_0136,0.6692191885490303,76.0,0.70041246034148,37.0,39.0,False
TP_0749,0.4933414268356226,337.0,0.4607392740872304,392.0,-55.0,False
TP_0359,0.5907200686015076,191.0,0.5958777843575007,192.0,-1.0,False
TP_0627,0.5473997538074636,248.0,0.5728049984334473,225.0,23.0,False
TP_0678,0.5747965042104708,213.0,0.5815627440223584,210.0,3.0,False
TP_0695,0.5079322211518817,304.0,0.4583644081269766,396.0,-92.0,False
TP_0196,0.5731335519121025,215.0,0.5962538518877196,188.0,27.0,False
TP_0685,0.5730373666670059,216.0,0.5856836265181081,205.0,11.0,False
TP_0859,0.6101182936472679,164.0,0.6372203812561977,124.0,40.0,False
TP_0590,0.5437320615708523,253.0,0.5576636386985495,245.0,8.0,False
TP_0485,0.58341692513105,201.0,0.5297127444361796,285.0,-84.0,False
TP_0310,0.5710356855113125,220.0,0.6870510979387203,49.0,171.0,False
TP_0500,0.5328380424684774,268.0,0.5886795970625038,202.0,66.0,False
TP_0693,0.4351871813675976,415.0,0.3822731189110922,511.0,-96.0,False
TP_0887,0.6067238712157595,170.0,0.6314926757582797,137.0,33.0,False
TP_0775,0.5946379360227767,185.0,0.6264792966311613,146.0,39.0,False
TP_0119,0.5537263783884823,242.0,0.5769263460257044,216.0,26.0,False
TP_0576,0.5490139005580777,246.0,0.580356280235203,211.0,35.0,False
TP_0163,0.4318928324647358,420.0,0.4551276383184751,398.0,22.0,False
TP_0661,0.5617785704268575,226.0,0.5962326533960861,189.0,37.0,False
TP_0138,0.5612169092694304,228.0,0.5916293549724845,200.0,28.0,False
TP_0930,0.5814699794249794,204.0,0.5726881886351246,226.0,-22.0,False
TP_0338,0.4819434205388652,359.0,0.5264840097420969,291.0,68.0,False
TP_0530,0.4987979791806509,322.0,0.5108363797005859,318.0,4.0,False
