cell_id,hour_sgt,scenario,delta_tmrt_p90_c,m_rad_pct01,delta_tmrt_p90_c_provisional_legacy,m_rad_pct_provisional_legacy,reference_definition,m_rad_pct01_minus_legacy,delta_tmrt_p90_c_minus_legacy
TP_0037,10,base,1.5449695587158203,0.9565217391304348,1.5449695587158203,0.9583333333333334,provisional_n24_batch_hour_scenario_median_reference,-0.0018115942028985588,0.0
TP_0037,12,base,0.6833915710449219,0.9130434782608695,0.6833915710449219,0.9166666666666666,provisional_n24_batch_hour_scenario_median_reference,-0.0036231884057971175,0.0
TP_0037,13,base,1.053091049194336,0.9130434782608695,1.053091049194336,0.9166666666666666,provisional_n24_batch_hour_scenario_median_reference,-0.0036231884057971175,0.0
TP_0037,15,base,1.2981243133544922,0.9565217391304348,1.2981243133544922,0.9583333333333334,provisional_n24_batch_hour_scenario_median_reference,-0.0018115942028985588,0.0
TP_0037,16,base,1.4660186767578125,0.9565217391304348,1.4660186767578125,0.9583333333333334,provisional_n24_batch_hour_scenario_median_reference,-0.0018115942028985588,0.0
TP_0037,10,overhead_as_canopy,-0.018964767456054688,0.4782608695652174,-0.0189647674560546,0.5,provisional_n24_batch_hour_scenario_median_reference,-0.021739130434782594,-8.673617379884035e-17
TP_0037,12,overhead_as_canopy,0.6407318115234375,0.6521739130434783,0.6407318115234375,0.6666666666666666,provisional_n24_batch_hour_scenario_median_reference,-0.01449275362318836,0.0
TP_0037,13,overhead_as_canopy,-0.011096954345703125,0.4782608695652174,-0.0110969543457031,0.5,provisional_n24_batch_hour_scenario_median_reference,-0.021739130434782594,-2.42861286636753e-17
TP_0037,15,overhead_as_canopy,-1.2650012969970703,0.43478260869565216,-1.2650012969970703,0.4583333333333333,provisional_n24_batch_hour_scenario_median_reference,-0.023550724637681153,0.0
TP_0037,16,overhead_as_canopy,-1.4814929962158274,0.391304347826087,-1.4814929962158203,0.4166666666666667,provisional_n24_batch_hour_scenario_median_reference,-0.025362318840579712,-7.105427357601002e-15
TP_0059,10,base,1.2798519134521484,0.8260869565217391,1.2798519134521484,0.8333333333333334,provisional_n24_batch_hour_scenario_median_reference,-0.007246376811594235,0.0
