cell_id,hour_sgt,scenario,reference_domain_version,target_version,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,tmrt_ref_p90_c,delta_tmrt_p90_c,m_rad_pct01,target_quality_flag,source,raw_solweig_available,notes,m_rad_pct_provisional_legacy,m_rad_pct01_minus_legacy
TP_0037,10,base,n24_internal_b3,systemb_target_family_v0_1_b5,39.52685546875,42.65448760986328,44.46598052978516,46.506309509277344,46.53591537475586,46.57469177246094,54.8,22.0,0.0,0.0,44.96133995056152,1.5449695587158203,0.9565217391304348,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.9583333333333334,-0.0018115942028985588
TP_0037,12,base,n24_internal_b3,systemb_target_family_v0_1_b5,53.81845474243164,60.58280944824219,61.796531677246094,62.27238082885742,62.30147933959961,62.31979751586914,73.8,68.0,67.84,67.84,61.5889892578125,0.6833915710449219,0.9130434782608695,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.9166666666666666,-0.0036231884057971175
TP_0037,13,base,n24_internal_b3,systemb_target_family_v0_1_b5,54.51276397705078,59.69611358642578,60.81851577758789,62.51641082763672,62.54996109008789,62.57920837402344,78.8,73.2,73.11999999999999,72.84,61.46331977844238,1.053091049194336,0.9130434782608695,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.9166666666666666,-0.0036231884057971175
TP_0037,15,base,n24_internal_b3,systemb_target_family_v0_1_b5,47.56985092163086,40.82197189331055,57.98145294189453,60.72555160522461,60.75756072998047,60.80853271484375,51.92,46.0,46.0,41.28,59.42742729187012,1.2981243133544922,0.9565217391304348,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.9583333333333334,-0.0018115942028985588
TP_0037,16,base,n24_internal_b3,systemb_target_family_v0_1_b5,41.15784454345703,36.70075225830078,48.72393035888672,51.73152160644531,51.76597213745117,51.81732177734375,38.48,37.8,22.92,0.0,50.2655029296875,1.4660186767578125,0.9565217391304348,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.9583333333333334,-0.0018115942028985588
TP_0037,10,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,36.68032836914063,33.450233459472656,43.04587936401367,44.148170471191406,44.36546325683594,45.45430374145508,33.4,0.32,0.0,0.0,44.16713523864746,-0.018964767456054688,0.4782608695652174,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.5,-0.021739130434782594
TP_0037,12,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,48.12201690673828,40.37653350830078,60.997520446777344,61.5823974609375,61.7863883972168,62.18844604492188,51.48,45.56,45.4,45.4,60.94166564941406,0.6407318115234375,0.6521739130434783,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.6666666666666666,-0.01449275362318836
TP_0037,13,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,48.9164924621582,55.79290008544922,60.13227844238281,60.607398986816406,60.7894401550293,61.602298736572266,56.92,51.16,51.04,50.8,60.61849594116211,-0.011096954345703125,0.4782608695652174,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.5,-0.021739130434782594
TP_0037,15,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,42.47830581665039,38.71324157714844,51.92868423461914,56.638301849365234,57.8499641418457,59.78483581542969,31.6,25.32,25.32,20.6,57.903303146362305,-1.2650012969970703,0.43478260869565216,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.4583333333333333,-0.023550724637681153
TP_0037,16,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,37.77617645263672,35.685211181640625,37.07508850097656,47.29628753662109,48.68126678466797,50.71839904785156,19.16,18.48,1.96,0.0,48.777780532836914,-1.4814929962158274,0.391304347826087,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.4166666666666667,-0.025362318840579712
TP_0059,10,base,n24_internal_b3,systemb_target_family_v0_1_b5,45.32170486450195,46.09529113769531,46.1701545715332,46.24119186401367,46.29170227050781,46.46051788330078,92.28,90.64,0.0,0.0,44.96133995056152,1.2798519134521484,0.8260869565217391,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.8333333333333334,-0.007246376811594235
TP_0059,12,base,n24_internal_b3,systemb_target_family_v0_1_b5,62.01827621459961,62.031517028808594,62.06294631958008,62.11625671386719,62.14785385131836,62.24058151245117,100.0,100.0,100.0,100.0,61.5889892578125,0.5272674560546875,0.8260869565217391,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.8333333333333334,-0.007246376811594235
TP_0059,13,base,n24_internal_b3,systemb_target_family_v0_1_b5,62.16756439208984,62.18168640136719,62.22831726074219,62.30513381958008,62.34062194824219,62.47140121459961,100.0,100.0,100.0,100.0,61.46331977844238,0.8418140411376953,0.8260869565217391,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.8333333333333334,-0.007246376811594235
TP_0059,15,base,n24_internal_b3,systemb_target_family_v0_1_b5,60.39198684692383,60.4024772644043,60.45685577392578,60.49889373779297,60.533164978027344,60.66500473022461,100.0,100.0,100.0,100.0,59.42742729187012,1.0714664459228516,0.8260869565217391,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.8333333333333334,-0.007246376811594235
TP_0059,16,base,n24_internal_b3,systemb_target_family_v0_1_b5,51.373085021972656,51.38343811035156,51.44404602050781,51.49138641357422,51.5242805480957,51.673828125,100.0,100.0,100.0,0.0,50.2655029296875,1.2258834838867188,0.8260869565217391,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.8333333333333334,-0.007246376811594235
TP_0059,10,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,43.94067001342773,45.81299591064453,46.036502838134766,46.10290145874024,46.14707946777344,46.388519287109375,84.48,70.04,0.0,0.0,44.16713523864746,1.9357662200927805,0.8695652173913043,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.875,-0.005434782608695676
TP_0059,12,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,59.59553146362305,61.882286071777344,61.99455642700195,62.03409957885742,62.061710357666016,62.24058151245117,93.8,91.24,91.24,91.24,60.94166564941406,1.0924339294433594,0.8695652173913043,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.875,-0.005434782608695676
TP_0059,13,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,59.384613037109375,61.9882698059082,62.13233184814453,62.186431884765625,62.225547790527344,62.44775390625,93.2,89.88000000000001,89.88000000000001,89.88000000000001,60.61849594116211,1.5679359436035156,0.8695652173913043,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.875,-0.005434782608695676
TP_0059,15,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,57.17896270751953,60.14981460571289,60.30768585205078,60.37520217895508,60.41146087646485,60.60914611816406,91.08,87.56,87.56,87.48,57.903303146362305,2.4718990325927734,0.8695652173913043,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.875,-0.005434782608695676
TP_0059,16,overhead_as_canopy,n24_internal_b3,systemb_target_family_v0_1_b5,48.92706298828125,51.123008728027344,51.28461456298828,51.35029220581055,51.38975524902344,51.60088348388672,86.72,86.72,77.52,0.0,48.777780532836914,2.572511672973633,0.8695652173913043,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.875,-0.005434782608695676
TP_0088,10,base,n24_internal_b3,systemb_target_family_v0_1_b5,45.92864990234375,45.96696853637695,46.05084609985352,46.11372375488281,46.13212203979492,46.20726776123047,100.0,99.6,0.0,0.0,44.96133995056152,1.152383804321289,0.782608695652174,ok,provisional_n24,True,N24-internal B5 method check only; not final AOI-wide modifier,0.7916666666666666,-0.009057971014492683
