split_family,b86g2_MAE,b86g2_RMSE,b86g2_Spearman,b86g2_top10pct_overlap,b86g2_false_promotion_rate,b86g2_anchor_MAE,b86g2_neutral_accuracy,b86d_MAE,b86d_RMSE,b86d_Spearman,b86d_top10pct_overlap,b86d_false_promotion_rate,b86d_anchor_MAE,b86d_neutral_accuracy,Spearman_delta_vs_b86d,top10_delta_vs_b86d,false_promotion_delta_vs_b86d,anchor_MAE_delta_vs_b86d,b86f_context_status,claim_boundary
cell_group_holdout,0.1658746734652475,0.3081228736084641,0.5266004415931803,0.5333333333333333,0.1410964559887191,0.6605449499560282,0.8589035440112809,0.17413139255118598,0.34644052263313885,0.4622651471678124,0.6,0.21715597606256926,0.6876364518242288,0.7386666666666667,0.0643352944253679,-0.06666666666666665,-0.07605952007385017,-0.02709150186820064,BLOCKED,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
forcing_day_holdout,0.1352449967530251,0.2599389640101961,0.676002624163536,0.6,0.1087036968508307,0.4231946882088178,0.8912963031491693,0.08641951381617616,0.16314439939758846,0.7091292404084222,0.8,0.10561373644673056,0.10759613712483325,0.8606666666666667,-0.03312661624488622,-0.20000000000000007,0.003089960404100145,0.31559855108398455,not_mapped,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
hour_holdout,0.1397176692725369,0.2637087696659655,0.6650945697437939,0.6,0.11439225629052105,0.44536130897458176,0.8856077437094788,0.08795678261805372,0.16845608777318888,0.7124965609356793,0.8266666666666668,0.10853700598966634,0.2342011420544313,0.8666666666666666,-0.04740199119188537,-0.2266666666666668,0.0058552503008547085,0.21116016692015047,not_mapped,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
spatial_holdout,0.1680151253555463,0.2877511216453997,0.5173736115998343,0.5,0.16276779288378657,0.5531198715518499,0.8372322071162134,0.2242909026811976,0.40258693651400457,0.17204802809965006,0.3125,0.23778357459564947,0.7713387020422191,0.6670253759398497,0.3453255835001843,0.1875,-0.0750157817118629,-0.21821883049036916,BLOCKED,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology_holdout,0.19898831228818206,0.3351987424281915,0.41035092394485534,0.5619047619047619,0.20933424699136677,1.0850903962761556,0.7906657530086332,0.29369365940256437,0.45922388692227367,0.3610918032597657,0.7142857142857142,0.25534085749877417,0.9415101314893266,0.7143356125356125,0.04925912068508964,-0.15238095238095228,-0.0460066105074074,0.14358026478682895,DIAGNOSTIC_ONLY,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
