feature_set,split_family,n_folds,MAE,RMSE,R2,Spearman,Pearson,bias,p90_abs_error,sign_accuracy,top5_overlap,top10pct_overlap,top20pct_overlap,accuracy,balanced_accuracy,neutral_accuracy,precision_neutral,recall_neutral,precision_meaningful_cooling,recall_meaningful_cooling,false_promotion_rate,false_neutral_rate,anchor_MAE,anchor_mean_rank_error,unstable_MAE,unstable_mean_rank_error,claim_boundary,ablation_variant,removed_family_key,removed_feature_family,removed_feature_count,selected_classifier,selected_regressor,full_Spearman,full_top10pct_overlap,full_false_promotion_rate,full_anchor_MAE,Spearman_delta_full_minus_variant,top10_delta_full_minus_variant,false_promotion_delta_variant_minus_full,anchor_MAE_delta_variant_minus_full,helps_spatial_holdout,helps_neutral_false_promotion,helps_anchor_underprediction,helps_topk
full_b86g_all_safe_numeric,cell_group_holdout,5,0.15968868308577186,0.30621164528680567,0.11398351993641571,0.49510640166039604,0.544120658165671,0.03274963592734077,0.44585690912313575,0.792,0.6,0.6,0.6,0.8146666666666667,0.804853766911678,0.8757192449009331,0.8129901151731552,0.8757192449009331,0.815187908496732,0.7339882889224226,0.12428075509906686,0.2660117110775774,0.6373454293159936,7.2,0.2317123942218292,9.375,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",full_b86g_all_safe_numeric,none,none,0,logistic_regression,ridge,0.49510640166039604,0.6,0.12428075509906686,0.6373454293159936,0.0,0.0,0.0,0.0,False,False,False,False
full_b86g_all_safe_numeric,forcing_day_holdout,2,0.12123226480373306,0.23465374633094238,0.5873528776821267,0.6801561786619814,0.7679777699264903,0.007305921898322833,0.3814507371544642,0.8526666666666667,0.8,0.6666666666666666,0.6166666666666667,0.8646666666666667,0.8541852079361681,0.9221086799075919,0.8561767440164787,0.9221086799075919,0.8797956709519359,0.7862617359647441,0.07789132009240805,0.2137382640352558,0.4006272458134259,11.0,0.15416991626516927,19.785714285714285,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",full_b86g_all_safe_numeric,none,none,0,logistic_regression,ridge,0.6801561786619814,0.6666666666666666,0.07789132009240805,0.4006272458134259,0.0,0.0,0.0,0.0,False,False,False,False
full_b86g_all_safe_numeric,hour_holdout,5,0.12417755723572846,0.23825678745687257,0.5347015679766296,0.6833208689782498,0.7647091253525228,-0.0022252111371814163,0.3846700580641832,0.8586666666666666,0.8,0.6399999999999999,0.6,0.8693333333333333,0.8614179287215054,0.9135555544127076,0.8693207996271515,0.9135555544127076,0.8711834201138107,0.8092803030303031,0.08644444558729245,0.19071969696969698,0.42680237037678914,12.4,0.16854682243220118,19.885714285714286,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",full_b86g_all_safe_numeric,none,none,0,logistic_regression,ridge,0.6833208689782498,0.6399999999999999,0.08644444558729245,0.42680237037678914,0.0,0.0,0.0,0.0,False,False,False,False
full_b86g_all_safe_numeric,spatial_holdout,4,0.17444868467366842,0.30393980516610003,-0.42202270950317444,0.43824124276265997,0.4870585703250457,0.022164414445333028,0.5013816620454766,0.7812851808575493,0.4,0.375,0.5223214285714286,0.8056326204023572,0.7821287304326118,0.8818158311125474,0.7957844574780059,0.8818158311125474,0.7754122103386809,0.6824416297526763,0.11818416888745267,0.3175583702473237,0.7073916882157296,15.5,0.3737419239917411,9.4,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",full_b86g_all_safe_numeric,none,none,0,logistic_regression,ridge,0.43824124276265997,0.375,0.11818416888745267,0.7073916882157296,0.0,0.0,0.0,0.0,False,False,False,False
full_b86g_all_safe_numeric,typology_holdout,5,0.17560815358742338,0.3022933723712367,-1.847384203524511,0.49981734060797667,0.5790580837457525,-0.019071266654827137,0.5373834267819376,0.8063452991452991,0.6799999999999999,0.6857142857142857,0.718974358974359,0.8138735042735042,0.7818340431276609,0.8336820541766722,0.824297371335315,0.8336820541766722,0.7249279379157427,0.7299860320786495,0.16631794582332776,0.2700139679213505,1.0033783830181793,56.0,0.267188306535804,2.3333333333333335,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",full_b86g_all_safe_numeric,none,none,0,logistic_regression,ridge,0.49981734060797667,0.6857142857142857,0.16631794582332776,1.0033783830181793,0.0,0.0,0.0,0.0,False,False,False,False
drop_pedestrian_shade,cell_group_holdout,5,0.1555361819751339,0.29641891952289523,0.17808679224952811,0.5635132092980624,0.5893735481379749,0.02586262248378915,0.4314307722132823,0.8,0.64,0.4666666666666666,0.6666666666666666,0.8146666666666667,0.8028655135966896,0.8797974575196429,0.8072152903186636,0.8797974575196429,0.8227809638180199,0.7259335696737359,0.12020254248035707,0.27406643032626404,0.6192190857147122,3.4,0.13303491287876,3.5,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",drop_pedestrian_shade,pedestrian_shade,pedestrian-accessible shaded fraction,2,logistic_regression,ridge,0.49510640166039604,0.6,0.12428075509906686,0.6373454293159936,-0.06840680763766632,0.13333333333333336,-0.0040782126187097895,-0.018126343601281403,False,False,False,True
drop_pedestrian_shade,forcing_day_holdout,2,0.12413358438849882,0.24012493874973245,0.5679209826670168,0.6947886664114693,0.7553563959666734,0.004888644004334756,0.40198168438906745,0.8533333333333333,0.8,0.6,0.6333333333333333,0.8566666666666667,0.8472419240477709,0.9096087459888667,0.8538574423480083,0.9096087459888667,0.8635531135531136,0.784875102106675,0.09039125401113338,0.215124897893325,0.4097247647023954,8.3,0.1651862797661121,21.214285714285715,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",drop_pedestrian_shade,pedestrian_shade,pedestrian-accessible shaded fraction,2,logistic_regression,ridge,0.6801561786619814,0.6666666666666666,0.07789132009240805,0.4006272458134259,-0.014632487749487888,0.06666666666666665,0.012499933918725323,0.00909751888896948,False,True,False,True
drop_pedestrian_shade,hour_holdout,5,0.1272442235451515,0.2436101701960937,0.5157456762638579,0.6997683944484733,0.7515638939803926,-0.0018136427942711717,0.40084183998513156,0.8546666666666667,0.8,0.6,0.6133333333333333,0.8586666666666666,0.8509031461614441,0.9058156163322122,0.8598540305161169,0.9058156163322122,0.8598541303869173,0.795990675990676,0.09418438366778781,0.204009324009324,0.4380948658317673,9.16,0.17224428490014496,19.685714285714287,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",drop_pedestrian_shade,pedestrian_shade,pedestrian-accessible shaded fraction,2,logistic_regression,ridge,0.6833208689782498,0.6399999999999999,0.08644444558729245,0.42680237037678914,-0.016447525470223434,0.039999999999999925,0.007739938080495362,0.01129249545497818,False,False,False,True
drop_pedestrian_shade,spatial_holdout,4,0.16594755230678432,0.29223344546934227,-0.2817526680837922,0.4959560994390565,0.5639956105766071,0.020162897111507344,0.49308533623718404,0.7864093934159724,0.45,0.5,0.5535714285714286,0.8044651747612274,0.7796470825314081,0.8857811067387114,0.793534825468649,0.8857811067387114,0.77422507788162,0.6735130583241048,0.11421889326128858,0.32648694167589515,0.6756669229692552,3.3333333333333335,0.3362300800238167,8.75,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",drop_pedestrian_shade,pedestrian_shade,pedestrian-accessible shaded fraction,2,logistic_regression,ridge,0.43824124276265997,0.375,0.11818416888745267,0.7073916882157296,-0.05771485667639653,-0.125,-0.003965275626164097,-0.031724765246474385,False,False,False,False
drop_pedestrian_shade,typology_holdout,5,0.17323713643891375,0.2972571886470976,-1.8882867184499446,0.4725097030025956,0.5510488399495316,-0.0028966384571479362,0.5846742952906849,0.778848433048433,0.6,0.6571428571428571,0.6856410256410256,0.7851458689458689,0.7544203617842015,0.8201557249917799,0.7892236467236466,0.8201557249917799,0.7130089238798656,0.6886849985766228,0.17984427500822,0.31131500142337715,1.0205065064702576,58.0,0.2806394294088264,4.5,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",drop_pedestrian_shade,pedestrian_shade,pedestrian-accessible shaded fraction,2,logistic_regression,ridge,0.49981734060797667,0.6857142857142857,0.16631794582332776,1.0033783830181793,0.027307637605381074,0.02857142857142858,0.013526329184892244,0.01712812345207837,False,True,False,False
