cell_id,rank_v08,rank_v10,co_derived_fp_candidate,independent_old_dsm_gap_candidate,co_derived_criteria_recomputed,old_vs_osm_completeness,reviewed_vs_osm_completeness,coverage_gain_vs_osm,old_building_density,v10_building_density,delta_building_density,transition_class,audit_flags
TP_0116,2.0,23.0,True,True,True,0.0,0.9957084167654602,0.9957084167654602,0.0,0.1756000000015459,0.1756000000015459,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0564,7.0,15.0,True,True,True,0.0,0.99761506016097,0.99761506016097,0.0,0.3247999999995982,0.3247999999995982,old_top_fp_retained_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0849,8.0,66.0,True,True,True,0.0,0.9947210999790784,0.9947210999790784,0.0,0.2696000000021969,0.2696000000021969,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0985,9.0,35.0,True,True,True,0.0,1.0000117213819064,1.0000117213819064,0.0,0.4247999999970946,0.4247999999970946,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0986,10.0,19.0,True,True,True,0.0,0.999823100313238,0.999823100313238,0.0,0.4276000000050945,0.4276000000050945,old_top_fp_retained_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0984,12.0,40.0,True,True,True,0.0,0.9981397882394436,0.9981397882394436,0.0,0.4048000000009793,0.4048000000009793,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0565,13.0,9.0,True,True,True,0.0,1.0002787866202194,1.0002787866202194,0.0,0.3320000000035268,0.3320000000035268,old_top_fp_retained_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0638,14.0,70.0,True,True,True,0.0,1.0006332368465898,1.0006332368465898,0.0,0.3179999999993406,0.3179999999993406,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0027,15.0,50.0,True,True,True,0.0,1.0000828508038695,1.0000828508038695,0.0,0.4104000000057183,0.4104000000057183,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0923,17.0,89.0,True,True,True,0.0,0.9972161939277326,0.9972161939277326,0.0,0.2632000000009288,0.2632000000009288,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0876,18.0,143.0,True,True,True,0.0,0.9971336564387332,0.9971336564387332,0.0,0.3416000000034299,0.3416000000034299,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0820,19.0,97.0,True,True,True,0.0,1.017694522445486,1.017694522445486,0.0,0.434800000005647,0.434800000005647,old_top_fp_left_top,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0012,21.0,58.0,True,True,True,0.0,1.0007592107930023,1.0007592107930023,0.0,0.3940000000010463,0.3940000000010463,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0315,22.0,14.0,True,True,True,0.0,1.0005146080662992,1.0005146080662992,0.0,0.2816000000014393,0.2816000000014393,entering_v10_top_fp_candidate,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0042,23.0,82.0,True,True,True,0.0,1.0391942903831528,1.0391942903831528,0.0,0.2847999999990053,0.2847999999990053,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0983,24.0,68.0,True,True,True,0.0,0.9991456024324992,0.9991456024324992,0.0,0.3879999999989343,0.3879999999989343,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0848,27.0,98.0,True,True,True,0.0,1.0043516254289253,1.0043516254289253,0.0,0.3267999999966949,0.3267999999966949,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0760,29.0,174.0,True,True,True,0.0,0.9982819708142788,0.9982819708142788,0.0,0.3927999999987925,0.3927999999987925,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0847,30.0,127.0,True,True,True,0.0,1.0153678653601188,1.0153678653601188,0.0,0.340399999999839,0.340399999999839,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0902,31.0,153.0,True,True,True,0.0,0.9955077779761088,0.9955077779761088,0.0,0.4420000000027818,0.4420000000027818,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0030,33.0,34.0,True,True,True,0.0,0.997504516949452,0.997504516949452,0.0,0.280000000003336,0.280000000003336,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0756,35.0,133.0,True,True,True,0.0,0.998696880638738,0.998696880638738,0.0,0.4400000000030573,0.4400000000030573,fp_candidate_outside_top_transition,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
