input_group,candidate_name,path,exists,suffix,size_bytes,read_status,row_count,column_count,columns,compact_only_status
b86b_context,surrogate_dataset,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_surrogate_dataset.csv,True,.csv,1245326,READABLE_CSV_HEADER,1500,41,row_id|cell_id|forcing_day_id|hour_sgt|scenario_context|base_tmrt_p90_c|overhead_tmrt_p90_c|delta_tmrt_mean_c|delta_tmrt_p50_c|delta_tmrt_p90_c|delta_tmrt_p95_c|within_slice_rank|rank_direction|label_source|legacy_single_forcing_comparison_source|b86b_label_source|target_definition|notes|typology_label|primary_role|secondary_roles|in_n24_completed|source_feature_completeness|sampling_feature_completeness|centroid_x|centroid_y|centroid_x_normalized|centroid_y_normalized|svf_or_open_sky|shade_fraction|building_density|building_height_or_canyon_proxy|road_or_hardscape_fraction|tree_or_gvi_fraction|grass_fraction|water_edge_or_water_fraction|overhead_fraction|impervious_or_built_fraction|feature_source|forcing_day_predictor_status|cell_id_predictor_status,PASS
b86b_context,feature_schema,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_feature_schema.csv,True,.csv,5760,READABLE_CSV_HEADER,41,8,column_name|role|include_in_model|dtype|non_null_count|missing_fraction|leakage_guard_status|notes,PASS
b86b_context,model_metrics_by_split,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_model_metrics_by_split.csv,True,.csv,341834,READABLE_CSV_HEADER,792,34,target|model|split_family|split_name|fold_id|split_role|n_train|n_test|n_train_cells|n_test_cells|MAE|RMSE|R2|Spearman_observed_vs_predicted|Pearson_observed_vs_predicted|bias|p90_abs_error|sign_accuracy|top5_overlap|top10pct_overlap|top20pct_overlap|worst_cell_id|worst_cell_error|robust_anchor_MAE|robust_anchor_mean_rank_error|neutral_boundary_classification_accuracy|unstable_review_MAE|unstable_review_mean_rank_error|h10_MAE|h10_Spearman|h10_top10pct_overlap|dummy_MAE|MAE_improvement_over_dummy|MAE_improvement_fraction_over_dummy,PASS
b86b_context,forcing_day_holdout_metrics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_forcing_day_holdout_metrics.csv,True,.csv,15508,READABLE_CSV_HEADER,36,31,target|model|split_family|split_role|n_train|n_test|n_train_cells|n_test_cells|MAE|RMSE|R2|Spearman_observed_vs_predicted|Pearson_observed_vs_predicted|bias|p90_abs_error|sign_accuracy|top5_overlap|top10pct_overlap|top20pct_overlap|worst_cell_error|robust_anchor_MAE|robust_anchor_mean_rank_error|neutral_boundary_classification_accuracy|unstable_review_MAE|unstable_review_mean_rank_error|h10_MAE|h10_Spearman|h10_top10pct_overlap|MAE_improvement_fraction_over_dummy|n_folds|n_test_rows_total,PASS
b86b_context,cell_group_holdout_metrics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_cell_group_holdout_metrics.csv,True,.csv,15587,READABLE_CSV_HEADER,36,31,target|model|split_family|split_role|n_train|n_test|n_train_cells|n_test_cells|MAE|RMSE|R2|Spearman_observed_vs_predicted|Pearson_observed_vs_predicted|bias|p90_abs_error|sign_accuracy|top5_overlap|top10pct_overlap|top20pct_overlap|worst_cell_error|robust_anchor_MAE|robust_anchor_mean_rank_error|neutral_boundary_classification_accuracy|unstable_review_MAE|unstable_review_mean_rank_error|h10_MAE|h10_Spearman|h10_top10pct_overlap|MAE_improvement_fraction_over_dummy|n_folds|n_test_rows_total,PASS
b86b_context,spatial_holdout_metrics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_spatial_holdout_metrics.csv,True,.csv,15319,READABLE_CSV_HEADER,36,31,target|model|split_family|split_role|n_train|n_test|n_train_cells|n_test_cells|MAE|RMSE|R2|Spearman_observed_vs_predicted|Pearson_observed_vs_predicted|bias|p90_abs_error|sign_accuracy|top5_overlap|top10pct_overlap|top20pct_overlap|worst_cell_error|robust_anchor_MAE|robust_anchor_mean_rank_error|neutral_boundary_classification_accuracy|unstable_review_MAE|unstable_review_mean_rank_error|h10_MAE|h10_Spearman|h10_top10pct_overlap|MAE_improvement_fraction_over_dummy|n_folds|n_test_rows_total,PASS
b86b_context,typology_holdout_metrics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_typology_holdout_metrics.csv,True,.csv,16178,READABLE_CSV_HEADER,36,31,target|model|split_family|split_role|n_train|n_test|n_train_cells|n_test_cells|MAE|RMSE|R2|Spearman_observed_vs_predicted|Pearson_observed_vs_predicted|bias|p90_abs_error|sign_accuracy|top5_overlap|top10pct_overlap|top20pct_overlap|worst_cell_error|robust_anchor_MAE|robust_anchor_mean_rank_error|neutral_boundary_classification_accuracy|unstable_review_MAE|unstable_review_mean_rank_error|h10_MAE|h10_Spearman|h10_top10pct_overlap|MAE_improvement_fraction_over_dummy|n_folds|n_test_rows_total,PASS
b86b_context,target_sensitivity_metrics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_target_sensitivity_metrics.csv,True,.csv,1382,READABLE_CSV_HEADER,6,11,model|forcing_day_MAE|forcing_day_R2|forcing_day_spearman|forcing_day_top10pct_overlap|robust_anchor_mean_rank_error|forcing_day_improvement|target|available|target_card_verdict|target_predictability_rank,PASS
b86b_context,anchor_cell_diagnostics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_anchor_cell_diagnostics.csv,True,.csv,10496,READABLE_CSV_HEADER,50,12,cell_id|diagnostic_role|split_family|split_name|fold_id|mean_true_delta_tmrt_p90_c|mean_pred_delta_tmrt_p90_c|MAE|true_rank|pred_rank|abs_rank_error|claim_boundary,PASS
b86b_context,neutral_boundary_diagnostics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_neutral_boundary_diagnostics.csv,True,.csv,7941,READABLE_CSV_HEADER,47,11,cell_id|split_family|n_rows|true_neutral_fraction|pred_neutral_fraction|neutral_boundary_classification_accuracy|mean_true_delta_tmrt_p90_c|mean_pred_delta_tmrt_p90_c|MAE|spurious_promotion_flag|claim_boundary,PASS
b86b_context,unstable_cell_diagnostics,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_unstable_cell_diagnostics.csv,True,.csv,15247,READABLE_CSV_HEADER,74,12,cell_id|diagnostic_role|split_family|split_name|fold_id|mean_true_delta_tmrt_p90_c|mean_pred_delta_tmrt_p90_c|MAE|true_rank|pred_rank|abs_rank_error|claim_boundary,PASS
b86b_context,worst_error_inventory,outputs/v12_surrogate/b8_6b_surrogate_promotion/b86b_worst_error_inventory.csv,True,.csv,10218,READABLE_CSV_HEADER,60,9,split_family|cell_id|n_rows|MAE|max_abs_error|mean_true_delta_tmrt_p90_c|mean_pred_delta_tmrt_p90_c|inventory_level|claim_boundary,PASS
