cell_id,diagnostic_role,split_family,split_name,fold_id,n_rows,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,MAE,true_rank,pred_rank,abs_rank_error,failure_type,claim_boundary
TP_0575,unstable_review,cell_group_holdout,cell_group_5fold,1,10,-0.3689259,-0.26924189682305,0.1312008238892899,5.0,8.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,cell_group_holdout,cell_group_5fold,1,10,-0.3838022,-0.09401541878231422,0.2897867812176857,4.0,14.0,10.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,cell_group_holdout,cell_group_5fold,2,10,-0.21121189999999998,-0.3482390508993518,0.1370271508993518,9.0,5.0,4.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,cell_group_holdout,cell_group_5fold,2,10,0.0002966,-0.49584629444767614,0.4961428944476761,30.0,3.0,27.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,cell_group_holdout,cell_group_5fold,4,10,-0.30623279999999997,-0.1392640728751022,0.19684574169991814,6.0,11.0,5.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,cell_group_holdout,cell_group_5fold,5,10,-0.25996990000000003,-0.0574381396960401,0.21585018824316782,8.0,18.0,10.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,cell_group_holdout,cell_group_5fold,5,10,-0.26622599999999996,-1.041892076904762,0.7756660769047619,7.0,3.0,4.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.1986602,-0.24520259368910918,0.04654239368910914,42.0,27.0,15.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.28565779999999996,-0.0944775431538397,0.1911802568461603,30.0,58.0,28.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.3117142,-0.289701139588752,0.04490674490317392,28.0,23.0,5.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,0.0,-0.0660601152498764,0.0660601152498764,104.0,76.0,28.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.3995492,-0.1522996767324909,0.247249523267509,20.0,43.0,23.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.3233736,-0.3068229027936949,0.10843113923770539,27.0,19.0,8.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,5,-0.3563214,-0.2933339786061365,0.07341290283631804,25.0,22.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.2237636,-0.22551784966758479,0.0348910340817795,35.0,29.0,6.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.23428200000000002,-0.1330614910261744,0.15810670538429533,32.0,49.0,17.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.22073779999999998,-0.347501963033808,0.12676416303380794,36.0,18.0,18.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,0.0005932,-0.072779566091301,0.073372766091301,148.0,78.0,70.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.21291639999999998,-0.272198553608381,0.12375592738834287,40.0,21.0,19.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.4144782,-0.24757288117862228,0.1719661036864759,22.0,25.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,5,-0.41128299999999995,-0.2069268164730671,0.20435618352693283,23.0,34.0,11.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,hour_holdout,leave_h10_out,1,2,-0.173732,-0.2655895524704733,0.09185755247047331,32.0,27.0,5.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,hour_holdout,leave_h10_out,1,2,-0.1398475,-0.1163350774758417,0.1490015,37.0,57.0,20.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,hour_holdout,leave_h10_out,1,2,-0.0644025,-0.3266685760528779,0.2622660760528779,56.0,20.0,36.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,hour_holdout,leave_h10_out,1,2,0.001483,-0.0793833853092707,0.0808663853092707,148.0,84.0,64.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,hour_holdout,leave_h10_out,1,2,-0.154326,-0.2449480846400809,0.16444699999999995,35.0,29.0,6.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,hour_holdout,leave_h10_out,1,2,-0.31789900000000004,-0.2968602011488152,0.08926499999999996,19.0,22.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,hour_holdout,leave_h10_out,1,2,-0.347896,-0.1920561696545657,0.15583983034543425,18.0,44.0,26.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,hour_holdout,leave_h12_out,2,2,-0.1967765,-0.2458163561062448,0.05915149999999995,41.0,28.0,13.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,hour_holdout,leave_h12_out,2,2,-0.288114,-0.1161171572915615,0.1719968427084384,29.0,57.0,28.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,hour_holdout,leave_h12_out,2,2,-0.24276599999999998,-0.3099496754460465,0.0671836754460465,34.0,20.0,14.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,hour_holdout,leave_h12_out,2,2,0.0,-0.0748985620782893,0.0748985620782893,104.0,82.0,22.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,hour_holdout,leave_h12_out,2,2,-0.371814,-0.2056556719490731,0.1661583280509268,21.0,33.0,12.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,hour_holdout,leave_h12_out,2,2,-0.291302,-0.3031851234349155,0.18493900000000002,28.0,22.0,6.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,hour_holdout,leave_h12_out,2,2,-0.378272,-0.200290097074191,0.17798190292580893,20.0,35.0,15.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,hour_holdout,leave_h13_out,3,2,-0.225705,-0.2431581813895069,0.036185,38.0,25.0,13.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,hour_holdout,leave_h13_out,3,2,-0.35810549999999997,-0.1256467127242891,0.23245878727571084,27.0,54.0,27.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,hour_holdout,leave_h13_out,3,2,-0.30700649999999996,-0.2652784341515948,0.0417280658484051,31.0,23.0,8.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,hour_holdout,leave_h13_out,3,2,0.0,-0.0724104011411489,0.0724104011411489,102.0,84.0,18.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,hour_holdout,leave_h13_out,3,2,-0.4127325,-0.1934765427600603,0.21925595723993963,23.0,36.0,13.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,hour_holdout,leave_h13_out,3,2,-0.380927,-0.2787494393104915,0.1021775606895084,25.0,22.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,hour_holdout,leave_h13_out,3,2,-0.3808015,-0.2342773894768907,0.1465241105231092,26.0,26.0,0.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,hour_holdout,leave_h15_out,4,2,-0.2327,-0.2328970006345712,0.00508199999999995,40.0,26.0,14.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,hour_holdout,leave_h15_out,4,2,-0.21133600000000002,-0.1299895259196819,0.081346474080318,42.0,52.0,10.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,hour_holdout,leave_h15_out,4,2,-0.36146100000000003,-0.3511382230542964,0.09861899999999996,28.0,18.0,10.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,hour_holdout,leave_h15_out,4,2,0.0,-0.0746097701274227,0.0746097701274227,101.0,75.0,26.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,hour_holdout,leave_h15_out,4,2,-0.366702,-0.2163637559579137,0.17704799999999996,27.0,29.0,2.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,hour_holdout,leave_h15_out,4,2,-0.41231700000000004,-0.282386239158546,0.129930760841454,22.0,21.0,1.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,hour_holdout,leave_h15_out,4,2,-0.4040335,-0.1989307543739818,0.2051027456260181,23.0,34.0,11.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,hour_holdout,leave_h16_out,5,2,-0.22714600000000001,-0.2250192205673995,0.00344499999999995,40.0,29.0,11.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,hour_holdout,leave_h16_out,5,2,-0.3024465,-0.1268916989141187,0.1755548010858812,33.0,51.0,18.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,hour_holdout,leave_h16_out,5,2,-0.355494,-0.3362462185593978,0.023663,27.0,19.0,8.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
