split_family,hour_class,n_rows,n_cells,MAE,RMSE,R2,Spearman,top10pct_overlap,sign_accuracy,failure_type,claim_boundary
cell_group_holdout,core_hours,1200,150,0.19523093129164498,0.38581765471857343,0.009398011956189833,0.540324202181788,0.3333333333333333,0.6633333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
cell_group_holdout,h10_low_sun_caveat,300,150,0.14693550752291093,0.25922098517938413,-0.09572122799536653,0.47628424799270863,0.4,0.6433333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
forcing_day_holdout,core_hours,1200,150,0.08531493859055471,0.13596904770826737,0.8769688414949969,0.7884187415484548,0.8666666666666667,0.6633333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
forcing_day_holdout,h10_low_sun_caveat,300,150,0.09922802437556617,0.19217158794923558,0.397803649121518,0.6843689469924518,0.9333333333333333,0.6433333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
hour_holdout,core_hours,1200,150,0.08619031472883568,0.134621118887983,0.8793960884834264,0.7860502002282428,0.8666666666666667,0.6633333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
hour_holdout,h10_low_sun_caveat,300,150,0.10486756947571835,0.2120723016924151,0.2666223647563021,0.6943403560278447,0.9333333333333333,0.6433333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
spatial_holdout,core_hours,1200,150,0.19744610849147107,0.3889336135983903,-0.006667294537801904,0.47534636150259124,0.3333333333333333,0.6633333333333333,not-flagged,h10 is caveated context and not anchor evidence by itself.
spatial_holdout,h10_low_sun_caveat,300,150,0.15154465291950434,0.2620757449527357,-0.11998812970721962,0.36773139616140593,0.3333333333333333,0.6433333333333333,h10-low-sun-caveat,h10 is caveated context and not anchor evidence by itself.
typology_holdout,core_hours,1048,131,0.16829542383346627,0.27946472603376354,0.16450102913296571,0.5165191595420731,0.35714285714285715,0.6603053435114504,not-flagged,h10 is caveated context and not anchor evidence by itself.
typology_holdout,h10_low_sun_caveat,262,131,0.13226302269264215,0.21091979314438433,0.012236184284942553,0.43912497980425336,0.2857142857142857,0.6374045801526718,not-flagged,h10 is caveated context and not anchor evidence by itself.
