prediction_source,validation_scheme,dataset_label,target_col,model,station_id,event_target,official_event_threshold_c,n,event_count,best_F1_threshold_if_enough_events,best_F1_if_enough_events,fixed_nominal_threshold,fixed_nominal_recall,fixed_nominal_F1,mapped_threshold,mapped_threshold_recall,mapped_threshold_F1,residual_bias_high_tail_official_minus_score,low_support,focus_station
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S124,ge31,31.0,388,10,30.6,0.25,31.0,0.3,0.2,30.2,0.7,0.2153846153846154,0.8537284163687204,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S125,ge31,31.0,388,52,30.0,0.6610169491525425,31.0,0.36538461538461536,0.45238095238095233,30.2,0.7115384615384616,0.6607142857142857,1.407027976410569,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S126,ge31,31.0,388,38,29.2,0.48387096774193555,31.0,0.3157894736842105,0.37499999999999994,30.2,0.5263157894736842,0.425531914893617,1.5695649044853297,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S127,ge31,31.0,388,56,30.2,0.6607142857142857,31.0,0.21428571428571427,0.3380281690140845,30.2,0.6607142857142857,0.6607142857142857,1.5461148588680729,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S128,ge31,31.0,388,57,29.1,0.6133333333333334,31.0,0.22807017543859648,0.32499999999999996,30.2,0.5789473684210527,0.5593220338983051,2.0622102651746044,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S129,ge31,31.0,385,47,29.4,0.6153846153846153,31.0,0.2765957446808511,0.4,30.2,0.6382978723404256,0.6060606060606061,1.3378056078778433,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S130,ge31,31.0,388,32,30.6,0.5142857142857142,31.0,0.3125,0.39215686274509803,30.2,0.625,0.45454545454545453,1.0617741623041028,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S132,ge31,31.0,388,45,29.2,0.5606060606060606,31.0,0.3111111111111111,0.39436619718309857,30.2,0.5777777777777777,0.5098039215686275,1.2730653477641054,False,False
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S135,ge31,31.0,388,69,28.3,0.6737967914438503,31.0,0.30434782608695654,0.42424242424242425,30.2,0.5507246376811594,0.5846153846153845,2.121831508911024,False,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S137,ge31,31.0,388,77,28.2,0.6699999999999999,31.0,0.22077922077922077,0.3469387755102041,30.2,0.5064935064935064,0.5735294117647058,2.5338289389325688,False,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S139,ge31,31.0,388,8,30.7,0.375,31.0,0.0,0.0,30.2,0.5,0.17777777777777778,1.0449831128904803,False,True
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,S140,ge31,31.0,388,27,31.1,0.5384615384615384,31.0,0.5185185185185185,0.5283018867924528,30.2,0.6666666666666666,0.43373493975903615,0.7011223152730507,False,False
