prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,bin_type,quantile_bin,bin_lower,bin_upper,n,mean_prediction_score,mean_official_wbgt,event_rate_ge31,official_mean_exceedance_above31,official_mean_exceedance_above33,mean_residual,residual_MAE,residual_bias,residual_p90,station_count,event_count,low_support,event_rate_ge33
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,1,23.866999999999997,25.336,1050,24.982246031907984,25.473333333333333,0.0,0.0,0.0,0.49108730142534635,0.6597671354702199,0.49108730142534635,1.483780233022462,26,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,2,25.336,25.706,1045,25.536051373887044,25.643444976076555,0.0,0.0,0.0,0.10739360218951104,0.620857643978962,0.10739360218951104,1.1331785013707616,27,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,3,25.706,26.008,1048,25.855314012396928,25.813072519083967,0.0,0.0,0.0,-0.042241493312956103,0.6962561418312214,-0.042241493312956103,1.0445545657311197,27,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,4,26.008,26.331,1046,26.164889209938885,26.034799235181644,0.0009560229445506692,0.0008604206500956009,0.0,-0.1300899747572424,0.7267708135992165,-0.1300899747572424,0.9109140893262424,27,1,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,5,26.331,26.756,1048,26.527433197232096,26.311068702290076,0.003816793893129771,0.001049618320610685,0.0,-0.2163644949420205,0.7812663794480698,-0.2163644949420205,0.8228438124113735,27,4,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,6,26.756,27.424,1049,27.062694370561516,27.049285033365113,0.016205910390848427,0.00905624404194472,0.0,-0.01340933719640655,1.0286801141893076,-0.01340933719640655,2.0837201558540954,27,17,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,7,27.424,28.447,1045,27.89120693604566,28.119425837320573,0.08325358851674641,0.06966507177033493,0.002105263157894733,0.2282189012749177,1.4494699763988028,0.2282189012749177,2.7930099079229334,27,87,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,8,28.447,29.541,1048,28.98232009718061,28.81145038167939,0.21374045801526717,0.1577290076335878,0.0033396946564885495,-0.1708697155012208,2.0457332311697236,-0.1708697155012208,2.652074141119906,27,224,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,9,29.541,30.639,1046,30.149111054721704,29.39674952198853,0.31166347992351817,0.2522944550669217,0.01080305927342258,-0.7523615327331815,1.861033949683551,-0.7523615327331815,1.7352260603457612,27,326,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,decile,10,30.639,32.893,1048,31.18549117425432,30.60124045801527,0.5124045801526718,0.5116412213740459,0.027671755725190855,-0.5842507162390516,1.41681484974187,-0.5842507162390516,1.4633399187528242,27,537,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,1,23.866999999999997,25.336,1050,24.982246031907984,25.473333333333333,,0.0,0.0,0.49108730142534635,0.6597671354702199,0.49108730142534635,1.483780233022462,26,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,2,25.336,25.706,1045,25.536051373887044,25.643444976076555,,0.0,0.0,0.10739360218951104,0.620857643978962,0.10739360218951104,1.1331785013707616,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,3,25.706,26.008,1048,25.855314012396928,25.813072519083967,,0.0,0.0,-0.042241493312956103,0.6962561418312214,-0.042241493312956103,1.0445545657311197,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,4,26.008,26.331,1046,26.164889209938885,26.034799235181644,,0.0008604206500956009,0.0,-0.1300899747572424,0.7267708135992165,-0.1300899747572424,0.9109140893262424,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,5,26.331,26.756,1048,26.527433197232096,26.311068702290076,,0.001049618320610685,0.0,-0.2163644949420205,0.7812663794480698,-0.2163644949420205,0.8228438124113735,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,33.0,decile,6,26.756,27.424,1049,27.062694370561516,27.049285033365113,,0.00905624404194472,0.0,-0.01340933719640655,1.0286801141893076,-0.01340933719640655,2.0837201558540954,27,0,False,0.0
