dataset_label,target_col,model,event_target,threshold_range,best_F1_range,best_F1_recall_range,recall_90_threshold_stability,precision_70_achievability_stability,stability,best_F1_threshold_LOSO,best_F1_LOSO,best_F1_recall_LOSO,best_F1_precision_LOSO,recall_90_threshold_LOSO,precision_70_achievable_LOSO,best_F1_threshold_blocked,best_F1_blocked,best_F1_recall_blocked,best_F1_precision_blocked,recall_90_threshold_blocked,precision_70_achievable_blocked,best_F1_threshold_future,best_F1_future,best_F1_recall_future,best_F1_precision_future,recall_90_threshold_future,precision_70_achievable_future
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,0.6999999999999993,0.15063579491364076,0.22738970220094934,mixed_or_unavailable,all_available_sources,mixed,29.5,0.600188738597043,0.7976588628762542,0.481089258698941,28.8,True,30.2,0.5445906432748537,0.6229096989966555,0.4837662337662338,28.5,True,30.2,0.6952264381884945,0.8502994011976048,0.587991718426501,29.9,True
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge32,0.29999999999999716,0.09378470309453235,0.2742092966488824,mixed_or_unavailable,none,mixed,30.6,0.38705137227304715,0.580168776371308,0.29039070749736007,29.0,False,30.9,0.34435962680237486,0.4282700421940928,0.28794326241134754,28.7,False,30.8,0.4381443298969072,0.7024793388429752,0.31835205992509363,30.2,False
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,0.6999999999999993,0.08147656940760391,0.495432955791012,mixed_or_unavailable,none,mixed,31.5,0.19871794871794873,0.2605042016806723,0.16062176165803108,29.5,False,31.5,0.1671469740634006,0.24369747899159663,0.12719298245614036,29.3,False,30.8,0.11724137931034483,0.7391304347826086,0.06367041198501873,30.6,False
hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,0.29999999999999716,0.05948417932589778,0.05023231129713823,mixed_or_unavailable,all_available_sources,stable,29.2,0.5532064834390416,0.6563545150501672,0.47807551766138856,28.4,True,29.1,0.5433255269320844,0.6789297658862876,0.45287228109314,28.3,True,29.4,0.6028097062579821,0.7065868263473054,0.5256124721603563,28.8,True
hourly_max,official_wbgt_c_max,L1_proxy_only,ge32,0.1999999999999993,0.039919745399197515,0.17292603828852388,mixed_or_unavailable,mixed,mixed,29.8,0.3428571428571429,0.43037974683544306,0.2849162011173184,28.5,True,29.6,0.3287671232876712,0.4810126582278481,0.2497261774370208,28.5,False,29.8,0.36868686868686873,0.6033057851239669,0.26545454545454544,29.1,False
hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,0.3000000000000007,0.06442477876106192,0.08659115820241142,mixed_or_unavailable,none,mixed,30.4,0.17109144542772858,0.24369747899159663,0.1318181818181818,28.5,False,30.2,0.14657210401891252,0.2605042016806723,0.10197368421052631,28.5,False,30.5,0.10666666666666666,0.17391304347826086,0.07692307692307693,29.2,False
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,0.8999999999999986,0.11157471931024332,0.07281256884224863,mixed_or_unavailable,all_available_sources,unstable,29.7,0.5932380620425235,0.7115384615384616,0.5086670651524208,28.4,True,29.3,0.5589123867069486,0.7734113712374582,0.43755912961210974,28.3,True,30.2,0.670487106017192,0.7005988023952096,0.6428571428571429,29.3,True
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,0.6000000000000014,0.07950318665303546,0.13502109704641352,mixed_or_unavailable,none,mixed,30.2,0.36217765042979944,0.6666666666666666,0.24862313139260425,29.1,False,30.5,0.3398516520566419,0.5316455696202531,0.24975222993062438,28.8,False,30.8,0.4193548387096774,0.5371900826446281,0.3439153439153439,29.9,False
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,0.5,0.07353073936986546,0.22067957617829737,mixed_or_unavailable,none,mixed,31.3,0.19617224880382772,0.3445378151260504,0.13712374581939799,29.3,False,31.1,0.18122977346278318,0.47058823529411764,0.11222444889779559,29.3,False,30.8,0.12264150943396226,0.5652173913043478,0.06878306878306878,30.1,False
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,0.6999999999999993,0.13061094346845126,0.24716119600264352,mixed_or_unavailable,all_available_sources,mixed,29.5,0.5972309628697294,0.7934782608695652,0.4788092835519677,28.7,True,30.2,0.5492493592090808,0.6270903010033445,0.48859934853420195,28.5,True,30.0,0.6798603026775321,0.874251497005988,0.5561904761904762,29.7,True
