prediction_source,validation_scheme,dataset_label,target_col,model,event_target,operating_point,achievable,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,recall_90,True,31.0,28.3,1077.0,1927.0,7350.0,119.0,0.3585219707057257,0.9005016722408027,0.5128571428571429,0.7922819877115447,0.6414780292942743,0.09949832775919733,0.3448607108549472,3004.0,1196.0,0.6927836599523474
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,precision_70,True,31.0,31.6,98.0,39.0,9238.0,1098.0,0.7153284671532847,0.08193979933110368,0.14703675918979744,0.9957960547590816,0.2846715328467153,0.9180602006688964,0.07935222672064778,137.0,1196.0,0.07773585409018535
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,balanced_J,True,31.0,28.1,1103.0,2109.0,7168.0,93.0,0.3433997509339975,0.9222408026755853,0.5004537205081669,0.7726635765872588,0.6566002490660025,0.07775919732441472,0.33373676248108924,3212.0,1196.0,0.694904379262844
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,low_false_alarm_candidate,True,31.0,31.6,98.0,39.0,9238.0,1098.0,0.7153284671532847,0.08193979933110368,0.14703675918979744,0.9957960547590816,0.2846715328467153,0.9180602006688964,0.07935222672064778,137.0,1196.0,0.07773585409018535
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,fixed_nominal,True,32.0,32.0,13.0,29.0,9970.0,461.0,0.30952380952380953,0.027426160337552744,0.05038759689922481,0.9970997099709971,0.6904761904761905,0.9725738396624473,0.02584493041749503,42.0,474.0,0.024525870308549802
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,best_F1,True,32.0,30.5,252.0,757.0,9242.0,222.0,0.24975222993062438,0.5316455696202531,0.3398516520566419,0.9242924292429243,0.7502477700693756,0.46835443037974683,0.20471161657189277,1009.0,474.0,0.45593799886317754
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,recall_90,True,32.0,28.8,429.0,2183.0,7816.0,45.0,0.16424196018376722,0.9050632911392406,0.2780298120544394,0.7816781678167817,0.8357580398162328,0.0949367088607595,0.1614602935641701,2612.0,474.0,0.6867414589560221
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,precision_70,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,balanced_J,True,32.0,28.4,448.0,2458.0,7541.0,26.0,0.15416379903647626,0.9451476793248945,0.2650887573964497,0.7541754175417542,0.8458362009635237,0.05485232067510549,0.15279672578444747,2906.0,474.0,0.6993230968666486
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,low_false_alarm_candidate,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,fixed_nominal,True,33.0,33.0,0.0,0.0,10354.0,119.0,,0.0,0.0,1.0,,1.0,0.0,0.0,119.0,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,best_F1,True,33.0,31.1,56.0,443.0,9911.0,63.0,0.11222444889779559,0.47058823529411764,0.18122977346278318,0.9572146030519606,0.8877755511022044,0.5294117647058824,0.099644128113879,499.0,119.0,0.42780283834607813
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,recall_90,True,33.0,29.3,108.0,2006.0,8348.0,11.0,0.0510879848628193,0.907563025210084,0.09673085535154499,0.8062584508402549,0.9489120151371807,0.09243697478991597,0.050823529411764705,2114.0,119.0,0.713821476050339
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,precision_70,False,33.0,,,,,,,,,,,,,,,
