prediction_source,dataset_label,target_col,model,n,station_count,timestamp_min,timestamp_max,validation_scheme,prediction_column_name,official_target_column_name,source_file,ridge_backend,fallback_used_any,is_baseline_only
future_holdout,hourly_max,official_wbgt_c_max,L1_full_dynamic,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_max,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_only,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_max,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,True
future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_max,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_max,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_max,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_mean,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_mean,official_wbgt_c_mean,L1_proxy_only,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_mean,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,True
future_holdout,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_mean,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_mean,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
future_holdout,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,2511,27,2026-05-21T00:00:00+08:00,2026-05-24T20:00:00+08:00,future_holdout,prediction_wbgt_c,official_wbgt_c_mean,outputs/v11_level1/blocked_time_high_tail/predictions_future_holdout.csv,sklearn,False,False
