feature,group,count,min,max,mean,std
svf_or_open_sky,eligible_universe,981,0.0118137965115803,0.9859961867332458,0.37974154178302055,0.2158779124932373
svf_or_open_sky,n24_retained,24,0.0275770681095674,0.9485701544046402,0.3816840995496024,0.33628461021837813
svf_or_open_sky,n150_selected,150,0.0275770681095674,0.9485701544046402,0.3888310896614305,0.21870469393412056
svf_or_open_sky,added126,126,0.0291035329200327,0.8757161026515974,0.3901924211113024,0.1902516547567122
shade_fraction,eligible_universe,981,0.0,0.978518144595883,0.46636675443461667,0.24556809162776758
shade_fraction,n24_retained,24,0.0025770308123249,0.9583426777304328,0.49667124545346253,0.34396077508181105
shade_fraction,n150_selected,150,0.0025770308123249,0.9583426777304328,0.46917093266896565,0.2328871134762059
shade_fraction,added126,126,0.0520971302428256,0.9473522167487683,0.46393277785287107,0.206659328581275
building_density,eligible_universe,981,0.0,1.0000000000011824,0.2147555555555759,0.15565468893020548
building_density,n24_retained,24,0.0,0.6900000000015564,0.2124499999999693,0.20544417415877295
building_density,n150_selected,150,0.0,0.6900000000015564,0.20715733333347647,0.15718160759047745
building_density,added126,126,0.0,0.6059999999964065,0.20614920634938258,0.14723135956524233
building_height_or_canyon_proxy,eligible_universe,981,0.0,133.0,31.587686254829933,30.589082480819123
building_height_or_canyon_proxy,n24_retained,24,0.0,120.0,37.09583361943563,41.37278593353649
building_height_or_canyon_proxy,n150_selected,150,0.0,120.0,30.11466683069865,31.583783321404944
building_height_or_canyon_proxy,added126,126,0.0,120.0,28.784920775701128,29.376320062238335
road_or_hardscape_fraction,eligible_universe,981,0.0,1.0,0.19756780472313207,0.20836149830643294
road_or_hardscape_fraction,n24_retained,24,0.0,1.0,0.2017753219687548,0.26948598223279696
road_or_hardscape_fraction,n150_selected,150,0.0,1.0,0.1920069709561572,0.20486587237631945
road_or_hardscape_fraction,added126,126,0.0,0.8417315621571765,0.19014633266804337,0.19142592389886484
tree_or_gvi_fraction,eligible_universe,981,0.0,1.0,0.046019631478717536,0.15810219216454768
tree_or_gvi_fraction,n24_retained,24,0.0,0.9803701843193322,0.10154194431002639,0.27635954373092264
tree_or_gvi_fraction,n150_selected,150,0.0,1.0,0.057923690466466976,0.17504787573893307
tree_or_gvi_fraction,added126,126,0.0,1.0,0.049615451639122336,0.14844925571588047
grass_fraction,eligible_universe,981,0.0,0.9880436056734264,0.013595824194632893,0.08356909304396487
grass_fraction,n24_retained,24,0.0,0.9880436056734264,0.042402967578061695,0.20151121260502727
grass_fraction,n150_selected,150,0.0,0.9880436056734264,0.024305365500192147,0.12111853083084358
grass_fraction,added126,126,0.0,0.898872064276885,0.020858203199645566,0.09969840880628317
water_edge_or_water_fraction,eligible_universe,981,0.0,0.9608932038834952,0.02567332630454737,0.09674633372521511
water_edge_or_water_fraction,n24_retained,24,0.0,0.3324661204519861,0.04503791980053543,0.10266866839197228
water_edge_or_water_fraction,n150_selected,150,0.0,0.4733660451422963,0.02715833736108855,0.08166182265339202
water_edge_or_water_fraction,added126,126,0.0,0.4733660451422963,0.023752702610717717,0.07704834657250426
overhead_fraction,eligible_universe,981,0.0,1.0,0.044788879240787595,0.13535126271412826
overhead_fraction,n24_retained,24,0.0,0.7324818312226025,0.08860794338521888,0.17292600654965526
overhead_fraction,n150_selected,150,0.0,1.0,0.0452124752329614,0.12220707386230546
overhead_fraction,added126,126,0.0,1.0,0.03694667177538855,0.10894650866342839
impervious_or_built_fraction,eligible_universe,981,0.0,0.9935381267077634,0.49817176964963855,0.19607002436094684
impervious_or_built_fraction,n24_retained,24,0.0,0.9935381267077634,0.47094466418094,0.2856247766830107
impervious_or_built_fraction,n150_selected,150,0.0,0.9935381267077634,0.4762166072834058,0.2033128166655812
impervious_or_built_fraction,added126,126,0.0,0.7881717677923938,0.4772207869219707,0.18508182438468482
centroid_x_normalized,eligible_universe,981,0.0,1.0,0.49949031600407745,0.31788653194272143
centroid_x_normalized,n24_retained,24,0.0,1.0,0.5240384615384616,0.3439754008770704
centroid_x_normalized,n150_selected,150,0.0,1.0,0.48538461538461547,0.3275312451843619
centroid_x_normalized,added126,126,0.0,1.0,0.47802197802197804,0.32521012129451354
centroid_y_normalized,eligible_universe,981,0.0,1.0,0.4990957219427181,0.31307671683790544
centroid_y_normalized,n24_retained,24,0.0,1.0,0.4422043010752688,0.3241866287269825
centroid_y_normalized,n150_selected,150,0.0,1.0,0.4655913978494624,0.3225680159178936
centroid_y_normalized,added126,126,0.0,1.0,0.4700460829493088,0.3233649451714274
