field,source_file,source_role
building_area_m2_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
dsm_building_height_mean_m_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
dsm_building_height_p50_m_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
dsm_building_height_p90_m_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
dsm_building_height_max_m_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_umep_mean_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_umep_p10_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_umep_p90_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_umep_mean_all_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_0800_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_0900_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1000_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1100_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1200_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1300_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1400_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1500_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1600_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1700_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1800_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_1900_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_10_16_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_13_15_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_umep_peak_open_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
umep_morphology_version,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
umep_includes_vegetation,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
veg_transmissivity_pct,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
veg_trunk_zone_pct,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
umep_shadow_date,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_interpretation,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_v08_umep_veg,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_v08_umep_veg,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_density,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_area_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_open_pixel_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_height_mean_m,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_height_max_m,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_height_p50_m,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
v10_building_height_p90_m,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
building_density_v08,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
