cell_id,in_n24_completed,typology_label,primary_role,secondary_roles,source_feature_completeness,sampling_feature_completeness,centroid_x,centroid_y,svf_or_open_sky,shade_fraction,building_density,building_height_or_canyon_proxy,road_or_hardscape_fraction,tree_or_gvi_fraction,grass_fraction,water_edge_or_water_fraction,overhead_fraction,impervious_or_built_fraction,centroid_x_normalized,centroid_y_normalized,svf_or_open_sky_missing,shade_fraction_missing,building_density_missing,building_height_or_canyon_proxy_missing,road_or_hardscape_fraction_missing,tree_or_gvi_fraction_missing,grass_fraction_missing,water_edge_or_water_fraction_missing,overhead_fraction_missing,impervious_or_built_fraction_missing,centroid_x_normalized_missing,centroid_y_normalized_missing,svf_or_open_sky_q01,shade_fraction_q01,building_density_q01,building_height_or_canyon_proxy_q01,road_or_hardscape_fraction_q01,tree_or_gvi_fraction_q01,grass_fraction_q01,water_edge_or_water_fraction_q01,overhead_fraction_q01,impervious_or_built_fraction_q01,centroid_x_normalized_q01,centroid_y_normalized_q01,eligible,geometry_available,candidate_source_files,overhead_confounding_flag,overhead_interpretation,secondary_sampling_strata,primary_sampling_stratum,alternate_rank,selection_status,selection_tier,existing_solweig_label_status,replacement_of_cell_id,alternate_reason,manual_review_required
TP_0174,False,civic_institutional,,,1.0,1.0,31550.0,34750.0,0.7980888974326281,0.0669734151329243,0.2784000000003342,12.0,0.0,0.0,0.0,0.0,0.0,0.4693848492277429,1.0,0.12903225806451613,False,False,False,False,False,False,False,False,False,False,False,False,0.963265306122449,0.030612244897959183,0.6704081632653062,0.24081632653061225,0.13418367346938775,0.4142857142857143,0.475,0.4357142857142857,0.2943877551020408,0.3122448979591837,0.9663265306122449,0.16122448979591836,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,open_hardscape_high_svf,open_hardscape_high_svf,11,alternate,alternate,pending_if_promoted,TP_0720,nearest feature-space replacement candidate with maximin diversity,False
TP_0199,False,transport,,,1.0,1.0,31150.0,34850.0,0.0580329515770077,0.9048157724628314,0.0,0.0,0.1773320812655884,0.569000547003204,0.0,0.0,0.1761193552607047,0.0196654936295903,0.8846153846153846,0.16129032258064516,False,False,False,False,False,False,False,False,False,False,False,False,0.07040816326530612,0.9510204081632653,0.04387755102040816,0.04387755102040816,0.5387755102040817,0.9724489795918367,0.475,0.4357142857142857,0.9346938775510204,0.06938775510204082,0.8454081632653061,0.19081632653061226,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,shaded_canopy_low_svf,12,alternate,alternate,pending_if_promoted,TP_0154,nearest feature-space replacement candidate with maximin diversity,False
TP_0373,False,commercial,,,1.0,1.0,31150.0,35450.0,0.762018479800832,0.0621745052479769,0.3683999999995175,10.0,0.3757190151147835,0.0,0.0,0.0,0.1400379575783538,0.6410973512083349,0.8846153846153846,0.3548387096774194,False,False,False,False,False,False,False,False,False,False,False,False,0.95,0.02857142857142857,0.8551020408163266,0.17244897959183675,0.8428571428571429,0.4142857142857143,0.475,0.4357142857142857,0.9193877551020408,0.8153061224489796,0.8454081632653061,0.3683673469387755,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,transport_deck_or_viaduct,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,open_hardscape_high_svf,13,alternate,alternate,pending_if_promoted,TP_0565,nearest feature-space replacement candidate with maximin diversity,False
TP_0347,False,water,,,1.0,1.0,31450.0,35350.0,0.2776418538026511,0.6442857142857142,0.0,0.0,0.3154769898372905,0.0519571295433364,0.0,0.1422413793103447,0.0,0.370964324980102,1.0,0.3225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,0.3489795918367347,0.7510204081632653,0.04387755102040816,0.04387755102040816,0.7755102040816326,0.8795918367346939,0.475,0.9377551020408164,0.2943877551020408,0.15918367346938775,0.9663265306122449,0.33877551020408164,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,shaded_canopy_low_svf,14,alternate,alternate,pending_if_promoted,TP_0126,nearest feature-space replacement candidate with maximin diversity,False
TP_0101,False,residential,,,1.0,1.0,30050.0,34550.0,0.4651273768078232,0.3722246408358728,0.1420000000002944,34.900001525878906,0.0,0.0,0.0,0.4920896635653437,0.0265451436755002,0.0,0.46153846153846156,0.06451612903225806,False,False,False,False,False,False,False,False,False,False,False,False,0.6551020408163265,0.38877551020408163,0.3469387755102041,0.6862244897959183,0.13418367346938775,0.4142857142857143,0.475,0.9897959183673469,0.7591836734693878,0.03316326530612245,0.46683673469387754,0.10204081632653061,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,moderate_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|water_edge_or_blue_green_mixed,shaded_canopy_low_svf,15,alternate,alternate,pending_if_promoted,TP_0098,nearest feature-space replacement candidate with maximin diversity,False
TP_0580,False,residential,,,1.0,1.0,31550.0,36150.0,0.0240968823939141,0.95549621717846,0.1411999999999717,15.0,0.2653199375352558,1.0,0.0,0.0,0.0,0.0,1.0,0.5806451612903226,False,False,False,False,False,False,False,False,False,False,False,False,0.004081632653061225,0.9938775510204082,0.3448979591836735,0.4051020408163265,0.6602040816326531,0.9984693877551021,0.475,0.4357142857142857,0.2943877551020408,0.03316326530612245,0.9663265306122449,0.5755102040816327,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf,shaded_canopy_low_svf,16,alternate,alternate,pending_if_promoted,TP_0893,nearest feature-space replacement candidate with maximin diversity,False
TP_0191,False,transport,,,1.0,1.0,30350.0,34850.0,0.1025008182659745,0.8786554621848738,0.0,0.0,0.6535882554213874,0.7183604891962644,0.0,0.0,0.0,0.1084336385144292,0.5769230769230769,0.16129032258064516,False,False,False,False,False,False,False,False,False,False,False,False,0.11428571428571428,0.9377551020408164,0.04387755102040816,0.04387755102040816,0.960204081632653,0.9806122448979592,0.475,0.4357142857142857,0.2943877551020408,0.08571428571428572,0.5693877551020409,0.19081632653061226,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|road_edge_or_high_road_fraction,shaded_canopy_low_svf,17,alternate,alternate,pending_if_promoted,TP_0126,nearest feature-space replacement candidate with maximin diversity,False
TP_0581,False,residential,,,1.0,1.0,28750.0,36250.0,0.5952913538493216,0.3474746407438714,0.0,0.0,0.7963316331718099,0.2270437058157247,0.0,0.0,0.237473874976,0.6711221107701802,0.0,0.6129032258064516,False,False,False,False,False,False,False,False,False,False,False,False,0.8285714285714286,0.363265306122449,0.04387755102040816,0.04387755102040816,0.9806122448979592,0.9326530612244898,0.475,0.4357142857142857,0.9469387755102041,0.8734693877551021,0.034183673469387756,0.6051020408163266,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,transport_deck_or_viaduct,overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction,overhead_or_transport_structure,18,alternate,alternate,pending_if_promoted,TP_0378,nearest feature-space replacement candidate with maximin diversity,False
TP_0062,False,residential,,,1.0,1.0,29050.0,34450.0,0.1524928931141515,0.6895113600995953,0.1636000000001755,78.0,0.14005191736781,0.0,0.0,0.1302744458677846,0.0,0.3236354031655598,0.07692307692307693,0.03225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,0.1683673469387755,0.7979591836734694,0.39183673469387753,0.8954081632653061,0.45510204081632655,0.4142857142857143,0.475,0.9357142857142857,0.2943877551020408,0.13163265306122449,0.12091836734693878,0.07244897959183673,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed,shaded_canopy_low_svf,19,alternate,alternate,pending_if_promoted,TP_0020,nearest feature-space replacement candidate with maximin diversity,False
TP_0256,False,residential,,,1.0,1.0,31050.0,35050.0,0.0118137965115803,0.897590361445783,0.2848000000000518,90.0,0.0,0.0,0.5754494778990342,0.0,0.0419707076582972,0.0,0.8461538461538461,0.22580645161290322,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.9479591836734694,0.6836734693877551,0.9239795918367347,0.13418367346938775,0.4142857142857143,0.9938775510204082,0.4357142857142857,0.813265306122449,0.03316326530612245,0.8107142857142857,0.25,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,moderate_confounding,pedestrian_shelter_shade,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park,shaded_canopy_low_svf,20,alternate,alternate,pending_if_promoted,TP_0254,nearest feature-space replacement candidate with maximin diversity,False
