dataset,model,operating_point,available,threshold_c,precision,recall,f1,tp,fp,fn
all_stations,M3_weather_ridge,fixed_31,True,31.0,0.4262295081967213,0.059496567505720827,0.10441767068273093,26.0,35.0,411.0
all_stations,M3_weather_ridge,best_F1,True,30.0,0.41946697566628044,0.8283752860411899,0.5569230769230771,362.0,501.0,75.0
all_stations,M3_weather_ridge,recall_90,True,29.6,0.36682027649769583,0.9107551487414187,0.5229960578186597,398.0,687.0,39.0
all_stations,M3_weather_ridge,precision_70,False,,,,,,,
all_stations,M4_inertia_ridge,fixed_31,True,31.0,0.42073170731707316,0.15789473684210525,0.22961730449251247,69.0,95.0,368.0
all_stations,M4_inertia_ridge,best_F1,True,30.0,0.4223529411764706,0.8215102974828375,0.5578865578865579,359.0,491.0,78.0
all_stations,M4_inertia_ridge,recall_90,True,29.6,0.37960339943342775,0.919908466819222,0.5374331550802139,402.0,657.0,35.0
all_stations,M4_inertia_ridge,precision_70,False,,,,,,,
all_stations,M5_v10_morphology_ridge,fixed_31,True,31.0,0.3407821229050279,0.13958810068649885,0.19805194805194803,61.0,118.0,376.0
all_stations,M5_v10_morphology_ridge,best_F1,True,29.85,0.4053156146179402,0.8375286041189931,0.5462686567164179,366.0,537.0,71.0
all_stations,M5_v10_morphology_ridge,recall_90,True,29.15,0.33277591973244147,0.9107551487414187,0.48744641763625224,398.0,798.0,39.0
all_stations,M5_v10_morphology_ridge,precision_70,False,,,,,,,
all_stations,M7_compact_weather_ridge,fixed_31,True,31.0,0.3407821229050279,0.13958810068649885,0.19805194805194803,61.0,118.0,376.0
all_stations,M7_compact_weather_ridge,best_F1,True,29.85,0.4053156146179402,0.8375286041189931,0.5462686567164179,366.0,537.0,71.0
all_stations,M7_compact_weather_ridge,recall_90,True,29.15,0.33277591973244147,0.9107551487414187,0.48744641763625224,398.0,798.0,39.0
all_stations,M7_compact_weather_ridge,precision_70,False,,,,,,,
