dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
all_stations,M3_weather_ridge,31.0,27.0,0.1917507678806494,1.0,0.32179675994108986,437,1842,0,3445,437,2279
all_stations,M3_weather_ridge,31.0,27.05,0.19614003590664272,1.0,0.32795497185741085,437,1791,0,3496,437,2228
all_stations,M3_weather_ridge,31.0,27.1,0.19963453631795341,1.0,0.33282559025133285,437,1752,0,3535,437,2189
all_stations,M3_weather_ridge,31.0,27.15,0.20138248847926268,1.0,0.3352512466436517,437,1733,0,3554,437,2170
all_stations,M3_weather_ridge,31.0,27.2,0.20184757505773673,1.0,0.33589546502690243,437,1728,0,3559,437,2165
all_stations,M3_weather_ridge,31.0,27.25,0.20250231696014828,1.0,0.33680154142581886,437,1721,0,3566,437,2158
all_stations,M3_weather_ridge,31.0,27.3,0.20363466915191053,1.0,0.33836624080526523,437,1709,0,3578,437,2146
all_stations,M3_weather_ridge,31.0,27.35,0.2049718574108818,1.0,0.34021019852082524,437,1695,0,3592,437,2132
all_stations,M3_weather_ridge,31.0,27.4,0.20613207547169812,1.0,0.34180680484943293,437,1683,0,3604,437,2120
all_stations,M3_weather_ridge,31.0,27.45,0.2066193853427896,1.0,0.34247648902821315,437,1678,0,3609,437,2115
all_stations,M3_weather_ridge,31.0,27.5,0.20691287878787878,1.0,0.3428795606120047,437,1675,0,3612,437,2112
all_stations,M3_weather_ridge,31.0,27.55,0.20859188544152746,1.0,0.34518167456556087,437,1658,0,3629,437,2095
all_stations,M3_weather_ridge,31.0,27.6,0.2111111111111111,1.0,0.3486238532110092,437,1633,0,3654,437,2070
all_stations,M3_weather_ridge,31.0,27.65,0.2136919315403423,1.0,0.35213537469782435,437,1608,0,3679,437,2045
all_stations,M3_weather_ridge,31.0,27.7,0.21495327102803738,1.0,0.35384615384615387,437,1596,0,3691,437,2033
all_stations,M3_weather_ridge,31.0,27.75,0.21558954119388257,1.0,0.3547077922077922,437,1590,0,3697,437,2027
all_stations,M3_weather_ridge,31.0,27.8,0.21622958931222167,1.0,0.355573637103336,437,1584,0,3703,437,2021
all_stations,M3_weather_ridge,31.0,27.85,0.21784646061814555,1.0,0.3577568563241915,437,1569,0,3718,437,2006
all_stations,M3_weather_ridge,31.0,27.9,0.22115384615384615,1.0,0.3622047244094488,437,1539,0,3748,437,1976
all_stations,M3_weather_ridge,31.0,27.95,0.2266597510373444,1.0,0.36955602536997884,437,1491,0,3796,437,1928
all_stations,M3_weather_ridge,31.0,28.0,0.232620320855615,0.9954233409610984,0.37711313394018203,435,1435,2,3852,437,1870
all_stations,M3_weather_ridge,31.0,28.05,0.23911845730027548,0.9931350114416476,0.38543516873889877,434,1381,3,3906,437,1815
all_stations,M3_weather_ridge,31.0,28.1,0.24354657687991021,0.9931350114416476,0.3911671924290221,434,1348,3,3939,437,1782
all_stations,M3_weather_ridge,31.0,28.15,0.2469982847341338,0.988558352402746,0.39524245196706315,432,1317,5,3970,437,1749
all_stations,M3_weather_ridge,31.0,28.2,0.2505800464037123,0.988558352402746,0.3998149005090236,432,1292,5,3995,437,1724
all_stations,M3_weather_ridge,31.0,28.25,0.25277940315974257,0.988558352402746,0.4026095060577819,432,1277,5,4010,437,1709
all_stations,M3_weather_ridge,31.0,28.3,0.2556213017751479,0.988558352402746,0.40620592383638926,432,1258,5,4029,437,1690
all_stations,M3_weather_ridge,31.0,28.35,0.2579867389993972,0.9794050343249427,0.40839694656488545,428,1231,9,4056,437,1659
all_stations,M3_weather_ridge,31.0,28.4,0.2616136919315403,0.9794050343249427,0.41292812349252284,428,1208,9,4079,437,1636
all_stations,M3_weather_ridge,31.0,28.45,0.26406926406926406,0.977116704805492,0.41577409931840315,427,1190,10,4097,437,1617
all_stations,M3_weather_ridge,31.0,28.5,0.26670830730793255,0.977116704805492,0.41903827281648676,427,1174,10,4113,437,1601
