prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,fold_id,calibrator,status,train_event_count,train_non_event_count,low_support_bins,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_1,logistic_score_calibration,fit,992,7942,,1539.0,204.0,0.13255360623781676,0.0803502613923823,0.2583160806058373,0.9106264228537858,0.5454866713700491,0.03949582002025014,0.901602238433165,0.07612786431060574,0.7413562600904192,0.10961929201300859,0.13255360623781676,-0.02293431422480817
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_2,logistic_score_calibration,fit,907,7028,,2538.0,289.0,0.11386918833727344,0.0748161776687689,0.23121603406498037,0.9044127263020396,0.476769230928481,0.028088465026817992,0.3019273293271725,-0.10951319004542799,0.828329853527241,0.10951629443359977,0.11386918833727344,-0.004352893903673674
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_3,logistic_score_calibration,fit,1149,6732,,2592.0,47.0,0.018132716049382717,0.0267765122277549,0.09362720709493066,0.9378756844877315,0.13907107503815572,0.04819466521945249,0.6186353741576066,-1.5604632765007591,1.1254788096178987,0.06632738126883521,0.018132716049382717,0.048194665219452495
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_4,logistic_score_calibration,fit,783,7749,,1941.0,413.0,0.21277691911385885,0.08688813236641578,0.2614429617868085,0.9525515637082769,0.8268556216323915,0.06930669912587926,0.2846235912725138,1.1320066250382839,1.1686765191634463,0.14347021998797957,0.21277691911385885,-0.06930669912587928
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_5,logistic_score_calibration,fit,953,7657,,1863.0,243.0,0.13043478260869565,0.06244370018444527,0.19638859788286403,0.9468272112990905,0.6360497547623465,0.02803446158055781,0.11006676967440082,-0.27324982636502493,1.316018050793777,0.15619068922285587,0.13043478260869565,0.025755906614160218
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_1,logistic_score_calibration_balanced,fit,992,7942,,1539.0,204.0,0.13255360623781676,0.11207198683247731,0.3513611098655187,0.9106264228537858,0.5454866713700491,0.11154428175404353,0.4955244100437173,-1.4634964699075035,0.6974677614358603,0.24409788799186033,0.13255360623781676,0.11154428175404357
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_2,logistic_score_calibration_balanced,fit,907,7028,,2538.0,289.0,0.11386918833727344,0.1244101447944188,0.3785852815899683,0.9044127263020396,0.476769230928481,0.15118773938099256,0.5083651868477388,-1.809776123791472,0.7939173251316858,0.265056927718266,0.11386918833727344,0.15118773938099256
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_3,logistic_score_calibration_balanced,fit,1149,6732,,2592.0,47.0,0.018132716049382717,0.08802439720423068,0.26551042274997805,0.9378756844877315,0.13907107503815572,0.15186740335378382,0.7595719654288187,-3.549188163368489,1.0613777759939556,0.1700001194031665,0.018132716049382717,0.1518674033537838
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_4,logistic_score_calibration_balanced,fit,783,7749,,1941.0,413.0,0.21277691911385885,0.09701585048975159,0.30894008647788196,0.9525515637082769,0.8268556216323915,0.11554683774326953,0.4532090563517614,-1.54393399728287,1.0987531971176547,0.3283237568571284,0.21277691911385885,0.11554683774326954
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,date_block_5,logistic_score_calibration_balanced,fit,953,7657,,1863.0,243.0,0.13043478260869565,0.1388900863631825,0.4389717618877741,0.9468272112990905,0.6360497547623465,0.2020571176422636,0.6121584726025507,-3.008882096247115,1.2181030111412332,0.33249190025095926,0.13043478260869565,0.2020571176422636
