dataset_label,model,event_target,validation_scheme,calibrator,selected_probability_threshold,station_id,focus_station_flag,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier,precision,recall,F1
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S124,False,388,10,0.02577319587628866,0.11738611030555483,0.09161291442926617,0.05463412487940555,0.11940298507462686,0.8,0.20779220779220778
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S125,False,388,52,0.13402061855670103,0.11385099903011404,-0.020169619526586982,0.0626097180695674,0.6349206349206349,0.7692307692307693,0.6956521739130435
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S126,False,388,38,0.0979381443298969,0.11296341589810745,0.015025271568210541,0.06945219989445034,0.38095238095238093,0.631578947368421,0.4752475247524752
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S127,False,388,56,0.14432989690721648,0.1104034641375072,-0.033926432769709275,0.06635548520651405,0.6440677966101694,0.6785714285714286,0.6608695652173914
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S128,False,388,57,0.14690721649484537,0.11316049225244201,-0.03374672424240335,0.08080989886915295,0.55,0.5789473684210527,0.5641025641025641
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S129,False,385,47,0.12207792207792208,0.11066137305176132,-0.011416549026160752,0.05596655331311777,0.6031746031746031,0.8085106382978723,0.6909090909090909
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S130,False,388,32,0.08247422680412371,0.11079527576206331,0.028321048957939604,0.052101720714861646,0.36666666666666664,0.6875,0.47826086956521735
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S132,False,388,45,0.11597938144329897,0.11384067565515085,-0.002138705788148121,0.06348407076346438,0.5161290322580645,0.7111111111111111,0.5981308411214953
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S135,True,388,69,0.17783505154639176,0.11252402011671771,-0.06531103142967405,0.08826809477891916,0.6721311475409836,0.5942028985507246,0.6307692307692307
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S137,True,388,77,0.19845360824742267,0.11129361242935044,-0.08715999581807223,0.10362732484738786,0.7049180327868853,0.5584415584415584,0.6231884057971014
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S139,True,388,8,0.020618556701030927,0.10614779147695173,0.08552923477592081,0.036281667281286935,0.12244897959183673,0.75,0.21052631578947364
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S140,False,388,27,0.06958762886597938,0.11430140573386618,0.0447137768678868,0.050307781592532554,0.3333333333333333,0.7777777777777778,0.4666666666666666
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S141,False,388,53,0.13659793814432988,0.11367077630185636,-0.022927161842473523,0.07864845811769203,0.5333333333333333,0.6037735849056604,0.5663716814159292
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S142,True,388,84,0.21649484536082475,0.10804909084302278,-0.10844575451780197,0.09644075502970677,0.9107142857142857,0.6071428571428571,0.7285714285714285
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S143,False,388,54,0.13917525773195877,0.12091158786467913,-0.018263669867279633,0.06877188390349999,0.609375,0.7222222222222222,0.6610169491525424
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S144,False,388,44,0.1134020618556701,0.11128923518821522,-0.0021128266674548812,0.061859404728329355,0.5,0.6818181818181818,0.576923076923077
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S145,False,388,48,0.12371134020618557,0.11446039873130531,-0.009250941474880259,0.05441107379377117,0.6065573770491803,0.7708333333333334,0.6788990825688073
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S146,False,388,29,0.07474226804123711,0.11331896067828266,0.03857669263704555,0.045298920914407285,0.3709677419354839,0.7931034482758621,0.5054945054945055
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S147,False,388,55,0.14175257731958762,0.11028462583387286,-0.03146795148571477,0.063650130800604,0.65,0.7090909090909091,0.6782608695652174
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S148,False,388,21,0.05412371134020619,0.11860286989925693,0.06447915855905074,0.051906854404875954,0.2835820895522388,0.9047619047619048,0.43181818181818177
