prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,calibrator,n_folds_evaluated,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,1196,0.11419841497183233,0.0637763495910806,0.20055277475253844,0.9307738813904134,0.6012289245514301,0.013311127392349303,0.901602238433165,-0.013265188261970465,0.9703754056683169,0.11343798042090768,0.11419841497183233,-0.0007604345509246574
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration_balanced,5,10473,1196,0.11419841497183233,0.11109051556115726,0.34443371610587303,0.9350905771565092,0.6268090314353735,0.14797386268391705,0.5371410888728256,-2.0427630997443673,0.9328534485028076,0.26217227765574935,0.11419841497183233,0.14797386268391702
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,isotonic_score_calibration,5,10473,1196,0.11419841497183233,0.06370537941520127,0.20166094424961084,0.9269677625428876,0.5755339818935512,0.017507723920832257,0.6735013023416001,-0.075246203556217,0.8616496753240843,0.11216156964649457,0.11419841497183233,-0.002036845325337766
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,empirical_bin_calibration,5,10473,1196,0.11419841497183233,0.06605456639242371,0.20357705817524432,0.9209231266739082,0.5084438295606338,0.023414852307473713,0.13300164142667548,-0.01909028200671358,0.9340601430094354,0.1121419443877949,0.11419841497183233,-0.002056470584037434
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,logistic_score_calibration,1,1863,243,0.13043478260869565,0.06244370018444527,0.19638859788286403,0.9468272112990905,0.6360497547623465,0.02803446158055781,0.11006676967440082,-0.27324982636502493,1.316018050793777,0.15619068922285587,0.13043478260869565,0.025755906614160218
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,logistic_score_calibration_balanced,1,1863,243,0.13043478260869565,0.1388900863631825,0.4389717618877741,0.9468272112990905,0.6360497547623465,0.2020571176422636,0.6121584726025507,-3.008882096247115,1.2181030111412332,0.33249190025095926,0.13043478260869565,0.2020571176422636
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,isotonic_score_calibration,1,1863,243,0.13043478260869565,0.06583741115744088,0.20466387849395068,0.9432886247015191,0.6116670795810166,0.03438099670867745,0.24233716475095785,-0.2784361976689333,1.1789666249552,0.1552421715070646,0.13043478260869565,0.02480738889836895
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,empirical_bin_calibration,1,1863,243,0.13043478260869565,0.06633305611684708,0.2057397089682839,0.9359155108469237,0.5604636786987964,0.02771226446610222,0.13584411549302025,-0.20589840478772234,1.5747173307725055,0.15683785523891816,0.13043478260869565,0.026403072630222513
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,logistic_score_calibration,27,10473,1196,0.11419841497183233,0.062364640407067934,0.1957383290341644,0.9344485030227235,0.6243956158006397,0.01335631565177611,0.09168057937232432,-0.008867363260010365,0.990501958144566,0.11425837827993872,0.11419841497183233,5.996330810638384e-05
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,logistic_score_calibration_balanced,27,10473,1196,0.11419841497183233,0.11114331020955043,0.3442590688529924,0.935096074983876,0.6284033648702188,0.1482831279046069,0.5099758744711416,-2.0445050365802366,0.9393680577750589,0.2624815428764392,0.11419841497183233,0.14828312790460688
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.06130732178636999,0.19247023401430302,0.9281546172917305,0.5979082475659978,0.015282936955591435,0.14987811089051756,-0.05191868921550621,0.9328881725875008,0.1142699706244281,0.11419841497183233,7.155565259577001e-05
