dataset_label,model,event_target,validation_scheme,calibrator,hour,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,8,432,5,0.011574074074074073,0.0174567334855319,0.005882659411457828,0.011800142803519223
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,9,432,61,0.1412037037037037,0.07454339672761175,-0.06666030697609195,0.11870011286264447
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,10,432,123,0.2847222222222222,0.232809768690058,-0.0519124535321642,0.17884036062174843
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,11,431,180,0.4176334106728538,0.42866698153723476,0.011033570864380948,0.18330199842412437
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,12,431,223,0.5174013921113689,0.5434587756591321,0.026057383547763213,0.18801687281697038
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,13,431,208,0.48259860788863107,0.49547701553192486,0.012878407643293788,0.22471204172440692
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,14,405,176,0.4345679012345679,0.4102891248953861,-0.024278776339181796,0.27304574930389863
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,15,405,138,0.34074074074074073,0.2739374886165486,-0.06680325212419214,0.2392977240949047
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,16,459,64,0.1394335511982571,0.1440545493650759,0.004620998166818796,0.1261958771963926
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,17,459,17,0.037037037037037035,0.07018062668249733,0.0331435896454603,0.03868016470951889
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,18,459,1,0.002178649237472767,0.027132899168539115,0.024954249931066347,0.0030175926547633615
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,19,459,0,0.0,0.007906479474431918,0.007906479474431918,8.550540026777574e-05
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,20,459,0,0.0,0.004318519078579567,0.004318519078579567,2.8485614779091773e-05
