dataset_label,target_col,model,event_target,calibrator,validation_scheme_count,mean_Brier,std_Brier,mean_log_loss,std_log_loss,mean_average_precision,std_average_precision,mean_ROC_AUC,std_ROC_AUC,mean_ECE,std_ECE,mean_probability_bias,std_probability_bias
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,empirical_bin_calibration,3,0.06538405621946115,0.001378573997807006,0.20106663328057306,0.003998824710368247,0.5113892800298498,0.040800447857176986,0.9254873805535545,0.008734184105794475,0.017764763867575802,0.012367334090936852,0.007623077456609982,0.011946326199278191
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,isotonic_score_calibration,3,0.06361057959474353,0.0014468195509576823,0.19802930235190366,0.005245698138374048,0.6134149735100023,0.02615755382840438,0.9366243227110762,0.008696574102162331,0.02231967055640496,0.012765226585461413,0.007148394902778864,0.011142333729478898
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,logistic_score_calibration,3,0.0625134622484415,0.0011473236239132247,0.19549302716210729,0.002826143329633577,0.6361073178158166,0.03386787826179735,0.939464491209995,0.007815592957175798,0.021974049414818998,0.008950478097071621,0.008790109255699377,0.012838585461064686
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,logistic_score_calibration_balanced,3,0.11739193267994313,0.012674797180257658,0.3718127757596394,0.04397079824283253,0.6465133490300486,0.025146051016748695,0.9412567829315647,0.006378355379262333,0.16068737643555706,0.02352049165733311,0.16068737643555706,0.023520491657333095
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,empirical_bin_calibration,3,0.010329064589231902,0.0006808750266991938,0.04500289235709715,0.002038971696615783,0.05482142001081747,0.0060100414189562055,0.8991562971331809,0.012936119674209916,0.002954340657148658,0.003826744939248935,0.002618246414394935,0.0040640978411028645
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,isotonic_score_calibration,3,0.010495965107717409,0.000562256285261183,0.04585503770368037,0.0022606347084384794,0.06915009463269912,0.009600376981031016,0.9073843571812968,0.0066559673844903385,0.0036936096502571424,0.0023004967616307007,0.0017830712491097144,0.0034103298794036204
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,logistic_score_calibration,3,0.010303997322229379,0.0005355794533337048,0.0445819965707488,0.0017087690403126076,0.08158157338793225,0.015390915346688122,0.9185786589360707,0.0029593774279000487,0.0035707826201512474,0.0031804052837399233,0.00252482686263371,0.0039168304605366
hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,logistic_score_calibration_balanced,3,0.14316660466477307,0.025859892103567792,0.4261507746272309,0.07650992614107734,0.09665360355174664,0.026103788519923024,0.9232194180792103,0.0013485142985573547,0.21036086498356188,0.02978524009556166,0.21036086498356188,0.029785240095561667
hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,empirical_bin_calibration,3,0.07488273899237975,0.003778032096909221,0.23647144571084833,0.01269490889484797,0.44118781446550664,0.015686240808390543,0.8948416636624613,0.0028523553693740327,0.015640109524561515,0.005018854185562454,0.0034387363127797396,0.0076269936355376185
hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,isotonic_score_calibration,3,0.0722341837147954,0.004159620784751165,0.2312973838316009,0.013048524861194937,0.540290808014139,0.00669145652506097,0.9036333597944902,0.0018155239776372417,0.01194483522814005,0.007833996375917886,0.006087083149824424,0.01028813947816341
hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,logistic_score_calibration,3,0.07218599438436488,0.003969748005406332,0.22942163281266917,0.012750143420901791,0.560715375747774,0.014093638372579294,0.9068815676373346,0.003992226081154792,0.016295074635214943,0.003928295417561817,0.006590734584048098,0.010570915243331511
hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,logistic_score_calibration_balanced,3,0.13983301723141767,0.016408697154902424,0.4249187105268215,0.050547517848809675,0.5702817934685241,0.0056216233219641655,0.9086312286647326,0.005034150443164039,0.18940155432250283,0.01889900323833284,0.18940155432250283,0.018899003238332844
hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,empirical_bin_calibration,3,0.010406462445656425,0.0007430727935326089,0.04752070886314481,0.0026442790452393143,0.045797735644989006,0.004772816398306982,0.8762893338958175,0.015510433345143595,0.002273211127300114,0.0027488496334023443,0.001822635210568218,0.0030662133039849344
hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,isotonic_score_calibration,3,0.010573582196063852,0.0005789609070884819,0.04835369865630629,0.0027562546205663345,0.05793830803046332,0.007864718347390756,0.8824848645601625,0.01278363302502576,0.0034504979064474144,0.002720343753615701,0.002090062356146184,0.0035116392562342144
