prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,calibrator,n_folds_evaluated,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias,best_F1_train_selected_precision,best_F1_train_selected_recall,best_F1_train_selected_F1,best_F1_train_selected_false_alarm_ratio,best_F1_train_selected_miss_rate,best_F1_train_selected_CSI,diagnostic_rank_score,selection_scope
loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.06124403706544668,0.18879881535099893,0.9314970710099382,0.6025799694474172,0.007836867890680131,0.07269958534538062,-0.04417733356330059,0.9416093203307145,0.11432562008687706,0.11419841497183233,0.00012720511504472898,0.46941975953998955,0.7508361204013378,0.5776777098745577,0.5305802404600104,0.2491638795986622,0.40615106286748076,-15.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.06130732178636999,0.19247023401430302,0.9281546172917305,0.5979082475659978,0.015282936955591435,0.14987811089051756,-0.05191868921550621,0.9328881725875008,0.1142699706244281,0.11419841497183233,7.155565259577001e-05,0.4528782475802343,0.7433110367892977,0.5628363406141185,0.5471217524197657,0.25668896321070234,0.39162995594713657,-10.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.0615927445409816,0.1908417328570517,0.9332520946722267,0.6096059276194181,0.011167753765579278,0.15888737322918856,-0.04919791853438606,0.9350350467713573,0.11436042601937502,0.11419841497183233,0.0001620110475426817,0.4856651376146789,0.7081939799331104,0.5761904761904761,0.5143348623853211,0.29180602006688966,0.40468227424749165,-8.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,empirical_bin_calibration,27,10473,1196,0.11419841497183233,0.06306600524105119,0.19521394946584744,0.918059029000769,0.47916720972099913,0.009831589002824694,0.33059549577406716,-0.01570818294899101,0.980446649635026,0.11430753546530796,0.11419841497183233,0.00010912049347562569,0.4594325535092086,0.7717391304347826,0.5759750390015601,0.5405674464907915,0.22826086956521738,0.40446976336546886,-2.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,station_grouped_calibration,logistic_score_calibration,27,10473,1196,0.11419841497183233,0.062364640407067934,0.1957383290341644,0.9344485030227235,0.6243956158006397,0.01335631565177611,0.09168057937232432,-0.008867363260010365,0.990501958144566,0.11425837827993872,0.11419841497183233,5.996330810638384e-05,0.45422535211267606,0.7550167224080268,0.5672110552763818,0.545774647887324,0.24498327759197325,0.3958790004384042,0.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,1196,0.11419841497183233,0.0637763495910806,0.20055277475253844,0.9307738813904134,0.6012289245514301,0.013311127392349303,0.901602238433165,-0.013265188261970465,0.9703754056683169,0.11343798042090768,0.11419841497183233,-0.0007604345509246574,0.47940298507462686,0.6714046822742475,0.5593869731800767,0.5205970149253731,0.3285953177257525,0.3882978723404255,3.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,station_grouped_calibration,logistic_score_calibration,27,10473,1196,0.11419841497183233,0.062336074575170035,0.19404889914009454,0.9360443150121691,0.6247904171895636,0.015740803374264728,0.9081214448785844,-0.008878902507195243,0.9909205881294394,0.11427473417209057,0.11419841497183233,7.631920025823191e-05,0.4824660633484163,0.7132107023411371,0.5755735492577598,0.5175339366515838,0.28678929765886285,0.4040738986262435,5.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,station_grouped_calibration,empirical_bin_calibration,27,10473,1196,0.11419841497183233,0.06353181143679502,0.19544194689846653,0.9176345246253996,0.47059547113331124,0.0003507191666463497,0.0011673151487885391,-0.019017344487175653,0.9757977716595742,0.11434037608518255,0.11419841497183233,0.0001419611133502141,0.4689589302769819,0.8210702341137124,0.5969604863221885,0.5310410697230181,0.17892976588628762,0.4254766031195841,5.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,1196,0.11419841497183233,0.06448975988677741,0.1995052983847768,0.9311143861738834,0.594070171626753,0.014507873367446902,0.9055311705349016,-0.022616808134757038,0.958505262323479,0.11342301191357851,0.11419841497183233,-0.0007754030582538263,0.48206686930091186,0.6630434782608695,0.5582541358676522,0.5179331306990882,0.33695652173913043,0.38720703125,6.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,31.0,station_grouped_calibration,logistic_score_calibration,27,10473,1196,0.11419841497183233,0.06240937452990005,0.19314761757562607,0.9359446330930272,0.6233064266362864,0.0160426307111149,0.9005959081224225,-0.00899074019587374,0.9905925667100778,0.1142809917359388,0.11419841497183233,8.257676410645953e-05,0.46505652620760535,0.7566889632107023,0.5760661998726926,0.5349434737923947,0.24331103678929766,0.4045596781403666,10.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,1196,0.11419841497183233,0.06399891213285813,0.19944255145505,0.932072269932148,0.6014607363451134,0.015549887871043026,0.9176212977790967,-0.019168140399777128,0.9665222236407265,0.11355062632045752,0.11419841497183233,-0.0006477886513748116,0.4961636828644501,0.6488294314381271,0.5623188405797103,0.5038363171355499,0.3511705685618729,0.3911290322580645,10.0,candidate
loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,isotonic_score_calibration,5,10473,1196,0.11419841497183233,0.06370537941520127,0.20166094424961084,0.9269677625428876,0.5755339818935512,0.017507723920832257,0.6735013023416001,-0.075246203556217,0.8616496753240843,0.11216156964649457,0.11419841497183233,-0.002036845325337766,0.4948519948519948,0.6429765886287625,0.5592727272727273,0.5051480051480052,0.35702341137123744,0.38818778394750125,14.0,candidate
