prediction_source,validation_scheme,dataset_label,target_col,model,event_target,score_bin,n,score_min,score_max,mean_score,event_rate,event_count,mean_official_wbgt,station_count,mean_residual_official_minus_score,low_support,official_event_threshold_c,bin_kind
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(25.321, 25.647]",1047,25.320910779547237,25.64688943879408,25.494243233086724,0.0,0,25.5748806112703,26,0.08063737818357453,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(25.647, 25.92]",1047,25.646929154269777,25.920327779119997,25.78480677015797,0.0,0,25.74670487106017,26,-0.03810189909779993,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(25.92, 26.26]",1047,25.92040167496208,26.25974309589663,26.08009682281807,0.0,0,25.960744985673355,27,-0.1193518371447162,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(26.26, 26.636]",1048,26.259745970416255,26.635957603144547,26.43987719764624,0.0009541984732824427,1,26.294656488549617,27,-0.14522070909662332,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(26.636, 27.339]",1047,26.63612541471405,27.339412242230757,26.946122084926024,0.0057306590257879654,6,26.63772683858644,27,-0.30839524633958604,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(27.339, 28.284]",1047,27.339512445693096,28.28369094766473,27.782678981820823,0.03724928366762178,39,27.653486150907355,27,-0.12919283091346756,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(28.284, 29.401]",1047,28.285647332095,29.40015632042522,28.829474154355076,0.1556829035339064,163,29.10210124164279,27,0.272627087287713,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(29.401, 30.458]",1047,29.40155980385393,30.455061136297797,29.91341377588651,0.3361986628462273,352,29.93610315186246,27,0.022689375975950554,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,"(30.458, 32.292]",1048,30.458321074267023,32.292270199933505,30.99903830514913,0.6059160305343512,635,30.981870229007633,27,-0.01716807614149829,False,31.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,"(23.744, 25.321]",1048,23.74547944327586,25.32087785069484,25.019460320542244,0.0,0,25.362213740458014,26,0.3427534199157698,False,33.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,"(25.321, 25.647]",1047,25.320910779547237,25.64688943879408,25.494243233086724,0.0,0,25.5748806112703,26,0.08063737818357453,False,33.0,quantile
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,"(25.647, 25.92]",1047,25.646929154269777,25.920327779119997,25.78480677015797,0.0,0,25.74670487106017,26,-0.03810189909779993,False,33.0,quantile
