model_name,observed_wbgt_bin,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M4_inertia_ridge,28-29,188,0,5,0,0,5,28.497872340425534,28.938082066147334,-0.4402097257218057,-0.4067216328799379,0.3185602568270376,1.0748279695254137,0.9777595635454931,1.9148094268998084,3.460882515889839
M4_inertia_ridge,29-30,226,0,26,0,0,26,29.5141592920354,29.532769251830523,-0.018609959795128268,-0.005768027021499478,0.648867806320502,1.1698674126588813,0.8253051649086797,1.7250567684248281,3.729005975299394
M4_inertia_ridge,30-31,280,0,65,0,0,65,30.44857142857143,30.09510875153819,0.3534626770332367,0.14110957276191805,1.1751603555793944,1.7699517208625635,0.84588636584568,1.7699517208625635,3.8470073791998374
M4_inertia_ridge,31-32,268,268,135,135,133,0,31.367910447761194,30.746164022440233,0.6217464253209576,0.41646862863471057,1.1879969185595618,1.814017397551965,0.8092380891205342,1.814017397551965,3.532750181683255
M4_inertia_ridge,32-33,110,110,46,46,64,0,32.358181818181826,30.73727783922078,1.6209039789610311,1.6072049399798853,2.023774515421013,2.5175476181047016,1.6209039789610311,2.5175476181047016,3.6053351772831093
M4_inertia_ridge,<28,2246,0,0,0,0,0,26.083615316117545,26.123084358076646,-0.039469041959103265,-0.0044582123913130545,0.48219318612536277,0.8639284892763008,0.6032843445473431,1.2682151154377852,3.824843518057712
M4_inertia_ridge,>=33,30,30,13,13,17,0,33.34,30.857127163132528,2.4828728368674713,2.348491153023666,3.1675877968592303,3.335445569661318,2.4828728368674713,3.335445569661318,3.950796573636591
M7_compact_weather_ridge,28-29,188,0,14,0,0,14,28.497872340425534,29.08675790907082,-0.5888855686452885,-0.3818664616028009,0.17424055104541658,0.9791625653853933,1.0122033311516296,2.151439869212355,4.8577116936666656
M7_compact_weather_ridge,29-30,226,0,40,0,0,40,29.5141592920354,29.664474671146436,-0.15031537911103668,-0.04165926400439446,0.7280556521231949,1.2269645740817232,0.9776775172959844,2.1244582568025585,3.378653040863778
M7_compact_weather_ridge,30-31,280,0,68,0,0,68,30.44857142857143,30.133627855545715,0.31494357302571324,0.2797904087591263,1.0923267697959576,1.9081978127093389,0.9532070243646871,1.9314297487626482,3.3195008902252354
M7_compact_weather_ridge,31-32,268,268,156,156,112,0,31.367910447761194,30.929876034357118,0.43803441340407584,0.11920177812083388,1.1522489316351097,2.215123234954918,0.9315568865524994,2.215123234954918,3.602815868981498
M7_compact_weather_ridge,32-33,110,110,54,54,56,0,32.358181818181826,30.76172539414329,1.5964564240385288,1.440469916321371,2.1432132468737466,3.1620190741667407,1.6162770235610524,3.1620190741667407,4.316459532049713
M7_compact_weather_ridge,<28,2246,0,4,0,0,4,26.083615316117545,26.25630800660691,-0.17269269048937028,-0.12154407979477533,0.36002340667129484,0.751375280203284,0.5944180280703149,1.2239791755716318,5.146123153269606
M7_compact_weather_ridge,>=33,30,30,21,21,9,0,33.34,31.231075387149318,2.108924612850683,2.0033235252839283,2.831173846931926,3.41188949490292,2.108924612850683,3.41188949490292,4.382650426944071
