model_name,hour_sgt,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M4_inertia_ridge,0,162,0,0,0,0,0,26.020987654320987,25.82507752495193,0.1959101293690552,0.22553860892726973,0.5244258911332089,0.6651991161365189,0.39224653046819163,0.7193893876577818,1.2428871659743521
M4_inertia_ridge,1,162,0,0,0,0,0,25.919753086419753,25.762331519024738,0.15742156739502303,0.1804502778759236,0.5215448701715353,0.6865122572461996,0.4066896362160068,0.7097574388061422,1.239805447128198
M4_inertia_ridge,2,216,0,0,0,0,0,25.680555555555557,25.602939503036172,0.07761605251938081,0.05825448003311706,0.5146343748246336,0.7372560051715507,0.4457955692311132,0.8902222809282279,1.6013349620977557
M4_inertia_ridge,3,162,0,0,0,0,0,25.493827160493826,25.63691547704633,-0.1430883165525063,-0.19090370810797275,0.2720554020481991,0.6872330483619408,0.4970419794614772,0.9240705882518996,1.4022661089459945
M4_inertia_ridge,4,162,0,0,0,0,0,25.40864197530864,25.618386087574716,-0.20974411226607742,-0.24933070884437925,0.22231531112927438,0.6423345217534315,0.5581052675268602,1.0375632664083199,1.5748278498464998
M4_inertia_ridge,5,108,0,0,0,0,0,25.451851851851853,25.555280911671527,-0.10342905981967819,-0.15997077938702908,0.5089987642621976,0.9100953087325244,0.6653392490819372,1.301768723002974,1.8073922952869452
M4_inertia_ridge,6,108,0,0,0,0,0,25.362962962962964,25.68727410450467,-0.32431114154170854,-0.5129373823405121,0.48906739822422196,0.9060765920658757,0.8445553482205361,1.5140362188923246,2.1550710769525807
M4_inertia_ridge,7,108,0,0,0,0,0,25.79074074074074,25.8614341501559,-0.07069340941516179,-0.04745755842543886,0.7545261754400467,1.33759599563977,0.8812537565140572,1.564826445017966,2.2188581817531947
M4_inertia_ridge,8,108,0,0,0,0,0,27.861111111111114,27.365789984069128,0.4953211270419835,0.29993641888397526,1.114757388485497,2.200779432086802,0.9459947734830961,2.200779432086802,3.8470073791998374
M4_inertia_ridge,9,108,8,0,0,8,0,29.392592592592592,29.01966231335899,0.37293027923360433,0.2861829484035123,1.4031939454708855,1.9222993364828775,1.1004160910369158,2.334283838534406,3.4553795902800246
M4_inertia_ridge,10,108,26,0,0,26,0,30.496296296296297,30.24371401115715,0.25258228513914716,0.07972999855138241,0.966133993344406,1.7518123455958525,0.9123097879326443,1.9152211019344998,3.754039075160538
M4_inertia_ridge,11,108,72,72,43,29,29,31.22407407407408,30.99777061879358,0.22630345528049367,0.3095032789980223,0.9792179831592183,1.4793429748890017,0.9008084640039343,1.669473613141339,3.157478441679171
M4_inertia_ridge,12,108,82,85,64,18,21,31.333333333333332,31.33053599869592,0.0027973346374077883,-0.1270961399884989,0.3256158934683935,1.5813593567649609,0.7654129944162874,1.8738330062280462,3.4674287894757327
M4_inertia_ridge,13,108,76,99,70,6,29,31.303703703703704,31.340067945878413,-0.036364242174702355,-0.04524602298795699,0.708292013459201,1.5952764995424864,0.876928242493432,1.984203457016271,3.460882515889839
M4_inertia_ridge,14,108,54,33,17,37,16,30.896296296296295,30.78097389234283,0.1153224039534701,0.030015333434967317,1.1072903549944755,1.6960569864115966,1.0147649247008705,1.9235091690744224,3.3207807674597163
M4_inertia_ridge,15,108,44,1,0,44,1,30.583333333333332,30.24622768545016,0.3371056478831722,0.4194329843114577,1.5269146209926872,2.2791852294606163,1.2666902195921728,2.5345529784531653,3.950796573636591
M4_inertia_ridge,16,162,40,0,0,40,0,30.08641975308642,29.444968263178133,0.6414514899082844,0.6787825101089595,1.5041828828408574,2.2037658602435672,1.1108666244049272,2.2037658602435672,3.6053351772831093
M4_inertia_ridge,17,162,6,0,0,6,0,28.806172839506168,28.571303362181695,0.23486947732447977,0.17368757259101564,1.0287927614563515,1.5139102057296516,0.8604487826148154,1.7129202094772416,3.532750181683255
M4_inertia_ridge,18,162,0,0,0,0,0,27.59506172839506,27.978794932193647,-0.38373320379858517,-0.4002152326498507,0.26608102775584275,0.9267186390627912,0.9008081812342265,1.8739987997448082,3.461532672813558
M4_inertia_ridge,19,162,0,0,0,0,0,26.66666666666666,26.811765017232595,-0.14509835056593096,-0.07094221588846139,0.5773433931088068,1.1022580520838507,0.81098718163128,1.685967945996868,2.4982683776584516
M4_inertia_ridge,20,162,0,0,0,0,0,26.417283950617286,26.07719737874837,0.34008657186891245,0.19854974707561368,0.7574991819820269,1.5287764696779647,0.6172972106080626,1.5287764696779647,2.5795342438723594
M4_inertia_ridge,21,162,0,0,0,0,0,26.31728395061728,26.162821414878927,0.15446253573835994,0.02578388043903601,0.524902110034204,1.2388221848538938,0.5536379760081275,1.268215466751187,2.3869924528422146
M4_inertia_ridge,22,162,0,0,0,0,0,26.27654320987655,26.12472065877579,0.15182255110075177,0.04539442298144358,0.4967163537538628,0.9868735265838133,0.44919868787198747,1.007077801889847,1.8415640936925577
M4_inertia_ridge,23,162,0,0,0,0,0,26.159259259259255,25.98628371020212,0.17297554905713955,0.12684104396204354,0.5448946850679697,0.9692806942840819,0.4765546411439269,1.0076375452065265,1.928738364181509
M7_compact_weather_ridge,0,162,0,0,0,0,0,26.020987654320987,25.64408989196773,0.3768977623532595,0.4007151902304802,0.7191131633801513,0.8735832388633511,0.48498113807796844,0.8735832388633511,1.4003442480392287
M7_compact_weather_ridge,1,162,0,0,0,0,0,25.919753086419753,25.582122011446284,0.3376310749734693,0.3982875818417355,0.7364978928306769,0.9327331800279708,0.4906949461201974,0.9327331800279708,1.439685548422979
M7_compact_weather_ridge,2,216,0,0,0,0,0,25.680555555555557,25.41441377681046,0.26614177874509554,0.2347670127581587,0.7112376045811573,0.9837589323945242,0.5266807477947852,0.9980886414546504,1.832439303356363
M7_compact_weather_ridge,3,162,0,0,0,0,0,25.493827160493826,25.569316565950302,-0.07548940545647316,-0.11139178262230942,0.3149736955208402,0.7480649501818392,0.4869150830310173,0.9040444499660129,1.4485654952954548
M7_compact_weather_ridge,4,162,0,0,0,0,0,25.40864197530864,25.62976558861001,-0.22112361330136968,-0.21413700658929002,0.18097795103052494,0.5767097492088781,0.5111613185697379,0.980040536267925,1.5250904527359808
M7_compact_weather_ridge,5,108,0,0,0,0,0,25.451851851851853,25.67229125041853,-0.22043939856667658,-0.20238587764499805,0.33656234488022463,0.6704897521488579,0.5916936530332217,1.234905658665963,1.9093427187141394
M7_compact_weather_ridge,6,108,0,0,0,0,0,25.362962962962964,25.95674461220542,-0.5937816492424511,-0.6690181192069602,0.15390489466519952,0.5144881584594742,0.8373369553359346,1.7413780637399525,2.361212844377757
M7_compact_weather_ridge,7,108,0,0,0,0,0,25.79074074074074,26.311020997819924,-0.5202802570791865,-0.3897343327513987,0.3063610822964691,0.7088196097917994,0.8988866159559948,1.7706468547783973,2.6310416951053313
M7_compact_weather_ridge,8,108,0,0,0,0,0,27.861111111111114,27.447678093707214,0.41343301740389293,0.09810013388656635,1.1111611708965352,2.1437682115927816,0.8961688794918048,2.1437682115927816,3.3195008902252354
M7_compact_weather_ridge,9,108,8,0,0,8,0,29.392592592592592,28.83789346272779,0.5546991298648009,0.46211701594802435,1.5097026196610814,1.9771740477258462,1.0808936627660588,2.1928196430336664,3.7341357087546285
M7_compact_weather_ridge,10,108,26,1,1,25,0,30.496296296296297,30.19432109888257,0.30197519741373463,0.2797904087591263,0.6980988793428633,1.5849172178642332,0.7064564982335155,1.6455062996429795,3.1012326493004423
M7_compact_weather_ridge,11,108,72,56,50,22,6,31.22407407407408,31.159326596884252,0.0647474771898233,0.007907936872930676,0.7123688089969846,1.0525714196974643,0.6587109401205907,1.5079230063650586,2.261368370205229
M7_compact_weather_ridge,12,108,82,108,82,0,26,31.333333333333332,31.830810810543444,-0.49747747721011165,-0.612825605176603,-0.08287415256787956,1.00952922439506,0.9155031037461797,1.6770197930077955,2.9849523938682516
