model_name,predicted_score_bin,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M4_inertia_ridge,28-29,264,13,0,0,13,0,28.738257575757576,28.56689423561926,0.17136334013831567,0.05014754613655903,1.1974234629983567,1.8745199055630335,1.129386634964628,2.1202453525098415,3.532750181683255
M4_inertia_ridge,29-30,262,44,0,0,44,0,29.73587786259542,29.478893451756218,0.25698441083920315,0.21361853571388956,1.01865789570242,1.9485392008404807,1.0040212155454329,2.111008032248924,3.754039075160538
M4_inertia_ridge,30-30.5,172,70,0,0,70,0,30.60872093023256,30.234916083996396,0.37380484623615834,0.3854471705858167,1.503108266708538,2.127147269724656,1.1844777619390208,2.266925438734145,3.950796573636591
M4_inertia_ridge,30.5-31,165,87,0,0,87,0,31.00121212121212,30.751574771652137,0.24963734955998507,0.23768674094212017,1.073765656551231,1.6706259521108158,0.976042956285201,2.078189304066502,3.4674287894757327
M4_inertia_ridge,31-32,284,188,284,188,0,96,31.18802816901409,31.332032445387643,-0.1440042763735568,-0.1715545756612702,0.47739946487409934,1.189325941429202,0.7858962254770915,1.689382427060872,3.460882515889839
M4_inertia_ridge,32-33,6,6,6,6,0,0,31.599999999999998,32.05517315365413,-0.4551731536541368,-0.5630537581285715,0.016556152491652654,0.22652953546539933,0.606192843964403,1.0289952382992382,1.0737201523123687
M4_inertia_ridge,<28,2195,0,0,0,0,0,26.104236902050115,26.027542466285595,0.07669443576452287,0.06780043394985924,0.5476866376615774,0.9871794662364639,0.5826894934572496,1.2248214074136368,3.8470073791998374
M7_compact_weather_ridge,28-29,351,30,0,0,30,0,28.81509971509971,28.519199449121153,0.29590026597856145,0.1490297596875294,1.246834069380565,2.2270931183087477,1.1565734251142243,2.3311519271819314,4.316459532049713
M7_compact_weather_ridge,29-30,240,49,0,0,49,0,29.769583333333337,29.472316736071306,0.29726659726203075,0.2588340850828601,1.07735610550517,2.2065228801567285,1.1332806341810877,2.2902787121123342,4.382650426944071
M7_compact_weather_ridge,30-30.5,142,50,0,0,50,0,30.570422535211268,30.258625555144416,0.31179698006685175,0.3511757282964929,1.1641740258462754,2.0679174012735233,1.0998437385311102,2.4015439095952016,3.6750411065325537
M7_compact_weather_ridge,30.5-31,118,48,0,0,48,0,30.674576271186442,30.75021419526143,-0.07563792407499614,0.03232665538291535,0.6998993838709051,1.4022492263237274,0.8302254060188372,1.8068622038395523,2.526854887242667
M7_compact_weather_ridge,31-32,282,181,282,181,0,101,31.109929078014183,31.49750907624222,-0.38757999822803774,-0.31115250354217316,0.3146371626994071,1.1212344868516593,0.9587941326011382,2.0446437689156456,5.146123153269606
M7_compact_weather_ridge,32-33,73,50,73,50,0,23,31.12191780821918,32.294079569981655,-1.1721617617624807,-1.1260491528801921,-0.6327915008513614,0.5672053358839317,1.3928283393711092,3.020930943781823,3.7737057019474776
M7_compact_weather_ridge,<28,2140,0,0,0,0,0,26.06640186915888,26.110382675644658,-0.0439808064857836,-0.026892183850934614,0.4381593923983296,0.8039882358333544,0.5561287178706513,1.1112289873534473,3.3195008902252354
M7_compact_weather_ridge,>=33,2,0,2,0,0,2,28.5,33.332377997872356,-4.832377997872353,-4.832377997872353,-4.819711149975197,-4.812111041236903,4.832377997872353,4.852644954507803,4.8577116936666656
