source_path,row_id,model_name,official_wbgt_c,model_score,station_id,hour_sgt,timestamp,date,cv_scheme,fold,residual_c,abs_error_c,obs_ge31,pred_ge31_fixed,obs_ge33,pred_ge33_fixed,ge31_event_class,observed_wbgt_bin,predicted_score_bin
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,816,M4_inertia_ridge,33.1,31.41562391177828,S142,12,2026-05-07 12:00:00+08:00,2026-05-07,loso,S142,1.6843760882217218,1.6843760882217218,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,817,M4_inertia_ridge,33.1,31.327129533434995,S142,13,2026-05-07 13:00:00+08:00,2026-05-07,loso,S142,1.7728704665650064,1.7728704665650064,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,604,M7_compact_weather_ridge,33.1,31.21260152321189,S137,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S137,1.8873984767881105,1.8873984767881105,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,817,M4_inertia_ridge,33.1,31.122139367315977,S142,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,1.977860632684024,1.977860632684024,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,604,M4_inertia_ridge,33.1,31.10099661954182,S137,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S137,1.9990033804581806,1.9990033804581806,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,603,M4_inertia_ridge,33.1,31.04627680938647,S137,12,2026-05-10 12:00:00+08:00,2026-05-10,loso,S137,2.053723190613532,2.053723190613532,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,817,M7_compact_weather_ridge,33.1,31.037574577923472,S142,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,2.0624254220765295,2.0624254220765295,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,976,M7_compact_weather_ridge,33.0,32.31073723902554,S144,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,0.6892627609744579,0.6892627609744579,True,True,True,False,hit,>=33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,258,M7_compact_weather_ridge,33.0,32.01938371755636,S128,12,2026-05-07 12:00:00+08:00,2026-05-07,loso,S128,0.9806162824436413,0.9806162824436413,True,True,True,False,hit,>=33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,258,M7_compact_weather_ridge,33.0,31.858394251931895,S128,12,2026-05-07 12:00:00+08:00,2026-05-07,time_block,time_block_01,1.1416057480681054,1.1416057480681054,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,258,M4_inertia_ridge,33.0,31.809129886452403,S128,12,2026-05-07 12:00:00+08:00,2026-05-07,loso,S128,1.1908701135475965,1.1908701135475965,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,258,M4_inertia_ridge,33.0,31.75825548438578,S128,12,2026-05-07 12:00:00+08:00,2026-05-07,time_block,time_block_01,1.2417445156142186,1.2417445156142186,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,976,M7_compact_weather_ridge,33.0,31.48090554572108,S144,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S144,1.519094454278921,1.519094454278921,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,976,M4_inertia_ridge,33.0,31.30847199915092,S144,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S144,1.691528000849079,1.691528000849079,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,976,M4_inertia_ridge,33.0,31.23469218566541,S144,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,1.7653078143345908,1.7653078143345908,True,True,True,False,hit,>=33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1038,M7_compact_weather_ridge,32.9,32.67865304086378,S145,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,0.22134695913621982,0.22134695913621982,True,True,False,False,hit,32-33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1162,M7_compact_weather_ridge,32.9,32.31073723902554,S147,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,0.5892627609744565,0.5892627609744565,True,True,False,False,hit,32-33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,852,M7_compact_weather_ridge,32.9,32.219054535275184,S142,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,0.6809454647248145,0.6809454647248145,True,True,False,False,hit,32-33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,755,M4_inertia_ridge,32.9,31.65732444319428,S141,13,2026-05-07 13:00:00+08:00,2026-05-07,loso,S141,1.2426755568057182,1.2426755568057182,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,755,M7_compact_weather_ridge,32.9,31.572513298496727,S141,13,2026-05-07 13:00:00+08:00,2026-05-07,loso,S141,1.3274867015032719,1.3274867015032719,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1162,M7_compact_weather_ridge,32.9,31.45370914151432,S147,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S147,1.4462908584856784,1.4462908584856784,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,755,M4_inertia_ridge,32.9,31.436191343786653,S141,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,1.4638086562133452,1.4638086562133452,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1038,M7_compact_weather_ridge,32.9,31.376329629513272,S145,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S145,1.5236703704867267,1.5236703704867267,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1162,M4_inertia_ridge,32.9,31.315476482353287,S147,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S147,1.584523517646712,1.584523517646712,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1038,M4_inertia_ridge,32.9,31.279633209367372,S145,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S145,1.6203667906326267,1.6203667906326267,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1038,M4_inertia_ridge,32.9,31.26509290841549,S145,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,1.634907091584509,1.634907091584509,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,1162,M4_inertia_ridge,32.9,31.23469218566541,S147,13,2026-05-10 13:00:00+08:00,2026-05-10,time_block,time_block_04,1.6653078143345894,1.6653078143345894,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,755,M7_compact_weather_ridge,32.9,31.182046765017063,S141,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,1.7179532349829358,1.7179532349829358,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,852,M7_compact_weather_ridge,32.9,31.1677943863939,S142,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S142,1.732205613606098,1.732205613606098,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,852,M4_inertia_ridge,32.9,31.058114181835307,S142,13,2026-05-10 13:00:00+08:00,2026-05-10,loso,S142,1.841885818164691,1.841885818164691,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,293,M7_compact_weather_ridge,32.8,32.32102436447816,S128,12,2026-05-10 12:00:00+08:00,2026-05-10,time_block,time_block_04,0.4789756355218344,0.4789756355218344,True,True,False,False,hit,32-33,32-33
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,293,M7_compact_weather_ridge,32.8,31.594830150897188,S128,12,2026-05-10 12:00:00+08:00,2026-05-10,loso,S128,1.205169849102809,1.205169849102809,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,293,M4_inertia_ridge,32.8,31.27995245638462,S128,12,2026-05-10 12:00:00+08:00,2026-05-10,loso,S128,1.5200475436153766,1.5200475436153766,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,605,M7_compact_weather_ridge,32.7,31.52756541144716,S137,14,2026-05-10 14:00:00+08:00,2026-05-10,time_block,time_block_04,1.1724345885528429,1.1724345885528429,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,602,M7_compact_weather_ridge,32.6,31.65872769143997,S137,11,2026-05-10 11:00:00+08:00,2026-05-10,time_block,time_block_04,0.9412723085600305,0.9412723085600305,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,259,M4_inertia_ridge,32.6,31.645142412825457,S128,13,2026-05-07 13:00:00+08:00,2026-05-07,loso,S128,0.9548575871745442,0.9548575871745442,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,259,M7_compact_weather_ridge,32.6,31.563756401631156,S128,13,2026-05-07 13:00:00+08:00,2026-05-07,loso,S128,1.036243598368845,1.036243598368845,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,602,M7_compact_weather_ridge,32.6,31.532991677903333,S137,11,2026-05-10 11:00:00+08:00,2026-05-10,loso,S137,1.0670083220966688,1.0670083220966688,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,818,M7_compact_weather_ridge,32.6,31.47274038373112,S142,14,2026-05-07 14:00:00+08:00,2026-05-07,loso,S142,1.12725961626888,1.12725961626888,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,259,M4_inertia_ridge,32.6,31.436191343786653,S128,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,1.163808656213348,1.163808656213348,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,815,M4_inertia_ridge,32.6,31.230559825351904,S142,11,2026-05-07 11:00:00+08:00,2026-05-07,time_block,time_block_01,1.3694401746480978,1.3694401746480978,True,True,False,False,hit,32-33,31-32
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,259,M7_compact_weather_ridge,32.6,31.182046765017063,S128,13,2026-05-07 13:00:00+08:00,2026-05-07,time_block,time_block_01,1.4179532349829387,1.4179532349829387,True,True,False,False,hit,32-33,31-32
