model_name,station_id,is_S142,is_S139,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,ge31_miss_rate_among_observed,false_alarm_count,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c,high_tail_obs_ge31_mean_residual_c,high_tail_obs_ge31_p90_residual_c,sample_size_note
M4_inertia_ridge,S142,True,False,124,30,9,9,21,0.7,0,28.254838709677422,27.395475034866386,0.8593636748110337,0.5741530548757616,1.5350604042533718,2.6870676918487866,1.028132335256548,2.6870676918487866,3.754039075160538,2.4534835044575676,3.4565845101995953,
M4_inertia_ridge,S137,False,False,124,26,10,8,18,0.6923076923076923,2,28.275806451612905,27.416914011171457,0.8588924404414437,0.8738983819785222,1.4233665513868736,2.140221706811461,1.001524779765808,2.140221706811461,2.832923703382047,1.6467687546734606,2.4669524587071,
M4_inertia_ridge,S129,False,False,124,20,10,9,11,0.55,1,28.00483870967742,27.50509415574353,0.4997445539338882,0.5128886537543291,0.8318691440969346,1.483318574039157,0.6937515871922673,1.483318574039157,2.869910841260765,1.043134724567373,2.521472347449373,
M4_inertia_ridge,S141,False,False,124,20,10,8,12,0.6,2,27.82903225806452,27.367807562700882,0.46122469536363375,0.34901009238641834,0.9991140329865855,1.8792936700131553,0.8509235011668593,1.918193103693778,3.532750181683255,1.6779155000698687,2.9719093914612333,
M4_inertia_ridge,S127,False,False,124,20,11,11,9,0.45,0,27.950000000000003,27.508903542593025,0.4410964574069778,0.421110174416631,0.7059838747209355,1.3155508202475763,0.5872004048274226,1.3922105689054929,2.4733834612829106,0.7124660833097789,1.672779845932792,
M4_inertia_ridge,S144,False,False,124,16,11,9,7,0.4375,2,27.93870967741935,27.509192937805366,0.429516739613988,0.4288132036800665,0.8565415932344607,1.3498445872201992,0.630343436856692,1.3498445872201992,2.1060200581155755,0.9593776555852234,1.728417907591835,
M4_inertia_ridge,S130,False,False,124,12,10,6,6,0.5,4,27.793548387096774,27.391159114240253,0.40238927285652426,0.42638380399171716,0.8042941935734813,1.35226233251121,0.6812914468388291,1.5142647176834898,2.3036241157118162,0.4299827961840359,1.1404945921107623,
M4_inertia_ridge,S132,False,False,124,18,12,10,8,0.4444444444444444,2,27.612903225806456,27.34310997480284,0.26979325100361207,0.3687721726338111,0.8214219232068327,1.3823277753255003,0.7685388366807373,1.65918547769538,2.5795342438723594,0.3293145838209125,1.1974899825465972,
M4_inertia_ridge,S128,False,False,124,22,10,10,12,0.5454545454545454,0,27.612903225806456,27.37202823695917,0.24087498884728067,0.022341400971692238,0.89899673331489,1.4845479382003117,0.7742689116911567,1.5284737399165222,3.950796573636591,1.4240618505633942,2.6982239230543823,
M4_inertia_ridge,S147,False,False,124,20,10,10,10,0.5,0,27.71935483870968,27.516350744204246,0.20300409450543372,0.1903837528014236,0.6402801789409089,1.24747695570766,0.606379641141483,1.24747695570766,2.20602005811557,1.0395664817343842,1.710268058282892,
