scenario,hour,threshold_metric,n_cells,mean,median,std,min,p25,p75,max,missing_count,spearman_with_tmrt_p90_c,top6_overlap_with_tmrt_p90_c,top6_jaccard_with_tmrt_p90_c,high_p90_low_area_cells,moderate_p90_high_area_cells,recommended_companion_status,assessment_rule
base,10,pct_pixels_tmrt_ge_40,24,45.526666666666664,46.38,36.13759149197107,0.0,13.47,86.05,100.0,0,0.8442126783015761,4,0.5,TP_0301,TP_0366;TP_0575,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,10,pct_pixels_tmrt_ge_45,24,24.105,9.66,30.186695168855287,0.0,0.0,44.19,99.6,0,0.848655998504439,3,0.3333333333333333,,TP_0366;TP_0575;TP_0960,sensitivity_only,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,10,pct_pixels_tmrt_ge_50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,0.3333333333333333,TP_0037;TP_0059;TP_0088;TP_0301;TP_0565;TP_0986,TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,10,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,0.3333333333333333,TP_0037;TP_0059;TP_0088;TP_0301;TP_0565;TP_0986,TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,12,pct_pixels_tmrt_ge_40,24,55.54333333333333,67.36,39.98467170072168,0.0,16.77,97.72,100.0,0,0.8892279475539426,4,0.5,,TP_0366;TP_0627,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,12,pct_pixels_tmrt_ge_45,24,51.50333333333333,56.14,38.60606650533686,0.0,15.09,91.41,100.0,0,0.8760331407241552,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,12,pct_pixels_tmrt_ge_50,24,51.47166666666667,56.019999999999996,38.60767029745645,0.0,15.09,91.41,100.0,0,0.8760331407241552,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,12,pct_pixels_tmrt_ge_55,24,51.465,56.019999999999996,38.61340666029149,0.0,15.08,91.41,100.0,0,0.8760331407241552,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,13,pct_pixels_tmrt_ge_40,24,55.80500000000001,65.96000000000001,40.3622747883089,0.0,16.169999999999998,98.19,100.0,0,0.8988035789030306,4,0.5,,TP_0366;TP_0627,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,13,pct_pixels_tmrt_ge_45,24,52.169999999999995,58.82000000000001,39.38427715417057,0.0,13.85,93.21000000000001,100.0,0,0.902370101784091,4,0.5,,TP_0366;TP_0627,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
