scenario,hour,metric,n_cells,mean,median,std,min,p25,p75,max,missing_count
base,10,tmrt_mean_c,24,38.40341091156006,38.109657287597656,4.617435956521272,32.7736701965332,34.319923400878906,43.49080753326417,45.92864990234375,0
base,10,tmrt_p50_c,24,38.35121965408325,34.080718994140625,5.862784128901293,32.76697540283203,32.92057228088379,44.53363227844238,46.09529113769531,0
base,10,tmrt_p75_c,24,40.09223445256551,43.567710876464844,5.990361970094286,32.775516510009766,33.38484001159668,45.36785411834717,46.351409912109375,0
base,10,tmrt_p90_c,24,42.42383098602295,44.96133995056152,5.185592861915969,32.77862930297852,41.973440170288086,46.05443477630616,46.63159942626953,0
base,10,tmrt_p95_c,24,43.365428606669106,45.811622619628906,4.935245788690834,32.77884292602539,43.49715709686279,46.33547019958496,46.63159942626953,0
base,10,tmrt_max_c,24,44.302416483561196,46.301395416259766,4.446417969636786,32.78053283691406,44.6674861907959,46.580177307128906,46.63203811645508,0
base,10,pct_pixels_tmrt_ge_40,24,45.526666666666664,46.38,36.13759149197107,0.0,13.47,86.05,100.0,0
base,10,pct_pixels_tmrt_ge_45,24,24.105,9.66,30.186695168855287,0.0,0.0,44.19,99.6,0
base,10,pct_pixels_tmrt_ge_50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,10,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,12,tmrt_mean_c,24,49.12926451365153,50.64875793457031,9.99447049600329,35.48797607421875,39.93574905395508,59.383413314819336,62.01827621459961,0
base,12,tmrt_p50_c,24,50.27172724405924,58.3122444152832,12.319769104891018,35.48683166503906,36.1751651763916,61.389217376708984,62.031517028808594,0
base,12,tmrt_p75_c,24,51.589832146962486,60.93715476989746,12.18208596381633,35.491798400878906,37.99225902557373,61.75743007659912,62.20302200317383,0
base,12,tmrt_p90_c,24,55.96306927998861,61.5889892578125,10.472876838905863,35.49324035644531,58.36179828643799,61.96370792388917,62.34635543823242,0
base,12,tmrt_p95_c,24,57.20994853973389,61.93197822570801,9.769645064664127,35.493492126464844,59.399192810058594,62.175432205200195,62.34635543823242,0
base,12,tmrt_max_c,24,59.69379345575968,62.18756866455078,7.398984100726574,35.49665832519531,61.40697765350342,62.333537101745605,62.37800979614258,0
base,12,pct_pixels_tmrt_ge_40,24,55.54333333333333,67.36,39.98467170072168,0.0,16.77,97.72,100.0,0
base,12,pct_pixels_tmrt_ge_45,24,51.50333333333333,56.14,38.60606650533686,0.0,15.09,91.41,100.0,0
base,12,pct_pixels_tmrt_ge_50,24,51.47166666666667,56.019999999999996,38.60767029745645,0.0,15.09,91.41,100.0,0
base,12,pct_pixels_tmrt_ge_55,24,51.465,56.019999999999996,38.61340666029149,0.0,15.08,91.41,100.0,0
base,13,tmrt_mean_c,24,49.137537479400635,50.54693794250488,10.052820363169092,35.59840774536133,39.66498851776123,59.47661304473877,62.16756439208984,0
base,13,tmrt_p50_c,24,50.097718715667725,57.49015808105469,12.094725703095792,35.59687805175781,36.35438346862794,61.07351207733154,62.18168640136719,0
base,13,tmrt_p75_c,24,52.00854126612345,60.301353454589844,11.866397199885155,35.60281753540039,38.024956703186035,61.58910369873047,62.38699722290039,0
base,13,tmrt_p90_c,24,55.74333635965983,61.46331977844238,10.401195755300812,35.60452651977539,56.836249351501465,62.11115169525147,62.62362289428711,0
base,13,tmrt_p95_c,24,56.355710665384926,61.949947357177734,10.46577343066386,35.604820251464844,58.73325443267822,62.374046325683594,62.62362289428711,0
base,13,tmrt_max_c,24,59.64311949412028,62.34593963623047,7.396276555227788,35.63786315917969,60.70427322387695,62.58503246307373,62.62362289428711,0
base,13,pct_pixels_tmrt_ge_40,24,55.80500000000001,65.96000000000001,40.3622747883089,0.0,16.169999999999998,98.19,100.0,0
base,13,pct_pixels_tmrt_ge_45,24,52.169999999999995,58.82000000000001,39.38427715417057,0.0,13.85,93.21000000000001,100.0,0
base,13,pct_pixels_tmrt_ge_50,24,52.15,58.76,39.38713672165615,0.0,13.85,93.21000000000001,100.0,0
base,13,pct_pixels_tmrt_ge_55,24,51.94,58.3,39.5387316987764,0.0,12.549999999999999,93.21000000000001,100.0,0
base,15,tmrt_mean_c,24,47.00124549865723,47.269744873046875,9.216826678705871,35.520782470703125,38.56357288360596,57.48251819610596,60.39198684692383,0
base,15,tmrt_p50_c,24,47.11051861445109,46.788726806640625,10.980114628663337,35.501712799072266,35.838019371032715,58.85031795501708,60.4024772644043,0
base,15,tmrt_p75_c,24,49.6903928120931,57.08645248413086,11.268030946324895,35.52627182006836,36.93598747253418,59.669639587402344,60.62211990356445,0
base,15,tmrt_p90_c,24,53.8302952448527,59.42742729187012,9.747804149359006,35.5282096862793,53.40334987640381,60.21075916290283,60.863189697265625,0
base,15,tmrt_p95_c,24,54.638819217681885,60.06764602661133,9.818955922915787,35.52853775024414,55.85130977630615,60.56904411315918,60.86521911621094,0
base,15,tmrt_max_c,24,57.64121929804484,60.523664474487305,6.9652258792370265,35.53129959106445,57.81308937072754,60.813358306884766,60.86521911621094,0
base,15,pct_pixels_tmrt_ge_40,24,51.10833333333333,54.72,39.84566133892412,0.0,13.920000000000002,94.23,100.0,0
base,15,pct_pixels_tmrt_ge_45,24,48.05833333333333,49.08,38.43228711322841,0.0,12.73,91.9,100.0,0
base,15,pct_pixels_tmrt_ge_50,24,48.04333333333333,49.04,38.4411137090018,0.0,12.73,91.9,100.0,0
base,15,pct_pixels_tmrt_ge_55,24,43.39000000000001,38.46,38.44387213000046,0.0,7.15,87.11999999999999,100.0,0
base,16,tmrt_mean_c,24,41.426884174346924,40.56796455383301,6.206038223372825,34.296932220458984,35.733887672424316,48.45041942596436,51.373085021972656,0
base,16,tmrt_p50_c,24,40.898967266082764,36.482696533203125,7.410653625954363,34.183570861816406,34.37809181213379,49.683112144470215,51.38343811035156,0
base,16,tmrt_p75_c,24,43.51568110783895,47.34542274475098,7.63989284880026,34.301605224609375,34.77859115600586,50.57397365570068,51.611812591552734,0
base,16,tmrt_p90_c,24,46.093257427215576,50.2655029296875,7.016138893502668,34.30322265625,42.863688468933105,51.20855522155762,51.87674331665039,0
base,16,tmrt_p95_c,24,47.14897267023722,51.014421463012695,6.788222290275859,34.30349349975586,46.453102111816406,51.56253242492676,51.878787994384766,0
base,16,tmrt_max_c,24,48.82003482182821,51.50861358642578,5.668477960987684,34.305545806884766,48.7793664932251,51.82212257385254,51.878787994384766,0
base,16,pct_pixels_tmrt_ge_40,24,44.65,38.239999999999995,38.09213589956993,0.0,9.59,88.54,100.0,0
base,16,pct_pixels_tmrt_ge_45,24,43.805,36.22,38.13400502347524,0.0,9.18,87.94,100.0,0
base,16,pct_pixels_tmrt_ge_50,24,24.973333333333333,11.46,31.217022483792768,0.0,0.0,43.45,100.0,0
base,16,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
overhead_as_canopy,10,tmrt_mean_c,24,37.47290881474813,36.708940505981445,4.010257280171737,32.7736701965332,34.278273582458496,40.259477615356445,44.07563018798828,0
overhead_as_canopy,10,tmrt_p50_c,24,36.92676146825155,33.707515716552734,5.386973798852543,32.73906707763672,32.91950225830078,43.2762794494629,45.81299591064453,0
overhead_as_canopy,10,tmrt_p75_c,24,39.65072298049927,42.355451583862305,5.682675244657743,32.775516510009766,33.329895973205566,44.62730407714844,46.351409912109375,0
overhead_as_canopy,10,tmrt_p90_c,24,42.09231424331665,44.16713523864746,5.019929405974153,32.77862930297852,41.82650184631348,45.53449535369873,46.63159942626953,0
overhead_as_canopy,10,tmrt_p95_c,24,43.11633825302124,45.13554573059082,4.831210020792782,32.77884292602539,43.11058712005615,46.10339164733887,46.63159942626953,0
overhead_as_canopy,10,tmrt_max_c,24,44.177689711252846,46.15318489074707,4.400449891613753,32.78053283691406,44.648088455200195,46.579473495483406,46.63203811645508,0
overhead_as_canopy,10,pct_pixels_tmrt_ge_40,24,38.71,33.16,32.20491401877238,0.0,13.129999999999999,61.81,93.24,0
overhead_as_canopy,10,pct_pixels_tmrt_ge_45,24,15.026666666666666,5.5,20.709091191334654,0.0,0.0,22.16,70.04,0
overhead_as_canopy,10,pct_pixels_tmrt_ge_50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
overhead_as_canopy,10,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
overhead_as_canopy,12,tmrt_mean_c,24,47.45374043782552,47.64053916931152,9.101833059454085,35.48797607421875,39.70113372802735,55.63869380950928,60.978057861328125,0
overhead_as_canopy,12,tmrt_p50_c,24,46.93288548787435,40.43524169921875,11.757382350121894,35.48683166503906,36.170562744140625,60.17616271972656,61.882286071777344,0
overhead_as_canopy,12,tmrt_p75_c,24,51.164750258127846,59.205596923828125,11.930726041582282,35.491798400878906,37.79745388031006,61.540852546691895,62.20302200317383,0
overhead_as_canopy,12,tmrt_p90_c,24,55.722181955973305,60.94166564941406,10.35577813343363,35.49324035644531,58.07670783996582,61.75760746002197,62.34635543823242,0
overhead_as_canopy,12,tmrt_p95_c,24,57.02338488896688,61.74020576477051,9.692571006216609,35.493492126464844,59.050625801086426,62.056148529052734,62.34635543823242,0
overhead_as_canopy,12,tmrt_max_c,24,59.64451885223389,62.169193267822266,7.383038078523731,35.49665832519531,61.40697765350342,62.32207679748536,62.359745025634766,0
overhead_as_canopy,12,pct_pixels_tmrt_ge_40,24,50.025,53.98,37.3025362233676,0.0,16.03,85.88000000000001,100.0,0
overhead_as_canopy,12,pct_pixels_tmrt_ge_45,24,44.93166666666667,43.82,35.33761927792935,0.0,14.57,76.49,99.56,0
overhead_as_canopy,12,pct_pixels_tmrt_ge_50,24,44.89833333333333,43.739999999999995,35.3395415519422,0.0,14.57,76.49,99.56,0
overhead_as_canopy,12,pct_pixels_tmrt_ge_55,24,44.88999999999999,43.739999999999995,35.345216760207975,0.0,14.56,76.49,99.56,0
overhead_as_canopy,13,tmrt_mean_c,24,47.4578218460083,48.17099571228027,9.109954807138603,35.59840774536133,39.45378589630127,55.604193687438965,60.70177459716797,0
overhead_as_canopy,13,tmrt_p50_c,24,48.00651899973551,48.21942138671875,11.582424995965347,35.59687805175781,36.3340950012207,59.64443111419678,61.9882698059082,0
overhead_as_canopy,13,tmrt_p75_c,24,51.51760164896647,58.13758659362793,11.56958638670558,35.60281753540039,37.946784019470215,61.017340660095215,62.38699722290039,0
overhead_as_canopy,13,tmrt_p90_c,24,55.41910139719645,60.61849594116211,10.238736567993838,35.60452651977539,56.63766670227051,61.72074604034424,62.62362289428711,0
overhead_as_canopy,13,tmrt_p95_c,24,56.102546532948814,61.379079818725586,10.34980569647685,35.604820251464844,58.31178283691406,62.21429252624512,62.62362289428711,0
overhead_as_canopy,13,tmrt_max_c,24,59.53697204589844,62.282073974609375,7.362006304506885,35.63786315917969,60.69515800476074,62.58454895019531,62.62362289428711,0
overhead_as_canopy,13,pct_pixels_tmrt_ge_40,24,50.625,57.78,37.68005134769879,0.0,15.480000000000002,86.42,100.0,0
overhead_as_canopy,13,pct_pixels_tmrt_ge_45,24,45.64333333333334,48.18,36.06757699298537,0.0,13.38,76.89,99.84,0
overhead_as_canopy,13,pct_pixels_tmrt_ge_50,24,45.62166666666667,48.16,36.069251226743965,0.0,13.38,76.89,99.84,0
overhead_as_canopy,13,pct_pixels_tmrt_ge_55,24,45.18833333333333,46.94,36.226033356601754,0.0,12.459999999999999,76.89,99.84,0
